Experiment	Sweeper	
Saved Date	11.07.2023 14:10:57	
User		
Date		
Start time	11.07.2023 13:47:19	
Sweep channel: Name	Output 3 (V)	
Sweep channel: Start (V)	-250E-3	
Sweep channel: Stop (V)	250E-3	
Sweep channel: Points	201	
Sweep channel: Max slew rate (V/s)	Inf	
Sweep channel: Initial settling time (s)	20E+3	
Sweep channel: End settling time (s)	10E+0	
Sweep channel: Backward sweep	TRUE	
Sweep channel: Number of sweeps	5	
Sweep channel: Reset	FALSE	
Step channel 1: Name	Output 2 (V)	
Step channel 1: Start (V)	0E+0	
Step channel 1: Stop (V)	0E+0	
Step channel 1: Points	5	
Step channel 1: Max slew rate (V/s)	10E+0	
Step channel 1:  Initial settling time (s)	2E+0	
Step channel 1: End settling time (s)	2E+3	
Step channel 1: Backward sweep	FALSE	
Step channel 1: Reset	FALSE	
Sweep Type	2D-Both RT	
Acquire channels	Input 1 (V);LI Demod 3 X (V)	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Output 3 Setp. (V)	Input 1 [00001] (V)	LI Demod 3 X [00001] (V)	Input 1 [00002] (V)	LI Demod 3 X [00002] (V)	Input 1 [00003] (V)	LI Demod 3 X [00003] (V)	Input 1 [00004] (V)	LI Demod 3 X [00004] (V)	Input 1 [00005] (V)	LI Demod 3 X [00005] (V)	Input 1 [00001] [bwd] (V)	LI Demod 3 X [00001] [bwd] (V)	Input 1 [00002] [bwd] (V)	LI Demod 3 X [00002] [bwd] (V)	Input 1 [00003] [bwd] (V)	LI Demod 3 X [00003] [bwd] (V)	Input 1 [00004] [bwd] (V)	LI Demod 3 X [00004] [bwd] (V)	Input 1 [00005] [bwd] (V)	LI Demod 3 X [00005] [bwd] (V)
-250.00000E-3	-33.356916E-3	2.2454015E-3	-33.269987E-3	2.2277243E-3	-33.283699E-3	2.2760513E-3	-33.077516E-3	2.2533168E-3	-33.245426E-3	2.2218598E-3	-33.255219E-3	2.2183603E-3	-33.295583E-3	2.1913974E-3	-33.087932E-3	2.2544407E-3	-33.286966E-3	2.2436038E-3	-33.149447E-3	2.2780565E-3
-247.50000E-3	-32.707896E-3	2.2096485E-3	-32.591633E-3	2.3199848E-3	-32.611065E-3	2.2867420E-3	-32.414235E-3	2.2667930E-3	-32.602478E-3	2.1863347E-3	-32.604568E-3	2.3045123E-3	-32.623827E-3	2.1663932E-3	-32.438632E-3	2.2665518E-3	-32.588288E-3	2.2496514E-3	-32.473475E-3	2.2776225E-3
-245.00000E-3	-32.034181E-3	2.2198504E-3	-31.940863E-3	2.2232293E-3	-31.938016E-3	2.2890007E-3	-31.714350E-3	2.2563536E-3	-31.948648E-3	2.2148632E-3	-31.888530E-3	2.1945531E-3	-31.955753E-3	2.2435866E-3	-31.734608E-3	2.2616729E-3	-31.939294E-3	2.2202029E-3	-31.789739E-3	2.2412264E-3
-242.50001E-3	-31.332176E-3	2.2651874E-3	-31.270780E-3	2.2225541E-3	-31.239111E-3	2.2742364E-3	-31.078255E-3	2.2378198E-3	-31.297479E-3	2.2273057E-3	-31.169457E-3	2.2105481E-3	-31.260248E-3	2.3240645E-3	-31.075325E-3	2.2590242E-3	-31.290725E-3	2.2351041E-3	-31.083317E-3	2.2092366E-3
-239.99999E-3	-30.664023E-3	2.1904684E-3	-30.571919E-3	2.2863927E-3	-30.614130E-3	2.2320317E-3	-30.427082E-3	2.2562759E-3	-30.596370E-3	2.2468437E-3	-30.502658E-3	2.2964915E-3	-30.588033E-3	2.2061053E-3	-30.347606E-3	2.2879310E-3	-30.599514E-3	2.2395670E-3	-30.411903E-3	2.1962400E-3
-237.50000E-3	-29.809706E-3	2.2155212E-3	-29.858764E-3	2.1785167E-3	-29.936541E-3	2.2079656E-3	-29.870797E-3	2.2477277E-3	-29.935511E-3	2.2495387E-3	-29.810309E-3	2.2739524E-3	-29.896412E-3	2.2114655E-3	-29.665567E-3	2.2649630E-3	-29.909734E-3	2.2394310E-3	-29.763412E-3	2.2626230E-3
-235.00000E-3	-29.105488E-3	2.2477554E-3	-29.178975E-3	2.2953968E-3	-29.260091E-3	2.1739737E-3	-29.163687E-3	2.2665146E-3	-29.264716E-3	2.2600372E-3	-29.108625E-3	2.1785637E-3	-29.197151E-3	2.3291830E-3	-29.007688E-3	2.2503803E-3	-29.301373E-3	2.2612326E-3	-29.056149E-3	2.3031111E-3
-232.50000E-3	-28.505150E-3	2.2971334E-3	-28.460249E-3	2.1806699E-3	-28.584262E-3	2.2672499E-3	-28.511517E-3	2.2575003E-3	-28.595746E-3	2.2418133E-3	-28.458798E-3	2.2623620E-3	-28.513066E-3	2.1529137E-3	-28.344506E-3	2.2369532E-3	-28.640555E-3	2.2120886E-3	-28.356764E-3	2.2288482E-3
-230.00000E-3	-27.858669E-3	2.1881314E-3	-27.775867E-3	2.2696166E-3	-27.915839E-3	2.3028494E-3	-27.732549E-3	2.2200043E-3	-27.932189E-3	2.2372508E-3	-27.813308E-3	2.2567958E-3	-27.837684E-3	2.2525040E-3	-27.684370E-3	2.2086189E-3	-27.963661E-3	2.2248577E-3	-27.714513E-3	2.1804576E-3
-227.50001E-3	-27.333988E-3	2.2366783E-3	-27.099425E-3	2.2297334E-3	-27.254749E-3	2.1868602E-3	-27.008886E-3	2.2382217E-3	-27.287729E-3	2.2295099E-3	-27.145609E-3	2.2077817E-3	-27.161378E-3	2.2960035E-3	-27.003763E-3	2.2125284E-3	-27.277034E-3	2.2204181E-3	-27.037591E-3	2.2685060E-3
-224.99999E-3	-26.732620E-3	2.1891119E-3	-26.491933E-3	2.2044149E-3	-26.579767E-3	2.2138674E-3	-26.346838E-3	2.2439160E-3	-26.560131E-3	2.2061975E-3	-26.458917E-3	2.3052900E-3	-26.480462E-3	2.1563801E-3	-26.318192E-3	2.2244852E-3	-26.593503E-3	2.2492276E-3	-26.370889E-3	2.2839869E-3
-222.50000E-3	-26.052270E-3	2.2420543E-3	-25.836259E-3	2.2710082E-3	-25.901420E-3	2.2795452E-3	-25.682935E-3	2.2594735E-3	-25.899855E-3	2.2184164E-3	-25.763219E-3	2.1831724E-3	-25.821023E-3	2.3143897E-3	-25.653847E-3	2.2303129E-3	-25.903847E-3	2.2326622E-3	-25.669795E-3	2.1911571E-3
