Experiment	Sweeper	
Saved Date	10.07.2023 22:25:55	
User		
Date		
Start time	10.07.2023 22:02:18	
Sweep channel: Name	Output 3 (V)	
Sweep channel: Start (V)	-250E-3	
Sweep channel: Stop (V)	250E-3	
Sweep channel: Points	201	
Sweep channel: Max slew rate (V/s)	Inf	
Sweep channel: Initial settling time (s)	20E+3	
Sweep channel: End settling time (s)	10E+0	
Sweep channel: Backward sweep	TRUE	
Sweep channel: Number of sweeps	5	
Sweep channel: Reset	FALSE	
Step channel 1: Name	Output 2 (V)	
Step channel 1: Start (V)	0E+0	
Step channel 1: Stop (V)	0E+0	
Step channel 1: Points	5	
Step channel 1: Max slew rate (V/s)	10E+0	
Step channel 1:  Initial settling time (s)	2E+0	
Step channel 1: End settling time (s)	2E+3	
Step channel 1: Backward sweep	FALSE	
Step channel 1: Reset	FALSE	
Sweep Type	2D-Both RT	
Acquire channels	Input 1 (V);LI Demod 3 X (V)	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Output 3 Setp. (V)	Input 1 [00001] (V)	LI Demod 3 X [00001] (V)	Input 1 [00002] (V)	LI Demod 3 X [00002] (V)	Input 1 [00003] (V)	LI Demod 3 X [00003] (V)	Input 1 [00004] (V)	LI Demod 3 X [00004] (V)	Input 1 [00005] (V)	LI Demod 3 X [00005] (V)	Input 1 [00001] [bwd] (V)	LI Demod 3 X [00001] [bwd] (V)	Input 1 [00002] [bwd] (V)	LI Demod 3 X [00002] [bwd] (V)	Input 1 [00003] [bwd] (V)	LI Demod 3 X [00003] [bwd] (V)	Input 1 [00004] [bwd] (V)	LI Demod 3 X [00004] [bwd] (V)	Input 1 [00005] [bwd] (V)	LI Demod 3 X [00005] [bwd] (V)
-250.00000E-3	-33.213124E-3	2.2437405E-3	-33.486340E-3	2.2683383E-3	-33.497445E-3	2.2547757E-3	-33.508785E-3	2.2912051E-3	-33.665609E-3	2.2663439E-3	-33.357907E-3	2.2040720E-3	-33.493754E-3	2.2693237E-3	-33.472329E-3	2.2106180E-3	-33.674695E-3	2.2788784E-3	-33.055052E-3	2.2576337E-3
-247.50000E-3	-32.536693E-3	2.2404185E-3	-32.820806E-3	2.1900933E-3	-32.832630E-3	2.2885946E-3	-32.807082E-3	2.2214011E-3	-33.097588E-3	2.2539985E-3	-33.360761E-3	2.2943316E-3	-32.815304E-3	2.2631031E-3	-32.769505E-3	2.2611949E-3	-32.948721E-3	2.2924780E-3	-32.563049E-3	2.2814763E-3
-245.00000E-3	-31.883504E-3	2.2569408E-3	-32.134883E-3	2.2891213E-3	-32.126434E-3	2.2710334E-3	-32.106001E-3	2.2091174E-3	-32.399371E-3	2.2603380E-3	-33.094984E-3	2.2264237E-3	-32.148562E-3	2.1930884E-3	-32.091592E-3	2.2384552E-3	-32.178614E-3	2.2853273E-3	-31.873725E-3	2.2828791E-3
-242.50001E-3	-31.227501E-3	2.2433314E-3	-31.495746E-3	2.2073032E-3	-31.427421E-3	2.2223536E-3	-31.423446E-3	2.2646745E-3	-31.727698E-3	2.2476683E-3	-33.071980E-3	2.2353514E-3	-31.438772E-3	2.2551210E-3	-31.441439E-3	2.2413156E-3	-31.503048E-3	2.2959202E-3	-31.224150E-3	2.2180369E-3
-239.99999E-3	-30.630345E-3	2.2407458E-3	-30.808881E-3	2.2523901E-3	-30.763164E-3	2.2421826E-3	-30.762672E-3	2.3049137E-3	-31.061118E-3	2.2166714E-3	-33.195417E-3	2.2298456E-3	-30.763311E-3	2.3086336E-3	-30.755179E-3	2.2254775E-3	-30.823845E-3	2.2406545E-3	-30.580563E-3	2.2526849E-3
-237.50000E-3	-29.993514E-3	2.2611846E-3	-30.122019E-3	2.2393770E-3	-30.053981E-3	2.2882759E-3	-30.078055E-3	2.2239299E-3	-30.318853E-3	2.2072897E-3	-33.404116E-3	2.2022335E-3	-30.137077E-3	2.2374261E-3	-30.101484E-3	2.2085819E-3	-30.136390E-3	2.2306999E-3	-29.909713E-3	2.2553643E-3
-235.00000E-3	-29.103814E-3	2.2571266E-3	-29.506218E-3	2.2277622E-3	-29.251035E-3	2.2900966E-3	-29.415315E-3	2.2145968E-3	-29.636933E-3	2.2411598E-3	-33.386279E-3	2.2651951E-3	-29.428063E-3	2.2639604E-3	-29.428104E-3	2.2363998E-3	-29.446837E-3	2.2318785E-3	-29.240845E-3	2.2802260E-3
-232.50000E-3	-28.457405E-3	2.2253466E-3	-28.851423E-3	2.2482313E-3	-28.582251E-3	2.2729903E-3	-28.618906E-3	2.2911653E-3	-28.963873E-3	2.2039656E-3	-33.353861E-3	2.2203370E-3	-28.770551E-3	2.2835822E-3	-28.759526E-3	2.2156918E-3	-28.786682E-3	2.2050564E-3	-28.550373E-3	2.2358680E-3
-230.00000E-3	-27.973628E-3	2.2422699E-3	-28.165054E-3	2.2266654E-3	-27.886910E-3	2.2068075E-3	-27.874466E-3	2.2649821E-3	-28.267927E-3	2.2249694E-3	-33.342149E-3	2.2760516E-3	-28.088562E-3	2.2055260E-3	-28.072922E-3	2.2555231E-3	-28.105743E-3	2.2111423E-3	-27.833242E-3	2.2331334E-3
-227.50001E-3	-27.313951E-3	2.2109183E-3	-27.486440E-3	2.2608363E-3	-27.170310E-3	2.2138294E-3	-27.284194E-3	2.2114213E-3	-27.600111E-3	2.2659916E-3	-33.320449E-3	2.2116487E-3	-27.399212E-3	2.2516584E-3	-27.230963E-3	2.2686385E-3	-27.414223E-3	2.1838704E-3	-27.172284E-3	2.2435258E-3
