Experiment	Sweeper	
Saved Date	30.06.2023 17:43:17	
User		
Date		
Start time	30.06.2023 17:31:12	
Sweep channel: Name	Output 2 (V)	
Sweep channel: Start (V)	-100E-6	
Sweep channel: Stop (V)	200E-6	
Sweep channel: Points	601	
Sweep channel: Max slew rate (V/s)	Inf	
Sweep channel: Initial settling time (s)	20E+3	
Sweep channel: End settling time (s)	2E+0	
Sweep channel: Backward sweep	TRUE	
Sweep channel: Number of sweeps	2	
Sweep channel: Reset	FALSE	
Step channel 1: Name	Output 3 (V)	
Step channel 1: Start (V)	50E-3	
Step channel 1: Stop (V)	50E-3	
Step channel 1: Points	2	
Step channel 1: Max slew rate (V/s)	10E+0	
Step channel 1:  Initial settling time (s)	2E+0	
Step channel 1: End settling time (s)	2E+0	
Step channel 1: Backward sweep	FALSE	
Step channel 1: Reset	FALSE	
Sweep Type	2D-Both RT	
Acquire channels	Input 1 (V);LI Demod 3 X (V)	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Output 2 Setp. (V)	Input 1 [00001] (V)	LI Demod 3 X [00001] (V)	Input 1 [00002] (V)	LI Demod 3 X [00002] (V)	Input 1 [00001] [bwd] (V)	LI Demod 3 X [00001] [bwd] (V)	Input 1 [00002] [bwd] (V)	LI Demod 3 X [00002] [bwd] (V)
-99.999997E-6	31.530175E-3	-5.7467601E-6	31.202789E-3	15.263813E-6	31.277746E-3	50.047962E-6	31.015683E-3	69.838025E-6
-99.500001E-6	31.365264E-3	78.066405E-6	31.135567E-3	-73.822783E-6	31.304777E-3	-42.715918E-6	31.011488E-3	46.873538E-6
-98.999997E-6	31.332824E-3	48.712463E-6	31.018740E-3	-29.799638E-6	31.323351E-3	-65.000982E-6	31.197501E-3	-65.509041E-6
-98.500001E-6	31.361569E-3	-36.471170E-6	30.910058E-3	43.879376E-6	31.348221E-3	6.2448316E-6	31.246735E-3	-51.083363E-6
-97.999997E-6	31.344000E-3	-69.091206E-6	30.837705E-3	58.596288E-6	31.369504E-3	72.739225E-6	31.308230E-3	51.913044E-6
-97.500000E-6	31.353969E-3	-21.349560E-6	30.757466E-3	-41.388317E-6	31.399410E-3	1.8141847E-6	31.423435E-3	57.540012E-6
-96.999996E-6	31.357411E-3	65.484346E-6	30.784864E-3	-70.316637E-6	31.464279E-3	-67.526249E-6	31.535491E-3	-34.208369E-6
-96.500000E-6	31.313069E-3	38.794235E-6	30.826002E-3	28.852186E-6	31.585369E-3	-36.484606E-6	31.522747E-3	-75.874894E-6
-95.999996E-6	31.611014E-3	-34.057903E-6	30.920349E-3	77.861776E-6	31.638756E-3	52.992022E-6	31.522557E-3	2.8014890E-6
-95.500000E-6	31.613413E-3	-88.558671E-6	31.028634E-3	-18.976700E-6	31.651929E-3	50.781880E-6	31.416442E-3	77.321893E-6
-94.999996E-6	31.639036E-3	-24.003757E-6	31.061804E-3	-86.953820E-6	31.671900E-3	-41.243438E-6	31.307109E-3	17.578292E-6
-94.499999E-6	31.603143E-3	45.650697E-6	31.103741E-3	1.2152750E-6	31.588819E-3	-88.257693E-6	31.193277E-3	-88.489927E-6
-93.999995E-6	31.308994E-3	39.025294E-6	31.120578E-3	64.358057E-6	31.492501E-3	19.640362E-6	31.119317E-3	-27.733759E-6
-93.499999E-6	31.309269E-3	-36.834015E-6	31.122787E-3	29.622699E-6	31.362880E-3	76.864926E-6	31.050567E-3	59.488098E-6
-92.999995E-6	31.321544E-3	-93.271963E-6	31.097582E-3	-56.317789E-6	31.324647E-3	16.479298E-6	31.037193E-3	38.203983E-6
-92.499999E-6	31.274199E-3	-53.821426E-6	31.133013E-3	-49.027505E-6	31.245420E-3	-54.097378E-6	31.054456E-3	-65.139815E-6
-91.999995E-6	31.245785E-3	54.069351E-6	31.141408E-3	54.261262E-6	31.141253E-3	-26.021007E-6	31.060027E-3	-60.486789E-6
-91.499998E-6	31.209065E-3	42.482934E-6	31.208452E-3	53.301541E-6	31.039417E-3	62.727289E-6	31.144930E-3	19.269783E-6
-90.999994E-6	31.210350E-3	-20.911690E-6	31.298537E-3	-39.743016E-6	31.045379E-3	42.323394E-6	31.098172E-3	83.577565E-6
-90.499998E-6	31.179363E-3	-62.849394E-6	31.461008E-3	-75.355703E-6	31.054460E-3	-30.070772E-6	31.076862E-3	-15.392337E-6
-90.000001E-6	31.292066E-3	-28.027283E-6	31.548642E-3	15.483030E-6	31.074692E-3	-61.496889E-6	30.998157E-3	-101.60480E-6
-89.499998E-6	31.288024E-3	77.044519E-6	31.621750E-3	69.985072E-6	31.057881E-3	20.017131E-6	30.914580E-3	-19.441895E-6
-88.999994E-6	31.233234E-3	40.852337E-6	31.597588E-3	-14.378435E-6	30.998325E-3	80.177502E-6	30.732971E-3	63.976804E-6
-88.499997E-6	31.237591E-3	-66.287554E-6	31.489670E-3	-79.167905E-6	30.984953E-3	15.899795E-6	30.665670E-3	36.159057E-6
-88.000001E-6	31.221254E-3	-66.538916E-6	31.370714E-3	-18.485583E-6	30.899737E-3	-81.062492E-6	30.644190E-3	-62.028790E-6
-87.499997E-6	31.221196E-3	1.3386061E-6	31.326313E-3	69.080750E-6	30.857010E-3	-37.051508E-6	30.691426E-3	-36.076835E-6
-87.000000E-6	31.195646E-3	98.500910E-6	31.284448E-3	34.804001E-6	30.808963E-3	59.158465E-6	30.716829E-3	34.652803E-6
-86.499997E-6	31.191001E-3	17.531860E-6	31.289235E-3	-61.427912E-6	30.621475E-3	32.770873E-6	30.851584E-3	76.578581E-6
-86.000000E-6	31.174285E-3	-58.904465E-6	31.214569E-3	-53.872755E-6	30.560138E-3	-49.960065E-6	30.960066E-3	-24.559366E-6
-85.499996E-6	31.193081E-3	-75.722848E-6	31.235887E-3	48.307775E-6	30.554026E-3	-65.411899E-6	31.027688E-3	-91.309375E-6
-85.000000E-6	31.154236E-3	23.466015E-6	31.225588E-3	49.427868E-6	30.593881E-3	40.869032E-6	31.100390E-3	-22.639400E-6
-84.499996E-6	31.183355E-3	59.175971E-6	31.193258E-3	-38.569262E-6	30.645477E-3	92.550545E-6	31.131530E-3	70.648355E-6
-83.999999E-6	31.147258E-3	4.8958314E-6	31.139852E-3	-93.563758E-6	30.761573E-3	7.7526502E-6	31.165071E-3	27.098882E-6
-83.499996E-6	31.155670E-3	-76.185810E-6	31.078784E-3	15.576859E-6	30.965302E-3	-60.833925E-6	31.147415E-3	-48.162943E-6
-82.999999E-6	31.173304E-3	-73.602627E-6	30.968715E-3	69.838141E-6	31.026205E-3	-26.864787E-6	31.156220E-3	-51.785650E-6
-82.499995E-6	31.162795E-3	16.937309E-6	30.824702E-3	-5.6851295E-6	31.085836E-3	63.914500E-6	31.196628E-3	39.525759E-6
-81.999999E-6	31.146703E-3	64.184118E-6	30.771527E-3	-68.778791E-6	31.152468E-3	52.324885E-6	31.190231E-3	71.477465E-6
-81.499995E-6	31.160012E-3	-5.8589553E-6	30.786669E-3	-53.849311E-6	31.149512E-3	-37.147849E-6	31.246433E-3	-33.495751E-6
-80.999998E-6	31.131333E-3	-60.355462E-6	30.835710E-3	74.000745E-6	31.138802E-3	-67.949491E-6	31.216633E-3	-83.097002E-6
-80.500002E-6	31.181643E-3	-40.403997E-6	30.887568E-3	37.156526E-6	31.167958E-3	8.7130929E-6	31.274788E-3	-15.015637E-6
-79.999998E-6	31.154178E-3	47.505033E-6	31.026529E-3	-53.330852E-6	31.167878E-3	68.582893E-6	31.343453E-3	66.602493E-6
-79.499994E-6	31.138966E-3	32.768996E-6	31.132633E-3	-62.363113E-6	31.295180E-3	17.597198E-6	31.400781E-3	20.359965E-6
-78.999998E-6	31.108199E-3	-40.304283E-6	31.120397E-3	36.316425E-6	31.286206E-3	-70.509406E-6	31.484012E-3	-66.414352E-6
-78.500001E-6	31.124989E-3	-75.834316E-6	31.147348E-3	58.301270E-6	31.328842E-3	-46.594632E-6	31.510912E-3	-56.779529E-6
-77.999997E-6	31.135380E-3	-33.100103E-6	31.181192E-3	-6.4270807E-6	31.296335E-3	32.596112E-6	31.528797E-3	47.813042E-6
-77.499993E-6	31.109875E-3	61.632403E-6	31.149559E-3	-61.351457E-6	31.322677E-3	55.862660E-6	31.447399E-3	44.180120E-6
-76.999997E-6	31.094057E-3	46.489175E-6	31.167310E-3	7.6620272E-6	31.388775E-3	-27.203796E-6	31.346656E-3	-30.137860E-6
-76.500000E-6	31.054944E-3	-43.431031E-6	31.212486E-3	77.623990E-6	31.425748E-3	-87.130575E-6	31.276505E-3	-83.305400E-6
-75.999997E-6	31.006994E-3	-82.977451E-6	31.253986E-3	13.040277E-6	31.490542E-3	-21.697804E-6	31.148775E-3	12.801805E-6
