Experiment	Sweeper	
Saved Date	30.06.2023 19:54:07	
User		
Date		
Start time	30.06.2023 19:42:02	
Sweep channel: Name	Output 2 (V)	
Sweep channel: Start (V)	-100E-6	
Sweep channel: Stop (V)	400E-6	
Sweep channel: Points	601	
Sweep channel: Max slew rate (V/s)	Inf	
Sweep channel: Initial settling time (s)	20E+3	
Sweep channel: End settling time (s)	2E+0	
Sweep channel: Backward sweep	TRUE	
Sweep channel: Number of sweeps	2	
Sweep channel: Reset	FALSE	
Step channel 1: Name	Output 3 (V)	
Step channel 1: Start (V)	50E-3	
Step channel 1: Stop (V)	50E-3	
Step channel 1: Points	2	
Step channel 1: Max slew rate (V/s)	10E+0	
Step channel 1:  Initial settling time (s)	2E+0	
Step channel 1: End settling time (s)	2E+0	
Step channel 1: Backward sweep	FALSE	
Step channel 1: Reset	FALSE	
Sweep Type	2D-Both RT	
Acquire channels	Input 1 (V);LI Demod 3 X (V)	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Output 2 Setp. (V)	Input 1 [00001] (V)	LI Demod 3 X [00001] (V)	Input 1 [00002] (V)	LI Demod 3 X [00002] (V)	Input 1 [00001] [bwd] (V)	LI Demod 3 X [00001] [bwd] (V)	Input 1 [00002] [bwd] (V)	LI Demod 3 X [00002] [bwd] (V)
-99.999997E-6	30.990155E-3	47.366480E-6	31.699285E-3	16.457141E-6	31.637501E-3	52.549309E-6	30.797446E-3	42.516444E-6
-99.166667E-6	30.989753E-3	47.358229E-6	31.700235E-3	-59.232294E-6	31.560387E-3	63.993357E-6	30.726973E-3	69.434485E-6
-98.333330E-6	30.994523E-3	-4.8142779E-6	31.608149E-3	-60.309627E-6	31.513344E-3	-16.843351E-6	30.700639E-3	-52.518746E-6
-97.500000E-6	30.917814E-3	-99.917241E-6	31.574834E-3	-7.2563989E-6	31.445917E-3	-96.791737E-6	30.703742E-3	-76.177246E-6
-96.666663E-6	30.943347E-3	-66.475106E-6	31.392723E-3	72.785871E-6	31.434998E-3	-41.276406E-6	30.640380E-3	15.771731E-6
-95.833333E-6	31.007824E-3	30.678584E-6	31.364869E-3	61.620500E-6	31.310949E-3	30.864292E-6	30.684078E-3	46.173627E-6
-94.999996E-6	30.968497E-3	69.978581E-6	31.306315E-3	-32.662745E-6	31.347722E-3	66.404689E-6	30.656561E-3	22.959577E-6
-94.166666E-6	30.944752E-3	31.866730E-6	31.323817E-3	-85.877298E-6	31.314664E-3	19.910000E-6	30.617287E-3	-73.007795E-6
-93.333329E-6	30.985055E-3	-46.250225E-6	31.340819E-3	-20.444413E-6	31.303592E-3	-64.515232E-6	30.638684E-3	-65.701111E-6
-92.499999E-6	30.986369E-3	-61.445775E-6	31.294830E-3	27.599481E-6	31.285409E-3	-68.818517E-6	30.651061E-3	50.568473E-6
-91.666661E-6	30.963385E-3	-46.269091E-6	31.283509E-3	69.573027E-6	31.293202E-3	-26.196931E-6	30.649576E-3	59.911148E-6
-90.833331E-6	30.931134E-3	44.128774E-6	31.286698E-3	28.393537E-6	31.263247E-3	67.667512E-6	30.635852E-3	-26.829952E-6
-90.000001E-6	30.937597E-3	71.296265E-6	31.280197E-3	-64.848187E-6	31.316683E-3	54.702505E-6	30.630192E-3	-76.711731E-6
-89.166664E-6	30.922204E-3	-5.1389302E-6	31.312533E-3	-75.396289E-6	31.331234E-3	6.7458654E-6	30.626280E-3	-19.827678E-6
-88.333334E-6	30.877128E-3	-66.613175E-6	31.281915E-3	-28.670267E-6	31.318214E-3	-68.519941E-6	30.567635E-3	92.133138E-6
-87.499997E-6	30.676864E-3	-46.115772E-6	31.319756E-3	69.901333E-6	31.278640E-3	-45.268072E-6	30.535126E-3	53.328182E-6
-86.666667E-6	30.701032E-3	3.0581664E-6	31.269312E-3	38.995357E-6	31.249188E-3	14.025237E-6	30.454010E-3	-64.254935E-6
-85.833330E-6	30.682644E-3	76.756274E-6	31.252924E-3	-42.247644E-6	31.213114E-3	68.710622E-6	30.381847E-3	-66.256733E-6
-85.000000E-6	30.715894E-3	71.905502E-6	31.212760E-3	-67.366775E-6	31.160876E-3	60.393351E-6	30.321043E-3	40.174637E-6
