Experiment	Sweeper	
Saved Date	30.06.2023 16:17:47	
User		
Date		
Start time	30.06.2023 16:15:38	
Sweep channel: Name	Output 2 (V)	
Sweep channel: Start (V)	0E+0	
Sweep channel: Stop (V)	200E-6	
Sweep channel: Points	201	
Sweep channel: Max slew rate (V/s)	Inf	
Sweep channel: Initial settling time (s)	20E+3	
Sweep channel: End settling time (s)	2E+0	
Sweep channel: Backward sweep	TRUE	
Sweep channel: Number of sweeps	2	
Sweep channel: Reset	FALSE	
Step channel 1: Name	Output 3 (V)	
Step channel 1: Start (V)	50E-3	
Step channel 1: Stop (V)	50E-3	
Step channel 1: Points	2	
Step channel 1: Max slew rate (V/s)	10E+0	
Step channel 1:  Initial settling time (s)	2E+0	
Step channel 1: End settling time (s)	2E+0	
Step channel 1: Backward sweep	FALSE	
Step channel 1: Reset	FALSE	
Sweep Type	2D-Both RT	
Acquire channels	Input 1 (V);LI Demod 3 X (V)	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Output 2 Setp. (V)	Input 1 [00001] (V)	LI Demod 3 X [00001] (V)	Input 1 [00002] (V)	LI Demod 3 X [00002] (V)	Input 1 [00001] [bwd] (V)	LI Demod 3 X [00001] [bwd] (V)	Input 1 [00002] [bwd] (V)	LI Demod 3 X [00002] [bwd] (V)
0.0000000E+0	30.875806E-3	7.5319704E-6	30.401260E-3	19.422368E-6	30.713420E-3	-27.425644E-6	-0.0000000E+0	NaN
999.9999900E-9	30.829767E-3	71.125454E-6	30.400889E-3	64.210340E-6	30.754093E-3	-78.218014E-6	-0.0000000E+0	NaN
2.0000000E-6	30.796910E-3	46.601439E-6	30.458597E-3	26.676706E-6	30.784527E-3	-64.779597E-6	-0.0000000E+0	NaN
3.0000001E-6	30.833734E-3	-19.855319E-6	30.485347E-3	-55.786288E-6	30.777929E-3	6.7245373E-6	0.0000000E+0	NaN
4.0000000E-6	30.813791E-3	-69.341986E-6	30.568670E-3	-79.154728E-6	30.931577E-3	50.513725E-6	0.0000000E+0	NaN
4.9999999E-6	30.820681E-3	-53.366195E-6	30.598739E-3	-18.807799E-6	31.074435E-3	39.720089E-6	-0.0000000E+0	NaN
6.0000002E-6	30.807991E-3	36.014655E-6	30.696686E-3	68.428628E-6	31.041045E-3	-26.780628E-6	-0.0000000E+0	NaN
7.0000001E-6	30.815111E-3	76.527394E-6	30.754941E-3	56.742305E-6	31.071154E-3	-81.708320E-6	-0.0000000E+0	NaN
8.0000000E-6	30.687163E-3	55.563603E-6	30.812399E-3	-4.8538272E-6	31.080792E-3	-41.608095E-6	0.0000000E+0	NaN
9.0000003E-6	30.548023E-3	-43.641074E-6	30.830786E-3	-67.582725E-6	31.111976E-3	32.367054E-6	0.0000000E+0	NaN
9.9999997E-6	30.437088E-3	-64.494001E-6	0.0000000E+0	NaN	31.158296E-3	70.069225E-6	-0.0000000E+0	NaN
11.000000E-6	30.419989E-3	-49.072452E-6	0.0000000E+0	NaN	31.192487E-3	26.753818E-6	-0.0000000E+0	NaN
12.000000E-6	30.445175E-3	38.409140E-6	0.0000000E+0	NaN	31.298544E-3	-77.069897E-6	-0.0000000E+0	NaN
13.000000E-6	30.495573E-3	94.629264E-6	0.0000000E+0	NaN	31.383000E-3	-74.298063E-6	0.0000000E+0	NaN
14.000000E-6	30.569492E-3	52.610631E-6	0.0000000E+0	NaN	31.456042E-3	-20.448844E-6	0.0000000E+0	NaN
15.000000E-6	30.728448E-3	-34.297358E-6	0.0000000E+0	NaN	31.518970E-3	56.176315E-6	-0.0000000E+0	NaN
16.000000E-6	30.815002E-3	-100.11347E-6	0.0000000E+0	NaN	31.585924E-3	53.500571E-6	-0.0000000E+0	NaN
17.000000E-6	30.854806E-3	-22.088701E-6	0.0000000E+0	NaN	31.520393E-3	12.720953E-6	-0.0000000E+0	NaN
18.000001E-6	30.888567E-3	30.757150E-6	0.0000000E+0	NaN	31.466380E-3	-66.470886E-6	0.0000000E+0	NaN
18.999999E-6	30.909983E-3	51.373616E-6	0.0000000E+0	NaN	31.405844E-3	-62.151557E-6	0.0000000E+0	NaN
19.999999E-6	30.911362E-3	21.601261E-6	0.0000000E+0	NaN	31.334646E-3	1.0666407E-6	-0.0000000E+0	NaN
21.000000E-6	30.896850E-3	-46.626654E-6	0.0000000E+0	NaN	31.289447E-3	62.615836E-6	-0.0000000E+0	NaN
22.000000E-6	30.913584E-3	-82.068524E-6	0.0000000E+0	NaN	31.226702E-3	43.679029E-6	-0.0000000E+0	NaN
23.000001E-6	30.913008E-3	-53.662534E-6	0.0000000E+0	NaN	31.194704E-3	-16.411585E-6	0.0000000E+0	NaN
24.000001E-6	30.976502E-3	51.854837E-6	0.0000000E+0	NaN	31.208916E-3	-80.567057E-6	0.0000000E+0	NaN
24.999999E-6	31.045262E-3	81.916238E-6	0.0000000E+0	NaN	31.217624E-3	-49.507489E-6	0.0000000E+0	NaN
26.000000E-6	31.138169E-3	46.663492E-6	0.0000000E+0	NaN	31.170493E-3	26.105286E-6	-0.0000000E+0	NaN
27.000000E-6	31.179952E-3	-58.482783E-6	0.0000000E+0	NaN	31.163648E-3	65.447202E-6	-0.0000000E+0	NaN
28.000000E-6	31.241586E-3	-80.697748E-6	0.0000000E+0	NaN	31.151848E-3	15.766698E-6	0.0000000E+0	NaN
29.000001E-6	31.251799E-3	-33.300097E-6	0.0000000E+0	NaN	31.137934E-3	-43.189448E-6	0.0000000E+0	NaN
29.999999E-6	31.218166E-3	46.828874E-6	0.0000000E+0	NaN	31.140605E-3	-79.765625E-6	0.0000000E+0	NaN
31.000000E-6	31.164927E-3	59.528578E-6	0.0000000E+0	NaN	31.121535E-3	-26.143658E-6	-0.0000000E+0	NaN
32.000000E-6	30.987050E-3	22.753329E-6	0.0000000E+0	NaN	31.113239E-3	56.003810E-6	-0.0000000E+0	NaN
33.000000E-6	30.870009E-3	-33.613189E-6	0.0000000E+0	NaN	31.074822E-3	66.787346E-6	0.0000000E+0	NaN
34.000001E-6	30.817209E-3	-59.335584E-6	0.0000000E+0	NaN	30.987388E-3	12.559773E-6	0.0000000E+0	NaN
35.000001E-6	30.785043E-3	-25.323543E-6	0.0000000E+0	NaN	30.899102E-3	-62.154897E-6	0.0000000E+0	NaN
36.000001E-6	30.786056E-3	26.030069E-6	0.0000000E+0	NaN	30.813888E-3	-43.108859E-6	-0.0000000E+0	NaN
37.000002E-6	30.761607E-3	76.586133E-6	0.0000000E+0	NaN	30.734526E-3	3.1438021E-6	-0.0000000E+0	NaN
37.999998E-6	30.771416E-3	29.993294E-6	0.0000000E+0	NaN	30.704020E-3	58.773076E-6	0.0000000E+0	NaN
38.999999E-6	30.742880E-3	-38.083883E-6	0.0000000E+0	NaN	30.689986E-3	52.454718E-6	0.0000000E+0	NaN
39.999999E-6	30.767197E-3	-80.835096E-6	0.0000000E+0	NaN	30.702958E-3	-6.3882221E-6	0.0000000E+0	NaN
40.999999E-6	30.708192E-3	-24.637240E-6	0.0000000E+0	NaN	30.745169E-3	-73.478142E-6	-0.0000000E+0	NaN
42.000000E-6	30.617822E-3	45.036650E-6	0.0000000E+0	NaN	30.819820E-3	-47.183294E-6	-0.0000000E+0	NaN
43.000000E-6	30.517718E-3	48.715076E-6	0.0000000E+0	NaN	30.896043E-3	30.010991E-6	-0.0000000E+0	NaN
44.000000E-6	30.444073E-3	43.736960E-6	0.0000000E+0	NaN	30.971020E-3	85.224026E-6	0.0000000E+0	NaN
45.000001E-6	30.405328E-3	-33.495329E-6	0.0000000E+0	NaN	30.999523E-3	24.505702E-6	0.0000000E+0	NaN
46.000001E-6	30.458299E-3	-81.593622E-6	0.0000000E+0	NaN	31.079659E-3	-54.579556E-6	-0.0000000E+0	NaN
47.000001E-6	30.522509E-3	-62.961735E-6	0.0000000E+0	NaN	31.084182E-3	-81.478611E-6	-0.0000000E+0	NaN
48.000002E-6	30.680191E-3	25.543211E-6	0.0000000E+0	NaN	31.115694E-3	-46.039240E-6	-0.0000000E+0	NaN
48.999998E-6	30.810226E-3	80.356855E-6	0.0000000E+0	NaN	31.074049E-3	52.354928E-6	0.0000000E+0	NaN
49.999999E-6	30.915512E-3	22.740878E-6	0.0000000E+0	NaN	31.063855E-3	53.472988E-6	0.0000000E+0	NaN
50.999999E-6	30.939456E-3	-32.220385E-6	0.0000000E+0	NaN	31.049088E-3	6.2971490E-6	-0.0000000E+0	NaN
51.999999E-6	30.939287E-3	-76.694923E-6	0.0000000E+0	NaN	31.084873E-3	-74.968244E-6	-0.0000000E+0	NaN
53.000000E-6	30.956950E-3	-52.171072E-6	0.0000000E+0	NaN	31.083643E-3	-85.147309E-6	-0.0000000E+0	NaN
54.000000E-6	30.937843E-3	22.221839E-6	0.0000000E+0	NaN	31.135825E-3	10.443503E-6	0.0000000E+0	NaN
55.000000E-6	30.873140E-3	69.233065E-6	0.0000000E+0	NaN	31.107506E-3	67.402951E-6	0.0000000E+0	NaN
56.000001E-6	30.932598E-3	37.167556E-6	0.0000000E+0	NaN	31.119317E-3	48.760165E-6	-0.0000000E+0	NaN
57.000001E-6	30.994833E-3	-30.801188E-6	0.0000000E+0	NaN	31.158358E-3	-15.579782E-6	-0.0000000E+0	NaN
58.000001E-6	31.101920E-3	-52.603718E-6	0.0000000E+0	NaN	31.262845E-3	-85.825421E-6	-0.0000000E+0	NaN
58.999998E-6	31.039964E-3	-50.977236E-6	0.0000000E+0	NaN	31.342842E-3	-34.612956E-6	0.0000000E+0	NaN
59.999998E-6	31.064671E-3	26.838490E-6	0.0000000E+0	NaN	31.428248E-3	25.583962E-6	0.0000000E+0	NaN
60.999999E-6	31.037809E-3	72.454539E-6	0.0000000E+0	NaN	31.474806E-3	86.820146E-6	-0.0000000E+0	NaN
61.999999E-6	30.927297E-3	43.965822E-6	0.0000000E+0	NaN	31.583440E-3	20.270807E-6	-0.0000000E+0	NaN
62.999999E-6	30.828893E-3	-20.533391E-6	0.0000000E+0	NaN	31.591356E-3	-44.996450E-6	-0.0000000E+0	NaN
64.000000E-6	30.707005E-3	-76.458709E-6	0.0000000E+0	NaN	31.575218E-3	-84.521220E-6	0.0000000E+0	NaN
65.000000E-6	30.700155E-3	-62.099272E-6	0.0000000E+0	NaN	31.534433E-3	-25.956078E-6	0.0000000E+0	NaN
66.000001E-6	30.638037E-3	11.744493E-6	0.0000000E+0	NaN	31.493075E-3	50.246941E-6	-0.0000000E+0	NaN
67.000001E-6	30.609345E-3	46.203208E-6	0.0000000E+0	NaN	31.345982E-3	63.030988E-6	-0.0000000E+0	NaN
68.000001E-6	30.592991E-3	29.913115E-6	0.0000000E+0	NaN	31.303324E-3	661.47192E-9	-0.0000000E+0	NaN
69.000002E-6	30.622626E-3	-22.721093E-6	0.0000000E+0	NaN	31.278469E-3	-49.065173E-6	0.0000000E+0	NaN
70.000002E-6	30.601094E-3	-84.647727E-6	0.0000000E+0	NaN	31.240106E-3	-80.172525E-6	0.0000000E+0	NaN
71.000002E-6	30.538598E-3	-69.435337E-6	0.0000000E+0	NaN	31.226339E-3	-25.316545E-6	0.0000000E+0	NaN
72.000003E-6	30.567309E-3	2.8748118E-6	0.0000000E+0	NaN	31.219572E-3	65.804386E-6	-0.0000000E+0	NaN
73.000003E-6	30.445449E-3	68.487469E-6	0.0000000E+0	NaN	31.263720E-3	52.258023E-6	-0.0000000E+0	NaN
74.000003E-6	30.329382E-3	46.060144E-6	0.0000000E+0	NaN	31.206485E-3	-20.596108E-6	0.0000000E+0	NaN
74.999996E-6	30.242717E-3	-11.363549E-6	0.0000000E+0	NaN	31.236481E-3	-83.826373E-6	0.0000000E+0	NaN
75.999997E-6	30.276526E-3	-65.571287E-6	0.0000000E+0	NaN	31.285785E-3	-55.967274E-6	0.0000000E+0	NaN
76.999997E-6	30.306777E-3	-71.190560E-6	0.0000000E+0	NaN	31.238455E-3	17.830902E-6	-0.0000000E+0	NaN
77.999997E-6	30.392027E-3	15.453017E-6	0.0000000E+0	NaN	31.160478E-3	63.969550E-6	-0.0000000E+0	NaN
78.999998E-6	30.525383E-3	83.068560E-6	0.0000000E+0	NaN	31.092504E-3	40.607072E-6	-0.0000000E+0	NaN
79.999998E-6	30.647373E-3	52.092808E-6	0.0000000E+0	NaN	30.983986E-3	-25.237221E-6	0.0000000E+0	NaN
80.999998E-6	30.723142E-3	-25.917425E-6	0.0000000E+0	NaN	30.913999E-3	-67.710760E-6	0.0000000E+0	NaN
81.999999E-6	30.729104E-3	-75.712946E-6	0.0000000E+0	NaN	30.822802E-3	-69.024980E-6	-0.0000000E+0	NaN
82.999999E-6	30.689901E-3	-70.963171E-6	0.0000000E+0	NaN	30.747695E-3	19.542558E-6	-0.0000000E+0	NaN
83.999999E-6	30.747887E-3	31.837917E-6	0.0000000E+0	NaN	30.754270E-3	74.708048E-6	0.0000000E+0	NaN
85.000000E-6	30.725338E-3	82.557279E-6	0.0000000E+0	NaN	30.836243E-3	54.330256E-6	0.0000000E+0	NaN
86.000000E-6	30.743144E-3	61.020026E-6	0.0000000E+0	NaN	30.905306E-3	-34.514971E-6	0.0000000E+0	NaN
87.000000E-6	30.769901E-3	-16.416552E-6	0.0000000E+0	NaN	31.001711E-3	-77.955672E-6	-0.0000000E+0	NaN
88.000001E-6	30.786570E-3	-96.420634E-6	0.0000000E+0	NaN	31.046499E-3	-40.889085E-6	-0.0000000E+0	NaN
