Experiment	Sweeper	
Saved Date	01.07.2023 13:04:09	
User		
Date		
Start time	01.07.2023 11:15:28	
Sweep channel: Name	Output 2 (V)	
Sweep channel: Start (V)	-200E-6	
Sweep channel: Stop (V)	1E-3	
Sweep channel: Points	601	
Sweep channel: Max slew rate (V/s)	Inf	
Sweep channel: Initial settling time (s)	20E+3	
Sweep channel: End settling time (s)	2E+0	
Sweep channel: Backward sweep	TRUE	
Sweep channel: Number of sweeps	20	
Sweep channel: Reset	FALSE	
Step channel 1: Name	Output 3 (V)	
Step channel 1: Start (V)	50E-3	
Step channel 1: Stop (V)	50E-3	
Step channel 1: Points	20	
Step channel 1: Max slew rate (V/s)	10E+0	
Step channel 1:  Initial settling time (s)	2E+0	
Step channel 1: End settling time (s)	2E+0	
Step channel 1: Backward sweep	FALSE	
Step channel 1: Reset	FALSE	
Sweep Type	2D-Both RT	
Acquire channels	Input 1 (V);LI Demod 3 X (V)	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Output 2 Setp. (V)	Input 1 [00001] (V)	LI Demod 3 X [00001] (V)	Input 1 [00002] (V)	LI Demod 3 X [00002] (V)	Input 1 [00003] (V)	LI Demod 3 X [00003] (V)	Input 1 [00004] (V)	LI Demod 3 X [00004] (V)	Input 1 [00005] (V)	LI Demod 3 X [00005] (V)	Input 1 [00006] (V)	LI Demod 3 X [00006] (V)	Input 1 [00007] (V)	LI Demod 3 X [00007] (V)	Input 1 [00008] (V)	LI Demod 3 X [00008] (V)	Input 1 [00009] (V)	LI Demod 3 X [00009] (V)	Input 1 [00010] (V)	LI Demod 3 X [00010] (V)	Input 1 [00011] (V)	LI Demod 3 X [00011] (V)	Input 1 [00012] (V)	LI Demod 3 X [00012] (V)	Input 1 [00013] (V)	LI Demod 3 X [00013] (V)	Input 1 [00014] (V)	LI Demod 3 X [00014] (V)	Input 1 [00015] (V)	LI Demod 3 X [00015] (V)	Input 1 [00016] (V)	LI Demod 3 X [00016] (V)	Input 1 [00017] (V)	LI Demod 3 X [00017] (V)	Input 1 [00018] (V)	LI Demod 3 X [00018] (V)	Input 1 [00001] [bwd] (V)	LI Demod 3 X [00001] [bwd] (V)	Input 1 [00002] [bwd] (V)	LI Demod 3 X [00002] [bwd] (V)	Input 1 [00003] [bwd] (V)	LI Demod 3 X [00003] [bwd] (V)	Input 1 [00004] [bwd] (V)	LI Demod 3 X [00004] [bwd] (V)	Input 1 [00005] [bwd] (V)	LI Demod 3 X [00005] [bwd] (V)	Input 1 [00006] [bwd] (V)	LI Demod 3 X [00006] [bwd] (V)	Input 1 [00007] [bwd] (V)	LI Demod 3 X [00007] [bwd] (V)	Input 1 [00008] [bwd] (V)	LI Demod 3 X [00008] [bwd] (V)	Input 1 [00009] [bwd] (V)	LI Demod 3 X [00009] [bwd] (V)	Input 1 [00010] [bwd] (V)	LI Demod 3 X [00010] [bwd] (V)	Input 1 [00011] [bwd] (V)	LI Demod 3 X [00011] [bwd] (V)	Input 1 [00012] [bwd] (V)	LI Demod 3 X [00012] [bwd] (V)	Input 1 [00013] [bwd] (V)	LI Demod 3 X [00013] [bwd] (V)	Input 1 [00014] [bwd] (V)	LI Demod 3 X [00014] [bwd] (V)	Input 1 [00015] [bwd] (V)	LI Demod 3 X [00015] [bwd] (V)	Input 1 [00016] [bwd] (V)	LI Demod 3 X [00016] [bwd] (V)	Input 1 [00017] [bwd] (V)	LI Demod 3 X [00017] [bwd] (V)	Input 1 [00018] [bwd] (V)	LI Demod 3 X [00018] [bwd] (V)
-199.99999E-6	41.017994E-3	800.67758E-6	40.192265E-3	796.27265E-6	41.208051E-3	888.32184E-6	41.033443E-3	863.94633E-6	40.748369E-3	784.56721E-6	40.732648E-3	911.13459E-6	40.899966E-3	839.29417E-6	40.693801E-3	886.91985E-6	41.387182E-3	857.33621E-6	41.127138E-3	781.16381E-6	40.801395E-3	773.09174E-6	40.586285E-3	797.83908E-6	40.987950E-3	847.25738E-6	41.128390E-3	760.98117E-6	40.495679E-3	763.97980E-6	40.712841E-3	780.10786E-6	41.272387E-3	855.08864E-6	40.789418E-3	826.60851E-6	40.575765E-3	795.22672E-6	40.925935E-3	913.45416E-6	41.029323E-3	889.37278E-6	40.837642E-3	780.86602E-6	40.462658E-3	888.54722E-6	41.271597E-3	799.28787E-6	40.910881E-3	846.80750E-6	41.453443E-3	905.14118E-6	40.691465E-3	795.88208E-6	41.187834E-3	767.85521E-6	40.665217E-3	783.94823E-6	40.976543E-3	759.04757E-6	41.150156E-3	863.88527E-6	40.775035E-3	784.13007E-6	41.113224E-3	774.70962E-6	41.044444E-3	845.68810E-6	40.774856E-3	754.56034E-6	0.0000000E+0	0.0000000E+0
-197.99999E-6	40.862296E-3	894.01106E-6	40.036585E-3	838.18950E-6	41.214179E-3	837.94515E-6	41.079268E-3	765.40565E-6	40.773444E-3	850.38145E-6	40.804368E-3	847.62182E-6	40.842842E-3	892.59562E-6	40.685363E-3	874.19886E-6	41.333918E-3	811.63686E-6	41.125070E-3	792.77175E-6	40.811308E-3	788.81928E-6	40.620092E-3	831.43672E-6	41.041747E-3	931.54953E-6	41.070860E-3	813.01265E-6	40.495541E-3	846.09090E-6	40.666122E-3	760.49223E-6	41.321859E-3	881.14548E-6	40.824775E-3	902.84803E-6	40.550273E-3	878.11175E-6	40.929876E-3	852.17285E-6	41.024562E-3	845.80370E-6	40.875796E-3	873.70572E-6	40.459234E-3	819.15554E-6	41.253079E-3	783.71877E-6	41.032847E-3	773.78517E-6	41.422676E-3	852.13286E-6	40.702999E-3	882.24449E-6	41.166190E-3	846.72245E-6	40.705018E-3	842.59117E-6	41.009169E-3	793.89609E-6	41.152008E-3	894.78312E-6	40.791210E-3	893.38393E-6	41.075170E-3	842.18651E-6	40.991314E-3	783.94427E-6	40.784139E-3	844.06324E-6	0.0000000E+0	0.0000000E+0
-195.99999E-6	40.772986E-3	942.76515E-6	39.970901E-3	876.21470E-6	41.093953E-3	765.45676E-6	41.069739E-3	780.34477E-6	40.742941E-3	892.96245E-6	40.852014E-3	799.15742E-6	40.803686E-3	881.24344E-6	40.674731E-3	828.91993E-6	41.276827E-3	754.28153E-6	41.082874E-3	846.28019E-6	40.779836E-3	852.30812E-6	40.599510E-3	893.56332E-6	40.988393E-3	848.50437E-6	40.919621E-3	896.52149E-6	40.529251E-3	883.95958E-6	40.564798E-3	838.56756E-6	41.379690E-3	897.86528E-6	40.979329E-3	876.12082E-6	40.663533E-3	910.88685E-6	40.948965E-3	787.88953E-6	40.961869E-3	782.08908E-6	40.894259E-3	897.64316E-6	40.488128E-3	769.95773E-6	41.197311E-3	825.60838E-6	41.055165E-3	758.83564E-6	41.410051E-3	797.03669E-6	40.722977E-3	886.40075E-6	41.119043E-3	886.95058E-6	40.786993E-3	907.16180E-6	41.029546E-3	874.24490E-6	41.175727E-3	793.40255E-6	40.819101E-3	910.56078E-6	40.966466E-3	909.57736E-6	40.861696E-3	776.32669E-6	40.799923E-3	892.22402E-6	0.0000000E+0	0.0000000E+0
-193.99999E-6	40.704075E-3	899.37204E-6	40.015794E-3	924.28853E-6	41.041233E-3	780.92696E-6	41.130174E-3	878.90791E-6	40.711071E-3	846.74731E-6	40.882625E-3	785.41960E-6	40.751100E-3	792.40301E-6	40.664997E-3	780.02881E-6	41.246671E-3	847.05430E-6	40.986933E-3	906.80533E-6	40.734630E-3	892.20208E-6	40.503517E-3	891.25783E-6	41.057728E-3	794.28946E-6	40.739540E-3	857.47521E-6	40.516928E-3	835.70281E-6	40.560540E-3	910.21555E-6	41.326083E-3	796.69687E-6	41.017499E-3	794.38608E-6	40.676527E-3	890.37511E-6	40.967096E-3	752.02080E-6	40.896840E-3	792.30079E-6	40.968541E-3	810.90920E-6	40.500894E-3	798.95050E-6	41.174170E-3	884.98980E-6	41.135985E-3	841.64290E-6	41.379865E-3	788.26264E-6	40.755607E-3	873.82091E-6	41.059069E-3	887.51822E-6	40.905938E-3	935.71231E-6	41.037370E-3	879.77730E-6	41.236818E-3	757.75210E-6	40.870313E-3	808.93806E-6	40.865045E-3	873.77924E-6	40.643603E-3	788.06386E-6	40.805601E-3	838.77321E-6	0.0000000E+0	0.0000000E+0
-191.99999E-6	40.705297E-3	830.70231E-6	40.071506E-3	909.88993E-6	40.958438E-3	857.16788E-6	41.114707E-3	896.46125E-6	40.738154E-3	771.09569E-6	40.926963E-3	853.09020E-6	40.855940E-3	761.27530E-6	40.635139E-3	798.65218E-6	41.274782E-3	893.46315E-6	40.898673E-3	877.82054E-6	40.728156E-3	841.34069E-6	40.481612E-3	863.15756E-6	41.052092E-3	780.61497E-6	40.590160E-3	753.30457E-6	40.490460E-3	747.52106E-6	40.564146E-3	865.42539E-6	41.131884E-3	776.53222E-6	41.119542E-3	784.55481E-6	40.674962E-3	791.60708E-6	40.947076E-3	789.23145E-6	40.831279E-3	883.71936E-6	41.014034E-3	765.42434E-6	40.464781E-3	851.91202E-6	41.204654E-3	875.11633E-6	41.139517E-3	882.92570E-6	41.410293E-3	835.05065E-6	40.738996E-3	802.68312E-6	40.972825E-3	794.07194E-6	40.932853E-3	856.80489E-6	41.075949E-3	813.54543E-6	41.294899E-3	854.68445E-6	40.884353E-3	746.49247E-6	40.831305E-3	797.65584E-6	40.506113E-3	857.54332E-6	40.815618E-3	751.39879E-6	0.0000000E+0	0.0000000E+0
-189.99999E-6	40.793404E-3	763.69685E-6	40.205374E-3	791.94672E-6	40.999237E-3	884.75487E-6	41.226909E-3	824.53474E-6	40.766299E-3	789.13494E-6	41.041441E-3	884.19492E-6	40.899318E-3	805.84415E-6	40.692113E-3	855.65686E-6	41.357301E-3	873.71998E-6	40.844668E-3	788.59372E-6	40.820181E-3	762.25342E-6	40.558562E-3	765.74937E-6	41.155100E-3	863.41030E-6	40.638510E-3	803.99180E-6	40.555231E-3	778.93463E-6	40.696412E-3	810.57171E-6	41.028030E-3	746.88881E-6	41.298807E-3	874.16399E-6	40.788986E-3	737.05195E-6	41.004859E-3	864.43528E-6	40.826619E-3	875.50119E-6	41.114189E-3	797.75072E-6	40.570188E-3	879.89809E-6	41.212562E-3	791.72844E-6	41.156229E-3	868.30260E-6	41.449785E-3	905.32273E-6	40.842433E-3	727.17835E-6	40.934466E-3	750.79087E-6	41.110013E-3	767.02982E-6	41.117951E-3	758.20222E-6	41.394226E-3	894.46298E-6	40.875535E-3	825.27165E-6	40.817510E-3	741.35081E-6	40.685724E-3	885.57362E-6	40.801119E-3	766.62138E-6	0.0000000E+0	0.0000000E+0
-187.99999E-6	40.824894E-3	802.10972E-6	40.316276E-3	760.11865E-6	40.941600E-3	859.00427E-6	41.336007E-3	747.99778E-6	40.745348E-3	873.39658E-6	41.025564E-3	869.93759E-6	40.863760E-3	860.67582E-6	40.696565E-3	892.48677E-6	41.288476E-3	792.68496E-6	40.777277E-3	759.12953E-6	40.868472E-3	748.00901E-6	40.544245E-3	769.01371E-6	41.193679E-3	904.73139E-6	40.709309E-3	868.06051E-6	40.525902E-3	870.08282E-6	40.698603E-3	737.14979E-6	40.797818E-3	829.66295E-6	41.416876E-3	891.55178E-6	40.850662E-3	801.57566E-6	41.023385E-3	894.95193E-6	40.812150E-3	795.79762E-6	41.121218E-3	877.93480E-6	40.542096E-3	853.42611E-6	41.187022E-3	753.69613E-6	41.089103E-3	799.88164E-6	41.452527E-3	876.23828E-6	40.847268E-3	788.12725E-6	40.921193E-3	794.50262E-6	41.092630E-3	770.83887E-6	41.084059E-3	828.58501E-6	41.441679E-3	810.41746E-6	40.643707E-3	885.86559E-6	40.789917E-3	790.92057E-6	40.789209E-3	854.51803E-6	40.625975E-3	865.26846E-6	0.0000000E+0	0.0000000E+0
-185.99999E-6	40.777225E-3	850.39058E-6	40.272415E-3	840.49354E-6	40.894985E-3	793.96245E-6	41.339226E-3	781.96195E-6	40.748674E-3	896.23372E-6	41.016631E-3	795.58103E-6	40.886313E-3	886.41210E-6	40.693440E-3	835.11299E-6	41.341249E-3	760.87198E-6	40.682115E-3	776.96645E-6	40.853284E-3	831.03304E-6	40.474258E-3	832.64633E-6	41.173283E-3	810.80588E-6	40.885404E-3	865.16381E-6	40.490277E-3	878.32683E-6	40.760428E-3	791.06929E-6	40.758383E-3	889.59321E-6	41.404039E-3	806.09112E-6	40.830545E-3	874.54112E-6	40.953401E-3	825.36950E-6	40.873073E-3	749.95327E-6	41.103948E-3	861.32804E-6	40.557515E-3	764.95693E-6	41.114874E-3	808.44242E-6	41.089751E-3	748.68894E-6	41.477822E-3	791.78612E-6	40.797055E-3	856.82981E-6	40.850408E-3	856.19418E-6	41.064661E-3	830.49590E-6	41.011684E-3	874.59717E-6	41.386768E-3	742.71183E-6	40.731434E-3	849.18941E-6	40.761121E-3	893.15383E-6	40.906250E-3	832.07019E-6	40.616844E-3	871.01234E-6	0.0000000E+0	0.0000000E+0
-183.99999E-6	40.751461E-3	920.96423E-6	40.356457E-3	879.53790E-6	40.887617E-3	753.79049E-6	41.395683E-3	887.95437E-6	40.851746E-3	824.56146E-6	41.006897E-3	750.26782E-6	40.838987E-3	794.99203E-6	40.641107E-3	751.51131E-6	41.385747E-3	831.77222E-6	40.678546E-3	870.62875E-6	40.790256E-3	879.67794E-6	40.258214E-3	882.58111E-6	41.158326E-3	743.65002E-6	40.965166E-3	757.33272E-6	40.442623E-3	807.31825E-6	40.701315E-3	848.79482E-6	40.773157E-3	877.67583E-6	41.392863E-3	738.17099E-6	40.838096E-3	892.86186E-6	40.914413E-3	762.01645E-6	40.885493E-3	794.43527E-6	41.060805E-3	802.09156E-6	40.581170E-3	745.57558E-6	41.146580E-3	874.14001E-6	41.023668E-3	786.76711E-6	41.482318E-3	739.56518E-6	40.773761E-3	887.76421E-6	40.833227E-3	897.56749E-6	40.980719E-3	876.58665E-6	40.973235E-3	862.91239E-6	41.282166E-3	805.89787E-6	40.798359E-3	783.92209E-6	40.775057E-3	899.66808E-6	40.967051E-3	766.77627E-6	40.605210E-3	793.35494E-6	0.0000000E+0	0.0000000E+0
-181.99999E-6	40.665336E-3	892.57909E-6	40.445492E-3	881.21311E-6	40.823452E-3	792.58939E-6	41.408770E-3	888.99030E-6	40.813249E-3	757.30955E-6	40.988050E-3	796.74047E-6	40.841833E-3	741.47817E-6	40.613331E-3	775.23291E-6	41.366633E-3	887.07980E-6	40.695868E-3	896.47883E-6	40.762894E-3	894.36286E-6	40.233277E-3	868.82297E-6	41.187402E-3	779.97684E-6	40.895067E-3	747.52670E-6	40.409535E-3	726.41636E-6	40.689744E-3	894.15797E-6	40.721860E-3	823.55074E-6	41.336238E-3	800.36564E-6	40.892191E-3	807.17058E-6	40.913757E-3	764.07485E-6	40.883455E-3	889.01189E-6	41.035883E-3	777.43473E-6	40.647767E-3	828.72791E-6	41.125394E-3	879.45635E-6	40.993191E-3	891.46890E-6	41.468669E-3	830.39951E-6	40.705819E-3	849.30152E-6	40.868346E-3	826.36875E-6	40.909048E-3	901.91647E-6	41.011315E-3	758.99670E-6	41.179992E-3	878.02490E-6	40.786207E-3	758.81544E-6	40.776130E-3	834.64989E-6	40.958647E-3	767.30491E-6	40.498327E-3	748.09889E-6	0.0000000E+0	0.0000000E+0
