Experiment	Sweeper	
Saved Date	03.07.2023 02:01:14	
User		
Date		
Start time	03.07.2023 01:00:49	
Sweep channel: Name	Output 2 (V)	
Sweep channel: Start (V)	-200E-6	
Sweep channel: Stop (V)	1E-3	
Sweep channel: Points	601	
Sweep channel: Max slew rate (V/s)	Inf	
Sweep channel: Initial settling time (s)	20E+3	
Sweep channel: End settling time (s)	2E+0	
Sweep channel: Backward sweep	TRUE	
Sweep channel: Number of sweeps	10	
Sweep channel: Reset	FALSE	
Step channel 1: Name	Output 3 (V)	
Step channel 1: Start (V)	50E-3	
Step channel 1: Stop (V)	50E-3	
Step channel 1: Points	10	
Step channel 1: Max slew rate (V/s)	10E+0	
Step channel 1:  Initial settling time (s)	2E+0	
Step channel 1: End settling time (s)	2E+0	
Step channel 1: Backward sweep	FALSE	
Step channel 1: Reset	FALSE	
Sweep Type	2D-Both RT	
Acquire channels	Input 1 (V);LI Demod 3 X (V)	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Output 2 Setp. (V)	Input 1 [00001] (V)	LI Demod 3 X [00001] (V)	Input 1 [00002] (V)	LI Demod 3 X [00002] (V)	Input 1 [00003] (V)	LI Demod 3 X [00003] (V)	Input 1 [00004] (V)	LI Demod 3 X [00004] (V)	Input 1 [00005] (V)	LI Demod 3 X [00005] (V)	Input 1 [00006] (V)	LI Demod 3 X [00006] (V)	Input 1 [00007] (V)	LI Demod 3 X [00007] (V)	Input 1 [00008] (V)	LI Demod 3 X [00008] (V)	Input 1 [00009] (V)	LI Demod 3 X [00009] (V)	Input 1 [00010] (V)	LI Demod 3 X [00010] (V)	Input 1 [00001] [bwd] (V)	LI Demod 3 X [00001] [bwd] (V)	Input 1 [00002] [bwd] (V)	LI Demod 3 X [00002] [bwd] (V)	Input 1 [00003] [bwd] (V)	LI Demod 3 X [00003] [bwd] (V)	Input 1 [00004] [bwd] (V)	LI Demod 3 X [00004] [bwd] (V)	Input 1 [00005] [bwd] (V)	LI Demod 3 X [00005] [bwd] (V)	Input 1 [00006] [bwd] (V)	LI Demod 3 X [00006] [bwd] (V)	Input 1 [00007] [bwd] (V)	LI Demod 3 X [00007] [bwd] (V)	Input 1 [00008] [bwd] (V)	LI Demod 3 X [00008] [bwd] (V)	Input 1 [00009] [bwd] (V)	LI Demod 3 X [00009] [bwd] (V)	Input 1 [00010] [bwd] (V)	LI Demod 3 X [00010] [bwd] (V)
-199.99999E-6	34.528244E-3	563.59428E-6	39.466355E-3	1.1022006E-3	36.626291E-3	2.5094850E-3	35.689518E-3	2.3193401E-3	37.309624E-3	2.2222481E-3	34.492694E-3	957.36008E-6	36.562901E-3	2.6321113E-3	34.459025E-3	1.9187930E-3	39.948124E-3	1.6030455E-3	38.314730E-3	705.71509E-6	39.782513E-3	1.1120497E-3	39.261207E-3	922.18578E-6	32.426305E-3	896.29344E-6	36.640953E-3	1.5751726E-3	32.457314E-3	1.2455593E-3	35.360869E-3	1.6402409E-3	33.514790E-3	1.4175203E-3	38.558580E-3	1.3871446E-3	38.476955E-3	2.3823408E-3	38.060140E-3	1.1931893E-3
-197.99999E-6	40.002089E-3	1.9267998E-3	39.426330E-3	2.1137469E-3	38.204420E-3	1.6976794E-3	36.405463E-3	1.4285920E-3	40.568817E-3	916.48276E-6	34.990236E-3	2.2927364E-3	36.748298E-3	2.0031391E-3	35.787579E-3	1.2220915E-3	37.781134E-3	1.4934092E-3	39.042871E-3	1.2870730E-3	39.253063E-3	1.9595742E-3	36.748666E-3	952.45679E-6	34.697697E-3	1.2442612E-3	39.431065E-3	1.5402630E-3	36.869660E-3	2.6688941E-3	39.486725E-3	2.0238445E-3	31.231582E-3	1.8311840E-3	38.138092E-3	1.3945310E-3	37.841316E-3	1.7754299E-3	40.333394E-3	948.98028E-6
-195.99999E-6	35.817608E-3	2.0527816E-3	38.638331E-3	2.0407473E-3	35.364714E-3	2.2151335E-3	37.494630E-3	1.6978895E-3	36.319587E-3	1.4049030E-3	36.212139E-3	693.60505E-6	37.072264E-3	2.9004703E-3	39.602779E-3	1.1767868E-3	32.933310E-3	313.00643E-6	34.091163E-3	865.04262E-6	37.446890E-3	1.6103489E-3	36.708102E-3	1.5361435E-3	34.852833E-3	1.2642436E-3	32.444742E-3	941.73569E-6	34.491852E-3	1.5538192E-3	34.663115E-3	2.2954145E-3	36.231741E-3	2.0343792E-3	32.938901E-3	1.4958980E-3	38.709108E-3	1.6402130E-3	40.369589E-3	809.82602E-6
-193.99999E-6	37.301164E-3	2.7433606E-3	36.223643E-3	1.4923364E-3	37.458338E-3	1.3000919E-3	31.384658E-3	935.37779E-6	38.224164E-3	1.9717298E-3	32.082610E-3	203.23231E-6	34.957837E-3	721.46364E-6	34.702674E-3	1.1658848E-3	35.158657E-3	967.53734E-6	40.428095E-3	842.56520E-6	35.587870E-3	1.4038163E-3	39.898034E-3	1.2793094E-3	35.776321E-3	1.0578721E-3	36.421824E-3	2.5590742E-3	39.666381E-3	863.77974E-6	38.169432E-3	1.8425733E-3	37.725598E-3	1.2385028E-3	31.870797E-3	177.40190E-6	36.964979E-3	1.6895174E-3	37.538882E-3	787.29831E-6
-191.99999E-6	37.147246E-3	1.4257386E-3	38.455121E-3	1.7185970E-3	39.007679E-3	1.6572907E-3	36.416516E-3	1.6732216E-3	40.074356E-3	752.95981E-6	31.506423E-3	184.82766E-6	33.010375E-3	1.6589985E-3	30.914150E-3	-34.314966E-6	36.871858E-3	2.1339722E-3	38.688272E-3	1.8781268E-3	36.195934E-3	595.79429E-6	38.236074E-3	2.1716713E-3	39.546441E-3	508.80911E-6	33.056807E-3	2.1391434E-3	37.408419E-3	1.6780671E-3	32.088917E-3	58.273617E-6	36.140788E-3	1.8357506E-3	37.595592E-3	1.6287868E-3	38.894139E-3	1.2087162E-3	38.544141E-3	1.5562701E-3
-189.99999E-6	33.214435E-3	391.66430E-6	31.250838E-3	801.94301E-6	34.219541E-3	1.7965797E-3	35.664447E-3	2.2958876E-3	31.960301E-3	1.9055464E-3	32.508474E-3	2.2764730E-3	30.826077E-3	35.013058E-6	32.154694E-3	186.23678E-6	35.918534E-3	2.6321022E-3	36.652181E-3	2.7592373E-3	31.418841E-3	993.21094E-6	33.802442E-3	904.61399E-6	38.248427E-3	2.1006791E-3	32.226559E-3	59.017191E-6	40.665500E-3	901.88027E-6	35.010617E-3	1.3540150E-3	30.912265E-3	360.58269E-6	32.443281E-3	41.316380E-6	31.341016E-3	237.86837E-6	35.478238E-3	2.4241789E-3
-187.99999E-6	31.761728E-3	889.46946E-6	35.787277E-3	2.1369201E-3	35.849042E-3	2.0841267E-3	35.413370E-3	752.42593E-6	32.500278E-3	2.0849942E-3	33.932835E-3	1.6608594E-3	30.878300E-3	79.782862E-6	35.353139E-3	1.4945006E-3	31.676237E-3	573.35809E-6	39.673347E-3	2.2127307E-3	34.078568E-3	1.5256698E-3	40.703516E-3	844.96301E-6	32.405391E-3	1.4293613E-3	35.319291E-3	250.06486E-6	38.093701E-3	1.2874168E-3	32.890070E-3	2.0882634E-3	31.292621E-3	113.61039E-6	34.598883E-3	-29.021159E-6	37.874170E-3	658.29727E-6	34.037720E-3	747.65988E-6
-185.99999E-6	34.942959E-3	1.7676948E-3	35.275877E-3	802.75617E-6	34.353122E-3	2.6019735E-3	36.053766E-3	2.2174574E-3	33.647139E-3	1.9288040E-3	32.923229E-3	619.77399E-6	30.867517E-3	1.5637617E-3	30.906281E-3	48.573529E-6	31.691663E-3	602.33258E-6	36.596954E-3	1.6812483E-3	33.128086E-3	2.1706177E-3	39.623119E-3	1.5111130E-3	32.637931E-3	967.67029E-6	31.158775E-3	-55.112145E-6	31.998504E-3	32.611202E-6	33.296417E-3	2.8839654E-3	32.176428E-3	373.78122E-6	33.959650E-3	2.0345699E-3	37.891012E-3	1.8816721E-3	35.189953E-3	2.8635559E-3
-183.99999E-6	31.851005E-3	834.66090E-6	31.742550E-3	1.3181382E-3	36.341537E-3	3.0305749E-3	33.571742E-3	1.5955749E-3	36.782205E-3	2.1219910E-3	32.390308E-3	548.58270E-6	31.665698E-3	2.3188924E-3	31.156966E-3	881.16026E-6	31.637073E-3	-67.615831E-6	35.845514E-3	2.4808431E-3	32.578222E-3	1.0462027E-3	37.646759E-3	2.9973334E-3	34.875393E-3	233.48586E-6	33.346303E-3	1.4582005E-3	39.332811E-3	929.08950E-6	32.547407E-3	1.1152741E-3	34.647804E-3	643.07248E-6	31.487696E-3	1.2197286E-3	32.441258E-3	210.76223E-6	32.536130E-3	2.2996985E-3
-181.99999E-6	33.586882E-3	2.7717852E-3	32.865021E-3	1.4905931E-3	33.593394E-3	1.4074000E-3	37.938815E-3	2.3073603E-3	34.520891E-3	1.3934053E-3	32.547917E-3	29.250117E-6	30.835118E-3	399.80983E-6	30.912969E-3	-45.909259E-6	34.871943E-3	1.3562749E-3	35.335902E-3	2.3345486E-3	31.238535E-3	102.17267E-6	34.203798E-3	768.74730E-6	32.995112E-3	1.9280342E-3	34.750301E-3	1.3377478E-3	40.159106E-3	1.4222524E-3	33.144735E-3	349.57743E-6	37.165821E-3	2.5973625E-3	31.464241E-3	69.341542E-6	34.567796E-3	2.5001606E-3	38.505938E-3	1.9556491E-3
-180.00000E-6	34.588672E-3	1.8418976E-3	32.438580E-3	1.2229033E-3	34.030419E-3	2.1919084E-3	36.970429E-3	968.02844E-6	37.583962E-3	1.8231593E-3	31.464431E-3	1.4083420E-6	30.882027E-3	44.990480E-6	30.990053E-3	731.23828E-6	32.637697E-3	1.1811218E-3	32.706089E-3	2.0586841E-3	32.890037E-3	2.2442813E-3	37.360810E-3	1.7809969E-3	37.767258E-3	2.3314594E-3	35.200790E-3	2.0086695E-3	34.225222E-3	2.8471253E-3	36.809690E-3	2.0199839E-3	32.559004E-3	-15.008184E-6	31.456199E-3	757.53679E-6	34.664653E-3	1.9460691E-3	36.784668E-3	1.9519391E-3
-177.99999E-6	35.176698E-3	1.0857505E-3	30.947506E-3	1.0999825E-3	36.005944E-3	2.2142373E-3	31.156842E-3	331.17546E-6	35.640303E-3	1.6832047E-3	33.500277E-3	354.99901E-6	37.002876E-3	2.4235905E-3	33.773437E-3	2.6577928E-3	37.337381E-3	1.1505163E-3	35.341065E-3	2.4789888E-3	32.046542E-3	704.38569E-6	39.278023E-3	881.06742E-6	36.032263E-3	1.8414302E-3	32.817006E-3	1.1281639E-3	34.652092E-3	1.8587871E-3	36.352880E-3	1.2374497E-3	32.487523E-3	1.0883424E-3	37.739944E-3	1.8929004E-3	33.369198E-3	441.35348E-6	31.108331E-3	696.83755E-6
-176.00000E-6	36.338329E-3	1.2343016E-3	35.284709E-3	1.7626942E-3	36.491632E-3	2.3672397E-3	39.200637E-3	1.0176323E-3	34.062959E-3	2.2181356E-3	31.509545E-3	225.57685E-6	31.275794E-3	1.1866690E-3	34.268215E-3	883.82623E-6	37.807662E-3	965.31329E-6	36.716912E-3	2.0351748E-3	31.156018E-3	15.036085E-6	31.807013E-3	1.7462680E-3	34.280047E-3	1.3366482E-3	31.151129E-3	981.03576E-6	31.284414E-3	497.85891E-6	36.419697E-3	672.72200E-6	31.040393E-3	67.013825E-6	34.376167E-3	1.7510102E-3	33.049043E-3	2.3233113E-3	32.891341E-3	2.7797990E-3
-174.00000E-6	32.234687E-3	56.615365E-6	33.507854E-3	1.2216886E-3	37.429884E-3	1.5768005E-3	31.129729E-3	695.85250E-6	34.892179E-3	1.2931571E-3	31.471737E-3	72.985480E-6	32.505397E-3	2.6784267E-3	32.571312E-3	314.96526E-6	40.578358E-3	911.60543E-6	35.454661E-3	1.0300063E-3	34.998771E-3	1.6073050E-3	32.072116E-3	1.6876133E-3	31.504679E-3	589.46240E-6	36.132526E-3	1.2749707E-3	32.784227E-3	213.39903E-6	32.319721E-3	645.15340E-6	32.081120E-3	1.3053538E-3	33.552285E-3	2.1881235E-3	31.402182E-3	748.88766E-6	33.795886E-3	941.32975E-6
