Experiment	Sweeper	
Saved Date	03.07.2023 10:38:40	
User		
Date		
Start time	03.07.2023 09:38:14	
Sweep channel: Name	Output 2 (V)	
Sweep channel: Start (V)	-200E-6	
Sweep channel: Stop (V)	1E-3	
Sweep channel: Points	601	
Sweep channel: Max slew rate (V/s)	Inf	
Sweep channel: Initial settling time (s)	20E+3	
Sweep channel: End settling time (s)	2E+0	
Sweep channel: Backward sweep	TRUE	
Sweep channel: Number of sweeps	10	
Sweep channel: Reset	FALSE	
Step channel 1: Name	Output 3 (V)	
Step channel 1: Start (V)	50E-3	
Step channel 1: Stop (V)	50E-3	
Step channel 1: Points	10	
Step channel 1: Max slew rate (V/s)	10E+0	
Step channel 1:  Initial settling time (s)	2E+0	
Step channel 1: End settling time (s)	2E+0	
Step channel 1: Backward sweep	FALSE	
Step channel 1: Reset	FALSE	
Sweep Type	2D-Both RT	
Acquire channels	Input 1 (V);LI Demod 3 X (V)	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Output 2 Setp. (V)	Input 1 [00001] (V)	LI Demod 3 X [00001] (V)	Input 1 [00002] (V)	LI Demod 3 X [00002] (V)	Input 1 [00003] (V)	LI Demod 3 X [00003] (V)	Input 1 [00004] (V)	LI Demod 3 X [00004] (V)	Input 1 [00005] (V)	LI Demod 3 X [00005] (V)	Input 1 [00006] (V)	LI Demod 3 X [00006] (V)	Input 1 [00007] (V)	LI Demod 3 X [00007] (V)	Input 1 [00008] (V)	LI Demod 3 X [00008] (V)	Input 1 [00009] (V)	LI Demod 3 X [00009] (V)	Input 1 [00010] (V)	LI Demod 3 X [00010] (V)	Input 1 [00001] [bwd] (V)	LI Demod 3 X [00001] [bwd] (V)	Input 1 [00002] [bwd] (V)	LI Demod 3 X [00002] [bwd] (V)	Input 1 [00003] [bwd] (V)	LI Demod 3 X [00003] [bwd] (V)	Input 1 [00004] [bwd] (V)	LI Demod 3 X [00004] [bwd] (V)	Input 1 [00005] [bwd] (V)	LI Demod 3 X [00005] [bwd] (V)	Input 1 [00006] [bwd] (V)	LI Demod 3 X [00006] [bwd] (V)	Input 1 [00007] [bwd] (V)	LI Demod 3 X [00007] [bwd] (V)	Input 1 [00008] [bwd] (V)	LI Demod 3 X [00008] [bwd] (V)	Input 1 [00009] [bwd] (V)	LI Demod 3 X [00009] [bwd] (V)	Input 1 [00010] [bwd] (V)	LI Demod 3 X [00010] [bwd] (V)
-199.99999E-6	40.892314E-3	890.75754E-6	31.744793E-3	-17.385137E-6	32.194242E-3	789.12143E-6	40.936157E-3	869.49300E-6	33.355314E-3	554.29700E-6	31.404074E-3	-13.865842E-6	31.556647E-3	40.814957E-6	41.471623E-3	766.96114E-6	41.342348E-3	838.26645E-6	40.984169E-3	767.99461E-6	32.724530E-3	156.41174E-6	31.284373E-3	18.113773E-6	38.604438E-3	2.8263074E-3	33.024538E-3	663.73398E-6	31.019874E-3	34.258381E-6	31.551696E-3	-71.696784E-6	41.149102E-3	764.19848E-6	41.777462E-3	868.88851E-6	41.214015E-3	790.03337E-6	41.017618E-3	794.18358E-6
-197.99999E-6	39.946631E-3	881.53244E-6	31.772755E-3	-86.608990E-6	32.007616E-3	543.19622E-6	37.715364E-3	1.3098861E-3	31.621128E-3	75.384050E-6	31.405710E-3	-80.502949E-6	31.545851E-3	71.666429E-6	41.407522E-3	843.85526E-6	41.409913E-3	754.57594E-6	40.968735E-3	812.76475E-6	32.310933E-3	23.518032E-6	31.138359E-3	-13.716405E-6	40.084347E-3	816.21262E-6	32.298300E-3	1.4446556E-3	31.071886E-3	68.286325E-6	31.529337E-3	-57.235822E-6	41.094109E-3	826.27812E-6	41.796211E-3	903.21159E-6	41.323427E-3	863.20250E-6	41.050471E-3	821.11661E-6
-195.99999E-6	40.874898E-3	767.60462E-6	31.742133E-3	-19.730944E-6	31.460553E-3	-51.551484E-6	40.966433E-3	1.2855765E-3	31.549960E-3	1.1574470E-3	31.291597E-3	-34.272842E-6	31.539127E-3	14.587929E-6	41.450325E-3	899.60761E-6	41.388094E-3	781.69699E-6	40.969569E-3	889.35695E-6	32.332294E-3	-99.983394E-6	31.092547E-3	-25.349816E-6	39.939657E-3	829.87029E-6	31.939041E-3	89.630106E-6	31.005654E-3	-43.906653E-6	31.524602E-3	58.852824E-6	41.070126E-3	880.99937E-6	41.755747E-3	890.61126E-6	41.287083E-3	915.31483E-6	41.037325E-3	894.08265E-6
-193.99999E-6	40.848281E-3	856.07101E-6	31.731818E-3	66.429398E-6	39.236218E-3	1.4612102E-3	31.398963E-3	901.49976E-6	33.548862E-3	2.0502673E-3	31.299159E-3	39.616403E-6	31.562015E-3	-77.379293E-6	41.398626E-3	871.65402E-6	41.400880E-3	838.21313E-6	40.946476E-3	905.31196E-6	32.339297E-3	-31.654923E-6	31.006875E-3	839.31308E-6	40.724713E-3	837.71307E-6	32.905523E-3	438.31125E-6	30.991424E-3	-67.814071E-6	31.515695E-3	70.300252E-6	41.000284E-3	900.67147E-6	41.672923E-3	811.62911E-6	41.255824E-3	869.74818E-6	41.072965E-3	889.91359E-6
-191.99999E-6	40.710479E-3	962.92439E-6	31.740990E-3	5.3928097E-6	31.682160E-3	89.601766E-6	31.412289E-3	67.694804E-6	33.878963E-3	596.04179E-6	31.272508E-3	61.219507E-6	31.562187E-3	-42.373667E-6	41.418411E-3	794.14115E-6	41.357197E-3	900.83870E-6	40.983036E-3	875.04264E-6	32.313071E-3	72.582370E-6	31.560194E-3	46.472738E-6	40.708877E-3	903.41957E-6	32.184027E-3	347.19004E-6	30.937064E-3	-42.245945E-6	31.498145E-3	-23.191313E-6	40.993519E-3	828.85381E-6	41.598327E-3	779.00675E-6	41.163038E-3	791.65620E-6	41.169267E-3	820.58035E-6
-189.99999E-6	38.633287E-3	1.1031250E-3	31.832691E-3	-68.690388E-6	31.767562E-3	-33.974524E-6	31.401437E-3	72.146329E-6	31.542633E-3	68.328569E-6	31.266060E-3	6.2415429E-6	31.548664E-3	68.138201E-6	41.490357E-3	755.18712E-6	41.381150E-3	872.49768E-6	41.079961E-3	788.25373E-6	32.207489E-3	45.376044E-6	30.804500E-3	-72.375064E-6	40.669180E-3	836.71376E-6	31.778052E-3	-67.793633E-6	30.992005E-3	76.221309E-6	31.480536E-3	-93.915805E-6	41.107614E-3	769.05353E-6	41.642938E-3	777.34079E-6	41.149825E-3	749.99203E-6	41.283634E-3	740.55797E-6
-187.99999E-6	31.590268E-3	1.0744410E-3	31.833567E-3	-57.642894E-6	31.745657E-3	632.24882E-6	31.461999E-3	-44.801964E-6	32.374468E-3	722.49485E-6	31.303354E-3	-50.763570E-6	31.579033E-3	46.407808E-6	41.481774E-3	796.44227E-6	41.314509E-3	833.32643E-6	41.071814E-3	779.24470E-6	32.201644E-3	-52.507807E-6	30.791819E-3	-56.864024E-6	40.573001E-3	767.98524E-6	31.635076E-3	44.001034E-6	30.924195E-3	67.003355E-6	31.491376E-3	-18.326440E-6	41.131772E-3	754.88188E-6	41.555230E-3	835.54909E-6	41.093178E-3	797.06969E-6	41.451745E-3	773.16625E-6
-185.99999E-6	31.213064E-3	335.51102E-6	31.801850E-3	53.157801E-6	31.689234E-3	2.7945857E-6	31.440888E-3	-65.084183E-6	31.443600E-3	-71.647410E-6	31.233106E-3	-55.982095E-6	31.619262E-3	-36.120025E-6	41.535322E-3	846.02879E-6	41.242924E-3	768.62017E-6	41.064318E-3	798.85760E-6	32.025464E-3	-83.801671E-6	30.921234E-3	40.410672E-6	40.629238E-3	802.94587E-6	31.547651E-3	67.340108E-6	30.969961E-3	-1.3236908E-6	31.460728E-3	73.959309E-6	41.243833E-3	832.69645E-6	41.562103E-3	889.57831E-6	41.046537E-3	855.58865E-6	41.494895E-3	859.73466E-6
-183.99999E-6	33.132859E-3	966.69188E-6	31.710494E-3	53.943222E-6	31.564794E-3	82.398416E-6	31.450368E-3	-9.4698080E-6	31.356417E-3	-33.271277E-6	31.281549E-3	20.831718E-6	31.645700E-3	-98.832817E-6	41.542888E-3	871.59785E-6	41.081525E-3	750.54722E-6	41.046578E-3	861.47623E-6	31.984277E-3	27.841344E-6	31.042984E-3	66.266657E-6	40.631458E-3	887.02544E-6	31.500511E-3	-37.785689E-6	30.956555E-3	-74.600859E-6	31.462435E-3	37.405032E-6	41.284028E-3	875.10253E-6	41.539777E-3	866.27080E-6	41.023400E-3	883.47780E-6	41.548219E-3	877.88969E-6
-181.99999E-6	34.033742E-3	407.42679E-6	31.590782E-3	-49.327420E-6	31.486966E-3	-6.0315092E-6	31.471994E-3	56.076482E-6	31.567022E-3	54.634784E-6	31.248055E-3	71.042065E-6	31.732865E-3	2.1372689E-6	41.511908E-3	822.24549E-6	41.015141E-3	838.17524E-6	41.002285E-3	881.73262E-6	31.948898E-3	65.894674E-6	31.214101E-3	-37.666294E-6	40.726915E-3	882.55561E-6	31.500597E-3	-75.673961E-6	30.932961E-3	-42.650219E-6	31.403828E-3	-58.852616E-6	41.361615E-3	863.69691E-6	41.477267E-3	790.81231E-6	41.034818E-3	833.26182E-6	41.560329E-3	828.16486E-6
