Experiment	Sweeper	
Saved Date	02.07.2023 00:57:02	
User		
Date		
Start time	01.07.2023 22:56:11	
Sweep channel: Name	Output 2 (V)	
Sweep channel: Start (V)	-200E-6	
Sweep channel: Stop (V)	1E-3	
Sweep channel: Points	601	
Sweep channel: Max slew rate (V/s)	Inf	
Sweep channel: Initial settling time (s)	20E+3	
Sweep channel: End settling time (s)	2E+0	
Sweep channel: Backward sweep	TRUE	
Sweep channel: Number of sweeps	20	
Sweep channel: Reset	FALSE	
Step channel 1: Name	Output 3 (V)	
Step channel 1: Start (V)	50E-3	
Step channel 1: Stop (V)	50E-3	
Step channel 1: Points	20	
Step channel 1: Max slew rate (V/s)	10E+0	
Step channel 1:  Initial settling time (s)	2E+0	
Step channel 1: End settling time (s)	2E+0	
Step channel 1: Backward sweep	FALSE	
Step channel 1: Reset	FALSE	
Sweep Type	2D-Both RT	
Acquire channels	Input 1 (V);LI Demod 3 X (V)	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Output 2 Setp. (V)	Input 1 [00001] (V)	LI Demod 3 X [00001] (V)	Input 1 [00002] (V)	LI Demod 3 X [00002] (V)	Input 1 [00003] (V)	LI Demod 3 X [00003] (V)	Input 1 [00004] (V)	LI Demod 3 X [00004] (V)	Input 1 [00005] (V)	LI Demod 3 X [00005] (V)	Input 1 [00006] (V)	LI Demod 3 X [00006] (V)	Input 1 [00007] (V)	LI Demod 3 X [00007] (V)	Input 1 [00008] (V)	LI Demod 3 X [00008] (V)	Input 1 [00009] (V)	LI Demod 3 X [00009] (V)	Input 1 [00010] (V)	LI Demod 3 X [00010] (V)	Input 1 [00011] (V)	LI Demod 3 X [00011] (V)	Input 1 [00012] (V)	LI Demod 3 X [00012] (V)	Input 1 [00013] (V)	LI Demod 3 X [00013] (V)	Input 1 [00014] (V)	LI Demod 3 X [00014] (V)	Input 1 [00015] (V)	LI Demod 3 X [00015] (V)	Input 1 [00016] (V)	LI Demod 3 X [00016] (V)	Input 1 [00017] (V)	LI Demod 3 X [00017] (V)	Input 1 [00018] (V)	LI Demod 3 X [00018] (V)	Input 1 [00019] (V)	LI Demod 3 X [00019] (V)	Input 1 [00020] (V)	LI Demod 3 X [00020] (V)	Input 1 [00001] [bwd] (V)	LI Demod 3 X [00001] [bwd] (V)	Input 1 [00002] [bwd] (V)	LI Demod 3 X [00002] [bwd] (V)	Input 1 [00003] [bwd] (V)	LI Demod 3 X [00003] [bwd] (V)	Input 1 [00004] [bwd] (V)	LI Demod 3 X [00004] [bwd] (V)	Input 1 [00005] [bwd] (V)	LI Demod 3 X [00005] [bwd] (V)	Input 1 [00006] [bwd] (V)	LI Demod 3 X [00006] [bwd] (V)	Input 1 [00007] [bwd] (V)	LI Demod 3 X [00007] [bwd] (V)	Input 1 [00008] [bwd] (V)	LI Demod 3 X [00008] [bwd] (V)	Input 1 [00009] [bwd] (V)	LI Demod 3 X [00009] [bwd] (V)	Input 1 [00010] [bwd] (V)	LI Demod 3 X [00010] [bwd] (V)	Input 1 [00011] [bwd] (V)	LI Demod 3 X [00011] [bwd] (V)	Input 1 [00012] [bwd] (V)	LI Demod 3 X [00012] [bwd] (V)	Input 1 [00013] [bwd] (V)	LI Demod 3 X [00013] [bwd] (V)	Input 1 [00014] [bwd] (V)	LI Demod 3 X [00014] [bwd] (V)	Input 1 [00015] [bwd] (V)	LI Demod 3 X [00015] [bwd] (V)	Input 1 [00016] [bwd] (V)	LI Demod 3 X [00016] [bwd] (V)	Input 1 [00017] [bwd] (V)	LI Demod 3 X [00017] [bwd] (V)	Input 1 [00018] [bwd] (V)	LI Demod 3 X [00018] [bwd] (V)	Input 1 [00019] [bwd] (V)	LI Demod 3 X [00019] [bwd] (V)	Input 1 [00020] [bwd] (V)	LI Demod 3 X [00020] [bwd] (V)
-199.99999E-6	40.707726E-3	889.89688E-6	40.858798E-3	798.67797E-6	41.006599E-3	889.24728E-6	40.962268E-3	867.30369E-6	40.826850E-3	813.80765E-6	40.414102E-3	878.88737E-6	40.854692E-3	885.42450E-6	40.548589E-3	759.84275E-6	40.500287E-3	874.08663E-6	40.838193E-3	747.75110E-6	41.205548E-3	764.93499E-6	40.522125E-3	875.45317E-6	40.800769E-3	858.83337E-6	40.990092E-3	855.57078E-6	41.005760E-3	757.85100E-6	40.628985E-3	825.69022E-6	40.715311E-3	839.57001E-6	40.746201E-3	749.93918E-6	40.407807E-3	795.72853E-6	40.520467E-3	829.38513E-6	40.876936E-3	741.10820E-6	41.064691E-3	833.80693E-6	40.814262E-3	837.15352E-6	40.812973E-3	892.96052E-6	40.321611E-3	823.11785E-6	40.884566E-3	818.54023E-6	40.627345E-3	759.00345E-6	40.684752E-3	834.40216E-6	40.827010E-3	760.87617E-6	41.074697E-3	773.79390E-6	40.365078E-3	897.81673E-6	40.785465E-3	873.60531E-6	40.805724E-3	744.76248E-6	41.026022E-3	811.66252E-6	40.538162E-3	764.77556E-6	40.742327E-3	771.31815E-6	40.741056E-3	789.33046E-6	40.447470E-3	877.45604E-6	40.389970E-3	749.95420E-6	41.040339E-3	824.77828E-6
-197.99999E-6	40.771142E-3	830.97018E-6	40.868592E-3	874.72773E-6	41.000534E-3	849.00932E-6	41.065410E-3	795.28539E-6	40.851872E-3	740.56949E-6	40.501527E-3	778.36058E-6	40.811002E-3	867.22517E-6	40.526677E-3	817.28183E-6	40.558938E-3	880.18837E-6	40.843129E-3	795.23260E-6	41.163240E-3	795.27881E-6	40.519305E-3	801.06320E-6	40.798470E-3	827.60234E-6	41.004889E-3	887.05437E-6	40.991541E-3	772.30087E-6	40.660448E-3	865.80776E-6	40.663060E-3	883.96773E-6	40.718842E-3	837.10178E-6	40.415984E-3	768.80783E-6	40.607844E-3	896.13552E-6	40.866796E-3	823.69888E-6	41.078564E-3	746.25498E-6	40.781591E-3	746.54329E-6	40.794645E-3	843.42394E-6	40.408045E-3	759.85387E-6	41.054688E-3	744.82261E-6	40.620051E-3	838.60644E-6	40.757217E-3	769.82705E-6	40.787846E-3	848.96106E-6	40.886555E-3	818.88580E-6	40.300742E-3	799.39590E-6	40.776607E-3	784.52710E-6	40.800426E-3	797.53576E-6	41.007802E-3	885.92520E-6	40.465675E-3	775.79473E-6	40.796869E-3	786.98463E-6	40.742319E-3	873.66631E-6	40.478040E-3	854.85139E-6	40.424924E-3	816.50476E-6	41.070800E-3	893.70942E-6
-195.99999E-6	40.884003E-3	786.32671E-6	40.926114E-3	878.84162E-6	40.962324E-3	773.00140E-6	41.147113E-3	766.95514E-6	40.888838E-3	775.36050E-6	40.544264E-3	767.81271E-6	40.884376E-3	772.69075E-6	40.463485E-3	874.68408E-6	40.648855E-3	828.85096E-6	40.835120E-3	863.81286E-6	41.129228E-3	855.12194E-6	40.585306E-3	759.98221E-6	40.794645E-3	732.34882E-6	41.058376E-3	781.46282E-6	40.977798E-3	863.68824E-6	40.723931E-3	839.98829E-6	40.651690E-3	827.46113E-6	40.753067E-3	879.02148E-6	40.354561E-3	809.27834E-6	40.655762E-3	852.47948E-6	40.886056E-3	889.55462E-6	41.065034E-3	793.67991E-6	40.785689E-3	757.61823E-6	40.783245E-3	763.35395E-6	40.515509E-3	788.94431E-6	41.030105E-3	776.27995E-6	40.633339E-3	882.75957E-6	40.863704E-3	762.58957E-6	40.759385E-3	881.08203E-6	40.860448E-3	888.19518E-6	40.243614E-3	744.88629E-6	40.753771E-3	774.09326E-6	40.625568E-3	894.20809E-6	40.982448E-3	864.80996E-6	40.411863E-3	817.37014E-6	40.796392E-3	858.77214E-6	40.753845E-3	861.62053E-6	40.490635E-3	777.48334E-6	40.485170E-3	880.29896E-6	41.199539E-3	829.65381E-6
-193.99999E-6	40.836189E-3	762.86372E-6	40.996827E-3	802.18178E-6	40.929452E-3	761.47198E-6	41.245915E-3	818.54302E-6	40.859472E-3	870.92619E-6	40.635258E-3	835.72220E-6	40.869433E-3	762.14131E-6	40.370569E-3	873.56212E-6	40.655602E-3	774.16567E-6	40.859599E-3	885.56483E-6	41.022286E-3	886.26251E-6	40.578973E-3	780.52771E-6	40.784832E-3	770.80383E-6	41.263644E-3	746.27262E-6	40.946100E-3	896.94862E-6	40.734053E-3	772.41851E-6	40.659808E-3	759.29216E-6	40.711995E-3	830.54061E-6	40.333290E-3	877.55633E-6	40.694248E-3	767.58623E-6	40.889055E-3	848.44261E-6	41.036170E-3	848.31816E-6	40.798794E-3	861.08025E-6	40.793948E-3	775.87110E-6	40.619850E-3	879.39267E-6	41.080207E-3	884.22390E-6	40.623136E-3	867.99380E-6	40.951848E-3	787.38062E-6	40.646620E-3	860.91348E-6	40.918227E-3	852.24491E-6	40.266976E-3	755.46320E-6	40.776599E-3	819.83081E-6	40.576663E-3	849.31636E-6	41.007817E-3	777.80039E-6	40.438641E-3	876.07419E-6	40.836696E-3	880.76293E-6	40.705100E-3	792.71349E-6	40.523369E-3	777.55784E-6	40.616423E-3	855.09807E-6	41.247096E-3	746.36465E-6
-191.99999E-6	40.840473E-3	841.49680E-6	41.015767E-3	755.94499E-6	40.938906E-3	827.04861E-6	41.086096E-3	878.44086E-6	40.911715E-3	876.06610E-6	40.682446E-3	880.74629E-6	40.911734E-3	827.66573E-6	40.365875E-3	811.21497E-6	40.625952E-3	750.88232E-6	40.963475E-3	830.90999E-6	40.955972E-3	860.26685E-6	40.560186E-3	865.02772E-6	40.760707E-3	850.59763E-6	41.383240E-3	853.83275E-6	40.940814E-3	815.98619E-6	40.715829E-3	740.88620E-6	40.682059E-3	756.40716E-6	40.726375E-3	728.81777E-6	40.290836E-3	831.15482E-6	40.721733E-3	773.30042E-6	40.842574E-3	786.46123E-6	41.064147E-3	894.27573E-6	40.791824E-3	909.07386E-6	40.739134E-3	850.53901E-6	40.709034E-3	885.95436E-6	41.036557E-3	883.84794E-6	40.641725E-3	771.20628E-6	41.023612E-3	861.34113E-6	40.551815E-3	798.57325E-6	40.919181E-3	802.50431E-6	40.179271E-3	855.69319E-6	40.777545E-3	900.54108E-6	40.437795E-3	762.39259E-6	40.916778E-3	770.31559E-6	40.556174E-3	858.79560E-6	40.798727E-3	825.17724E-6	40.679500E-3	749.56013E-6	40.541418E-3	840.00465E-6	40.670287E-3	770.15720E-6	41.183040E-3	790.04100E-6
-189.99999E-6	40.945228E-3	883.37128E-6	41.081142E-3	803.19360E-6	40.949132E-3	891.09084E-6	40.997874E-3	814.35515E-6	40.957939E-3	794.94761E-6	40.783469E-3	793.47880E-6	40.909637E-3	896.79024E-6	40.267680E-3	749.11775E-6	40.580038E-3	822.73944E-6	40.984958E-3	766.01718E-6	40.799085E-3	776.32850E-6	40.627487E-3	899.50144E-6	40.713262E-3	899.87140E-6	41.423790E-3	902.31356E-6	40.905222E-3	762.86169E-6	40.655073E-3	853.30079E-6	40.674411E-3	861.47711E-6	40.662505E-3	778.73963E-6	40.154617E-3	771.85739E-6	40.711280E-3	869.03619E-6	40.792275E-3	764.93231E-6	41.173838E-3	841.07654E-6	40.777344E-3	815.23828E-6	40.652256E-3	896.34419E-6	40.665839E-3	803.29383E-6	40.981408E-3	796.13435E-6	40.590268E-3	737.00387E-6	40.989209E-3	890.22046E-6	40.416308E-3	751.64787E-6	40.822145E-3	765.72783E-6	40.150490E-3	888.80700E-6	40.767342E-3	844.39613E-6	40.370893E-3	798.68536E-6	40.862348E-3	836.93257E-6	40.467605E-3	780.44046E-6	40.744808E-3	740.29336E-6	40.457759E-3	827.30170E-6	40.456198E-3	905.25561E-6	40.639903E-3	814.70417E-6	41.035462E-3	891.43909E-6
-187.99999E-6	40.922325E-3	867.22884E-6	41.114874E-3	901.45750E-6	40.947579E-3	855.77171E-6	40.951882E-3	766.45293E-6	40.964771E-3	749.25640E-6	40.777586E-3	733.84063E-6	40.926717E-3	851.99118E-6	40.233694E-3	786.29289E-6	40.471263E-3	892.70022E-6	41.113306E-3	766.68611E-6	40.779419E-3	759.79810E-6	40.635124E-3	807.24462E-6	40.725935E-3	797.42249E-6	41.432414E-3	830.06261E-6	40.901080E-3	791.83839E-6	40.641975E-3	904.19152E-6	40.681142E-3	874.87744E-6	40.714484E-3	878.42491E-6	40.085625E-3	756.94808E-6	40.715415E-3	877.06064E-6	40.759627E-3	855.91455E-6	41.168876E-3	745.27599E-6	40.753413E-3	748.56519E-6	40.641610E-3	814.33525E-6	40.683176E-3	762.35528E-6	41.005973E-3	751.18348E-6	40.625874E-3	773.41241E-6	40.930808E-3	828.48681E-6	40.451266E-3	780.78877E-6	40.838704E-3	791.76953E-6	40.141791E-3	836.24583E-6	40.788412E-3	785.33648E-6	40.392894E-3	884.34259E-6	40.901281E-3	886.09447E-6	40.526040E-3	781.33988E-6	40.768050E-3	782.59036E-6	40.443692E-3	933.54739E-6	40.425330E-3	839.85308E-6	40.698934E-3	904.42214E-6	40.976021E-3	881.23657E-6
-185.99999E-6	40.928029E-3	793.46797E-6	41.158933E-3	873.06119E-6	41.099377E-3	744.49478E-6	40.903814E-3	765.35979E-6	41.006334E-3	796.75781E-6	40.758237E-3	802.04877E-6	40.899504E-3	776.35056E-6	40.194537E-3	847.31862E-6	40.298644E-3	891.35155E-6	41.145232E-3	795.85717E-6	40.751982E-3	804.55159E-6	40.606454E-3	759.58128E-6	40.684555E-3	741.88627E-6	41.396745E-3	751.80712E-6	40.938616E-3	887.92981E-6	40.599249E-3	843.10235E-6	40.674463E-3	827.73529E-6	40.739618E-3	899.75697E-6	40.035572E-3	880.81142E-6	40.736821E-3	799.51918E-6	40.776871E-3	893.10016E-6	41.154839E-3	776.48589E-6	40.737830E-3	810.30821E-6	40.640365E-3	760.25259E-6	40.711254E-3	856.35326E-6	40.958058E-3	803.26531E-6	40.597029E-3	855.10721E-6	40.834833E-3	774.46277E-6	40.379524E-3	855.32019E-6	40.823441E-3	869.40971E-6	40.140580E-3	760.07913E-6	40.817399E-3	745.69968E-6	40.484570E-3	859.71615E-6	40.892404E-3	865.16986E-6	40.508620E-3	844.13006E-6	40.801648E-3	888.47842E-6	40.359139E-3	858.45269E-6	40.452432E-3	761.29293E-6	40.746320E-3	885.87048E-6	40.828306E-3	773.95584E-6
-183.99999E-6	40.883400E-3	742.80309E-6	41.149769E-3	775.55835E-6	41.136578E-3	757.64675E-6	40.816814E-3	868.06214E-6	41.031990E-3	888.68703E-6	40.745020E-3	871.20273E-6	40.874928E-3	746.97315E-6	40.269502E-3	897.70730E-6	40.146582E-3	806.32092E-6	41.148022E-3	882.59729E-6	40.705126E-3	869.28386E-6	40.627234E-3	775.47139E-6	40.730681E-3	770.66506E-6	41.242573E-3	802.49918E-6	40.887609E-3	916.35640E-6	40.575761E-3	781.75607E-6	40.670458E-3	752.51982E-6	40.808763E-3	833.33853E-6	39.961066E-3	891.41767E-6	40.726233E-3	763.88801E-6	40.767636E-3	822.86960E-6	41.169018E-3	840.26216E-6	40.718619E-3	885.68992E-6	40.664505E-3	794.95728E-6	40.656779E-3	910.56142E-6	40.979106E-3	888.63226E-6	40.626645E-3	903.10676E-6	40.779401E-3	759.27231E-6	40.479351E-3	894.95763E-6	40.841095E-3	899.03246E-6	40.090289E-3	785.23502E-6	40.833920E-3	818.40227E-6	40.739492E-3	778.93859E-6	40.944267E-3	767.43134E-6	40.472046E-3	902.47812E-6	40.811814E-3	898.29456E-6	40.494498E-3	769.20970E-6	40.511079E-3	800.80464E-6	40.775903E-3	787.97544E-6	40.694624E-3	764.96898E-6
-181.99999E-6	40.996052E-3	801.58602E-6	41.158158E-3	739.13345E-6	41.130509E-3	828.89776E-6	40.739179E-3	897.66370E-6	41.067731E-3	889.12371E-6	40.697321E-3	858.12225E-6	40.865853E-3	832.05552E-6	40.316276E-3	842.63319E-6	40.105019E-3	740.81059E-6	41.086286E-3	903.24238E-6	40.699650E-3	891.13048E-6	40.625196E-3	888.03103E-6	40.731460E-3	868.73223E-6	41.173179E-3	886.36513E-6	40.870897E-3	810.28719E-6	40.597755E-3	777.85703E-6	40.656038E-3	799.56010E-6	40.861990E-3	762.96501E-6	39.915528E-3	811.58872E-6	40.833339E-3	834.72580E-6	40.743724E-3	756.22427E-6	41.108172E-3	902.38621E-6	40.709335E-3	875.93024E-6	40.672090E-3	892.15947E-6	40.624980E-3	845.65196E-6	40.973451E-3	864.58068E-6	40.730339E-3	826.36613E-6	40.661518E-3	829.48455E-6	40.653683E-3	854.91175E-6	40.791422E-3	864.79366E-6	40.099591E-3	854.59696E-6	40.803377E-3	902.90094E-6	40.832657E-3	769.38322E-6	40.938135E-3	781.27824E-6	40.407650E-3	890.10934E-6	40.781803E-3	817.15657E-6	40.374558E-3	774.77464E-6	40.547103E-3	892.25796E-6	40.812034E-3	768.31604E-6	40.652342E-3	860.35184E-6
