Experiment	Sweeper	
Saved Date	30.06.2023 15:59:57	
User		
Date		
Start time	30.06.2023 15:54:46	
Sweep channel: Name	Output 2 (V)	
Sweep channel: Start (V)	0E+0	
Sweep channel: Stop (V)	100E-6	
Sweep channel: Points	501	
Sweep channel: Max slew rate (V/s)	Inf	
Sweep channel: Initial settling time (s)	20E+3	
Sweep channel: End settling time (s)	2E+0	
Sweep channel: Backward sweep	TRUE	
Sweep channel: Number of sweeps	2	
Sweep channel: Reset	FALSE	
Step channel 1: Name	Output 3 (V)	
Step channel 1: Start (V)	50E-3	
Step channel 1: Stop (V)	50E-3	
Step channel 1: Points	2	
Step channel 1: Max slew rate (V/s)	10E+0	
Step channel 1:  Initial settling time (s)	2E+0	
Step channel 1: End settling time (s)	2E+0	
Step channel 1: Backward sweep	FALSE	
Step channel 1: Reset	FALSE	
Sweep Type	2D-Both RT	
Acquire channels	Input 1 (V);LI Demod 3 X (V)	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Output 2 Setp. (V)	Input 1 [00001] (V)	LI Demod 3 X [00001] (V)	Input 1 [00002] (V)	LI Demod 3 X [00002] (V)	Input 1 [00001] [bwd] (V)	LI Demod 3 X [00001] [bwd] (V)	Input 1 [00002] [bwd] (V)	LI Demod 3 X [00002] [bwd] (V)
0.0000000E+0	30.831819E-3	-49.796286E-6	31.058846E-3	22.968423E-6	30.880308E-3	-36.930789E-6	0.0000000E+0	NaN
199.99999E-9	30.790014E-3	15.081536E-6	31.140728E-3	75.735778E-6	30.840823E-3	-95.613417E-6	0.0000000E+0	NaN
399.99998E-9	30.791130E-3	52.842704E-6	31.205203E-3	35.103487E-6	30.833760E-3	-68.626010E-6	0.0000000E+0	NaN
599.99996E-9	30.731279E-3	40.589897E-6	31.238511E-3	-41.743395E-6	30.842800E-3	16.493233E-6	0.0000000E+0	NaN
799.99995E-9	30.707771E-3	-37.620674E-6	31.210909E-3	-60.091228E-6	30.805120E-3	68.722497E-6	0.0000000E+0	NaN
999.99988E-9	30.664442E-3	-56.739471E-6	31.080801E-3	-37.570182E-6	30.796140E-3	7.4697955E-6	0.0000000E+0	NaN
1.1999999E-6	30.651182E-3	-31.081250E-6	30.951571E-3	29.197392E-6	30.750740E-3	-46.380599E-6	0.0000000E+0	NaN
1.4000000E-6	30.615816E-3	71.015296E-6	30.895496E-3	60.937316E-6	30.716481E-3	-62.450934E-6	0.0000000E+0	NaN
1.5999999E-6	30.667439E-3	77.917357E-6	30.782366E-3	29.290199E-6	30.644977E-3	-38.191640E-6	0.0000000E+0	NaN
1.7999998E-6	30.648638E-3	-6.3641814E-6	30.692808E-3	-56.305329E-6	30.537378E-3	28.752425E-6	0.0000000E+0	NaN
1.9999998E-6	30.682433E-3	-75.611650E-6	30.624839E-3	-73.866177E-6	30.390060E-3	73.050724E-6	0.0000000E+0	NaN
2.1999999E-6	30.772107E-3	-74.626580E-6	30.647662E-3	-36.273384E-6	30.403672E-3	18.558803E-6	0.0000000E+0	NaN
2.3999999E-6	30.815845E-3	1.3494100E-6	30.611323E-3	28.222656E-6	30.372223E-3	-62.558196E-6	0.0000000E+0	NaN
2.5999998E-6	30.884553E-3	64.798660E-6	30.630887E-3	67.772293E-6	30.371295E-3	-95.572992E-6	0.0000000E+0	NaN
2.7999999E-6	30.915286E-3	34.952449E-6	30.512707E-3	9.8650426E-6	30.440841E-3	-6.4403753E-6	0.0000000E+0	NaN
2.9999999E-6	31.000663E-3	-45.835139E-6	30.504411E-3	-57.055488E-6	30.501567E-3	51.588035E-6	0.0000000E+0	NaN
3.1999998E-6	31.054737E-3	-74.532494E-6	30.459099E-3	-82.931896E-6	30.577691E-3	63.677544E-6	0.0000000E+0	NaN
3.3999997E-6	31.052612E-3	-34.500245E-6	30.496018E-3	-28.548691E-6	30.668607E-3	5.7539678E-6	0.0000000E+0	NaN
3.5999997E-6	31.062793E-3	52.488729E-6	30.434150E-3	57.625090E-6	30.680291E-3	-54.568220E-6	0.0000000E+0	NaN
3.7999998E-6	31.102503E-3	76.789278E-6	30.371469E-3	77.092220E-6	30.679706E-3	-71.695977E-6	0.0000000E+0	NaN
3.9999995E-6	31.106465E-3	-9.5619407E-6	0.0000000E+0	NaN	30.720253E-3	-7.2370922E-6	0.0000000E+0	NaN
4.1999997E-6	31.139540E-3	-71.502131E-6	0.0000000E+0	NaN	30.723957E-3	42.259893E-6	0.0000000E+0	NaN
