Experiment	Sweeper	
Saved Date	30.06.2023 14:04:32	
User		
Date		
Start time	30.06.2023 13:59:59	
Sweep channel: Name	Output 3 (V)	
Sweep channel: Start (V)	-150E-3	
Sweep channel: Stop (V)	150E-3	
Sweep channel: Points	501	
Sweep channel: Max slew rate (V/s)	Inf	
Sweep channel: Initial settling time (s)	20E+3	
Sweep channel: End settling time (s)	2E+0	
Sweep channel: Backward sweep	TRUE	
Sweep channel: Number of sweeps	2	
Sweep channel: Reset	FALSE	
Step channel 1: Name	Output 2 (V)	
Step channel 1: Start (V)	90E-6	
Step channel 1: Stop (V)	90E-6	
Step channel 1: Points	2	
Step channel 1: Max slew rate (V/s)	10E+0	
Step channel 1:  Initial settling time (s)	2E+0	
Step channel 1: End settling time (s)	2E+0	
Step channel 1: Backward sweep	FALSE	
Step channel 1: Reset	FALSE	
Sweep Type	2D-Both RT	
Acquire channels	Input 1 (V);LI Demod 3 X (V)	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Output 3 Setp. (V)	Input 1 [00001] (V)	LI Demod 3 X [00001] (V)	Input 1 [00001] [bwd] (V)	LI Demod 3 X [00001] [bwd] (V)
-150.00001E-3	-4.4755926E-3	-7.9469710E-6	-0.0000000E+0	-0.0000000E+0
-149.40001E-3	-4.3383166E-3	30.754800E-6	-0.0000000E+0	-0.0000000E+0
-148.80000E-3	-4.1634622E-3	96.989424E-6	-0.0000000E+0	-0.0000000E+0
-148.20001E-3	-4.0568640E-3	166.05640E-6	-0.0000000E+0	-0.0000000E+0
-147.60001E-3	-3.9215549E-3	122.17394E-6	-0.0000000E+0	-0.0000000E+0
-147.00000E-3	-3.7573157E-3	24.081697E-6	-0.0000000E+0	-0.0000000E+0
-146.40000E-3	-3.6231352E-3	12.306942E-6	-0.0000000E+0	-0.0000000E+0
-145.80001E-3	-3.4630154E-3	85.548039E-6	-0.0000000E+0	-0.0000000E+0
-145.20000E-3	-3.3655195E-3	145.49168E-6	-0.0000000E+0	-0.0000000E+0
-144.60000E-3	-3.1924124E-3	139.58829E-6	-0.0000000E+0	-0.0000000E+0
-144.00001E-3	-3.0576009E-3	70.125745E-6	-0.0000000E+0	-0.0000000E+0
-143.40000E-3	-3.0142504E-3	11.454629E-6	-0.0000000E+0	-0.0000000E+0
-142.80000E-3	-2.9029497E-3	37.107966E-6	-0.0000000E+0	-0.0000000E+0
-142.20001E-3	-2.7810901E-3	132.08522E-6	-0.0000000E+0	-0.0000000E+0
-141.60001E-3	-2.6832176E-3	128.49952E-6	-0.0000000E+0	-0.0000000E+0
-141.00000E-3	-2.6035081E-3	105.76551E-6	-0.0000000E+0	-0.0000000E+0
-140.40001E-3	-2.5285564E-3	35.117944E-6	-0.0000000E+0	-0.0000000E+0
-139.80001E-3	-2.4138265E-3	13.791047E-6	-0.0000000E+0	-0.0000000E+0
-139.20000E-3	-2.2673325E-3	92.309390E-6	-0.0000000E+0	-0.0000000E+0
-138.60001E-3	-2.1240925E-3	159.08119E-6	-0.0000000E+0	-0.0000000E+0
-138.00001E-3	-1.9071971E-3	123.52965E-6	-0.0000000E+0	-0.0000000E+0
-137.40000E-3	-1.7474595E-3	47.923451E-6	-0.0000000E+0	-0.0000000E+0
-136.80001E-3	-1.5253610E-3	17.332139E-6	-0.0000000E+0	-0.0000000E+0
-136.20001E-3	-1.3365137E-3	62.298204E-6	-0.0000000E+0	-0.0000000E+0
-135.60000E-3	-1.1866428E-3	150.82865E-6	-0.0000000E+0	-0.0000000E+0
-135.00001E-3	-1.2722752E-3	132.93119E-6	-0.0000000E+0	-0.0000000E+0
-134.40001E-3	-1.0227769E-3	56.033336E-6	-0.0000000E+0	-0.0000000E+0
-133.80000E-3	-854.28258E-6	13.200432E-6	-0.0000000E+0	-0.0000000E+0
-133.20000E-3	-657.17602E-6	37.670656E-6	-0.0000000E+0	-0.0000000E+0
