Experiment	Sweeper	
Saved Date	30.06.2023 16:04:31	
User		
Date		
Start time	30.06.2023 16:04:25	
Sweep channel: Name	Output 2 (V)	
Sweep channel: Start (V)	-200E-6	
Sweep channel: Stop (V)	200E-6	
Sweep channel: Points	501	
Sweep channel: Max slew rate (V/s)	Inf	
Sweep channel: Initial settling time (s)	20E+3	
Sweep channel: End settling time (s)	2E+0	
Sweep channel: Backward sweep	TRUE	
Sweep channel: Number of sweeps	2	
Sweep channel: Reset	FALSE	
Step channel 1: Name	Output 3 (V)	
Step channel 1: Start (V)	50E-3	
Step channel 1: Stop (V)	50E-3	
Step channel 1: Points	2	
Step channel 1: Max slew rate (V/s)	10E+0	
Step channel 1:  Initial settling time (s)	2E+0	
Step channel 1: End settling time (s)	2E+0	
Step channel 1: Backward sweep	FALSE	
Step channel 1: Reset	FALSE	
Sweep Type	2D-Both RT	
Acquire channels	Input 1 (V);LI Demod 3 X (V)	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Output 2 Setp. (V)	Input 1 [00001] (V)	LI Demod 3 X [00001] (V)	Input 1 [00001] [bwd] (V)	LI Demod 3 X [00001] [bwd] (V)
-199.99999E-6	40.259857E-3	746.92373E-6	0.0000000E+0	NaN
-199.19999E-6	40.169243E-3	773.19774E-6	0.0000000E+0	NaN
-198.40000E-6	40.199578E-3	860.77180E-6	0.0000000E+0	NaN
-197.59999E-6	40.158208E-3	906.40021E-6	0.0000000E+0	NaN
-196.80000E-6	40.099241E-3	845.67984E-6	0.0000000E+0	NaN
-195.99999E-6	40.085681E-3	773.74303E-6	0.0000000E+0	NaN
-195.20000E-6	40.053856E-3	737.27110E-6	0.0000000E+0	NaN
-194.40000E-6	40.067684E-3	817.70343E-6	0.0000000E+0	NaN
-193.59999E-6	40.087879E-3	882.25497E-6	0.0000000E+0	NaN
-192.80000E-6	40.118348E-3	881.73995E-6	0.0000000E+0	NaN
-191.99999E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-191.20000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-190.39999E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-189.59999E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-188.80000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-187.99999E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-187.20000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-186.39999E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-185.60000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-184.80000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-184.00000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-183.20000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-182.39999E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-181.60000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-180.79999E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-180.00000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-179.20000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-178.39999E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-177.60000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-176.79999E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-176.00000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-175.20000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-174.39999E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-173.60000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-172.79999E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-172.00000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-171.19999E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-170.40000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-169.60000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-168.80000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-168.00000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-167.19999E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-166.40000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-165.59999E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-164.80000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-164.00000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-163.19999E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-162.40000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-161.59999E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-160.80000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-160.00000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-159.19999E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-158.40000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-157.59999E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-156.80000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-155.99999E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-155.19999E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-154.40000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-153.60001E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-152.80000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-151.99999E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-151.20000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-150.40000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-149.60000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-148.80000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-147.99999E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-147.20000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-146.39999E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-145.60000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-144.80000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-143.99999E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-143.20000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-142.40001E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-141.60000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-140.80000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-140.00000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-139.20000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-138.40001E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-137.60000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-136.79999E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-136.00000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-135.20000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-134.40000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-133.60000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-132.79999E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-132.00000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-131.20001E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-130.40000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-129.60000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-128.79999E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-128.00000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-127.20001E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-126.40000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-125.60000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-124.79999E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-124.00000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-123.20001E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-122.40000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-121.60000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-120.80000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-120.00000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-119.20000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-118.40000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-117.60000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-116.80000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-116.00000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-115.20000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-114.40000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-113.60000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-112.80000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-112.00000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-111.20000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-110.40000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-109.60000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-108.80000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-108.00000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-107.20000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-106.40000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-105.60000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-104.80000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-104.00000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-103.20000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-102.40000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-101.60000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-100.80000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-99.999997E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-99.199999E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-98.400000E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
-97.600001E-6	0.0000000E+0	NaN	0.0000000E+0	NaN
