Experiment	Sweeper	
Saved Date	30.06.2023 16:32:21	
User		
Date		
Start time	30.06.2023 16:20:16	
Sweep channel: Name	Output 2 (V)	
Sweep channel: Start (V)	-100E-6	
Sweep channel: Stop (V)	200E-6	
Sweep channel: Points	601	
Sweep channel: Max slew rate (V/s)	Inf	
Sweep channel: Initial settling time (s)	20E+3	
Sweep channel: End settling time (s)	2E+0	
Sweep channel: Backward sweep	TRUE	
Sweep channel: Number of sweeps	2	
Sweep channel: Reset	FALSE	
Step channel 1: Name	Output 3 (V)	
Step channel 1: Start (V)	50E-3	
Step channel 1: Stop (V)	50E-3	
Step channel 1: Points	2	
Step channel 1: Max slew rate (V/s)	10E+0	
Step channel 1:  Initial settling time (s)	2E+0	
Step channel 1: End settling time (s)	2E+0	
Step channel 1: Backward sweep	FALSE	
Step channel 1: Reset	FALSE	
Sweep Type	2D-Both RT	
Acquire channels	Input 1 (V);LI Demod 3 X (V)	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Output 2 Setp. (V)	Input 1 [00001] (V)	LI Demod 3 X [00001] (V)	Input 1 [00002] (V)	LI Demod 3 X [00002] (V)	Input 1 [00001] [bwd] (V)	LI Demod 3 X [00001] [bwd] (V)	Input 1 [00002] [bwd] (V)	LI Demod 3 X [00002] [bwd] (V)
-99.999997E-6	31.119524E-3	13.557404E-6	30.404614E-3	63.679581E-6	30.509925E-3	-59.842725E-6	30.669758E-3	31.076335E-6
-99.500001E-6	31.119931E-3	-56.916047E-6	30.494200E-3	54.668290E-6	30.467141E-3	-25.045632E-6	30.673241E-3	-46.513851E-6
-98.999997E-6	31.119334E-3	-46.370860E-6	30.543398E-3	-35.260455E-6	30.560890E-3	62.940453E-6	30.603541E-3	-52.361298E-6
-98.500001E-6	31.087143E-3	-4.1360522E-6	30.576488E-3	-90.347603E-6	30.639200E-3	70.084105E-6	30.634161E-3	20.594895E-6
-97.999997E-6	31.118002E-3	72.868963E-6	30.593621E-3	-846.30017E-9	30.736705E-3	-54.319433E-6	30.547973E-3	85.726497E-6
-97.500000E-6	31.140283E-3	33.986413E-6	30.569283E-3	75.184937E-6	30.799611E-3	-70.456059E-6	30.485835E-3	-15.673466E-6
-96.999996E-6	31.128861E-3	-46.568308E-6	30.637845E-3	14.319085E-6	30.891446E-3	30.659936E-6	30.480556E-3	-74.040858E-6
-96.500000E-6	31.184319E-3	-75.795877E-6	30.620854E-3	-52.072322E-6	30.936107E-3	74.111660E-6	30.501628E-3	-29.153345E-6
-95.999996E-6	31.165879E-3	-457.16325E-9	30.614384E-3	-55.263910E-6	30.957270E-3	18.676428E-6	30.528972E-3	40.396953E-6
-95.500000E-6	31.174149E-3	55.801698E-6	30.663637E-3	41.298525E-6	30.974420E-3	-95.310519E-6	30.575169E-3	66.766421E-6
-94.999996E-6	31.217899E-3	42.549469E-6	30.668274E-3	60.333197E-6	30.965341E-3	-38.617247E-6	30.660849E-3	-11.041067E-6
-94.499999E-6	31.237602E-3	-43.074848E-6	30.710187E-3	-42.115273E-6	30.958775E-3	62.115403E-6	30.694392E-3	-84.786538E-6
-93.999995E-6	31.033304E-3	-95.110438E-6	30.819491E-3	-82.264007E-6	30.965200E-3	51.500054E-6	30.748630E-3	-22.132655E-6
-93.499999E-6	31.069046E-3	-19.073772E-6	30.998923E-3	5.3018621E-6	31.001654E-3	-38.741760E-6	30.823598E-3	56.069068E-6
-92.999995E-6	31.074654E-3	43.521861E-6	31.172166E-3	60.322724E-6	31.007908E-3	-70.848444E-6	30.846464E-3	44.298919E-6
-92.499999E-6	31.108588E-3	56.758232E-6	31.245464E-3	-369.51209E-9	31.011635E-3	6.4930355E-6	30.871632E-3	-50.369446E-6
-91.999995E-6	31.092264E-3	-48.287337E-6	31.256925E-3	-63.911219E-6	31.083409E-3	68.180569E-6	30.896056E-3	-77.942343E-6
-91.499998E-6	31.132381E-3	-88.463057E-6	31.204212E-3	-43.157565E-6	30.941026E-3	6.9014000E-6	30.865002E-3	10.509612E-6
-90.999994E-6	31.129180E-3	-63.818719E-6	31.107580E-3	68.625028E-6	30.961184E-3	-80.723206E-6	30.800631E-3	84.808053E-6
-90.499998E-6	31.128960E-3	51.670457E-6	31.001704E-3	57.798530E-6	31.015556E-3	-26.929225E-6	30.837564E-3	23.727029E-6
-90.000001E-6	31.115538E-3	68.583802E-6	30.969759E-3	-42.261112E-6	31.061184E-3	58.018573E-6	30.851163E-3	-70.068156E-6
-89.499998E-6	31.145491E-3	-6.2033910E-6	30.923072E-3	-87.565328E-6	31.094128E-3	45.032157E-6	30.880133E-3	-47.958827E-6
-88.999994E-6	31.136701E-3	-79.199170E-6	30.909644E-3	18.755984E-6	31.055253E-3	-40.076964E-6	30.858336E-3	34.062949E-6
-88.499997E-6	31.151550E-3	-72.289709E-6	30.897282E-3	89.789268E-6	30.976901E-3	-88.926747E-6	30.966083E-3	73.725088E-6
-88.000001E-6	31.146569E-3	32.975739E-6	30.876338E-3	2.0528319E-6	30.873202E-3	3.9118481E-6	31.255327E-3	-9.3986655E-6
-87.499997E-6	31.112740E-3	63.121945E-6	30.864939E-3	-76.395932E-6	30.817922E-3	61.116931E-6	31.229310E-3	-90.133122E-6
-87.000000E-6	31.074744E-3	23.369308E-6	30.890355E-3	-29.301103E-6	30.738566E-3	12.873985E-6	30.965840E-3	-31.244261E-6
-86.499997E-6	31.050786E-3	-71.798495E-6	30.853486E-3	44.814973E-6	30.660752E-3	-64.741405E-6	30.991543E-3	34.990724E-6
-86.000000E-6	31.085612E-3	-78.765202E-6	30.850306E-3	59.453138E-6	30.633822E-3	-55.735440E-6	30.973895E-3	26.244194E-6
-85.499996E-6	31.023916E-3	8.8408706E-6	30.809866E-3	-40.714283E-6	30.630467E-3	45.175537E-6	31.002888E-3	-31.462263E-6
-85.000000E-6	31.002339E-3	80.104975E-6	30.822396E-3	-63.928994E-6	30.574400E-3	69.552771E-6	31.017942E-3	-63.696942E-6
-84.499996E-6	30.989904E-3	54.415734E-6	30.738587E-3	28.925519E-6	30.591769E-3	-7.7788045E-6	31.073356E-3	-19.169933E-6
-83.999999E-6	30.908240E-3	-32.443557E-6	30.623036E-3	64.842090E-6	30.594870E-3	-71.639508E-6	31.059526E-3	50.081384E-6
-83.499996E-6	30.918539E-3	-69.264919E-6	30.468764E-3	7.1983472E-6	30.654822E-3	906.05511E-9	31.096598E-3	25.192125E-6
-82.999999E-6	30.893203E-3	-16.161846E-6	30.410677E-3	-73.313684E-6	30.580735E-3	89.414352E-6	31.111959E-3	-59.626378E-6
-82.499995E-6	30.901523E-3	74.907468E-6	30.369248E-3	-42.088661E-6	30.591490E-3	32.979216E-6	31.154336E-3	-77.245357E-6
-81.999999E-6	30.900665E-3	55.759509E-6	30.396011E-3	50.801613E-6	30.566623E-3	-67.045272E-6	31.179838E-3	5.0811723E-6
-81.499995E-6	30.884746E-3	-40.214556E-6	30.425929E-3	40.330273E-6	30.486969E-3	-65.247179E-6	31.209972E-3	38.911774E-6
-80.999998E-6	30.861882E-3	-73.907526E-6	30.557444E-3	-34.660385E-6	30.458611E-3	54.417054E-6	31.306401E-3	8.4331105E-6
-80.500002E-6	30.838450E-3	-21.558033E-6	30.572291E-3	-57.235393E-6	30.437928E-3	62.902531E-6	31.343699E-3	-68.584995E-6
-79.999998E-6	30.816941E-3	49.209222E-6	30.634807E-3	21.768741E-6	30.295547E-3	-32.706772E-6	31.356834E-3	-61.475905E-6
-79.499994E-6	30.800076E-3	60.290316E-6	30.667637E-3	79.706675E-6	30.231001E-3	-83.728810E-6	31.337976E-3	41.654563E-6
-78.999998E-6	30.808082E-3	-15.896725E-6	30.738423E-3	30.679865E-6	30.211564E-3	-4.1725380E-6	31.354006E-3	53.243446E-6
-78.500001E-6	30.757997E-3	-65.931214E-6	30.704459E-3	-78.578749E-6	30.220894E-3	66.679422E-6	31.340279E-3	-9.9725748E-6
-77.999997E-6	30.758051E-3	-64.458989E-6	30.702412E-3	-39.343013E-6	30.299749E-3	15.822692E-6	31.308878E-3	-69.620677E-6
-77.499993E-6	30.761084E-3	44.998644E-6	30.745378E-3	62.209518E-6	30.357137E-3	-71.699695E-6	31.273413E-3	-62.960367E-6
-76.999997E-6	30.751510E-3	54.275326E-6	30.751629E-3	43.761032E-6	30.470474E-3	-55.394659E-6	31.271785E-3	55.163062E-6
-76.500000E-6	30.702077E-3	5.5423893E-6	30.773727E-3	-36.750975E-6	30.581404E-3	35.656518E-6	31.236228E-3	64.047723E-6
-75.999997E-6	30.670088E-3	-65.392727E-6	30.778445E-3	-82.412305E-6	30.628791E-3	53.324540E-6	31.183943E-3	-26.700514E-6
-75.500000E-6	30.670719E-3	-65.885812E-6	30.760480E-3	-8.4189096E-6	30.656980E-3	-38.082981E-6	31.144911E-3	-75.607924E-6
-74.999996E-6	30.686287E-3	42.744738E-6	30.793054E-3	63.250525E-6	30.665630E-3	-96.790041E-6	31.114193E-3	-14.175535E-6
-74.500000E-6	30.685550E-3	60.251576E-6	30.838771E-3	4.2237980E-6	30.673278E-3	-12.841861E-6	31.075291E-3	71.110670E-6
-73.999996E-6	30.704148E-3	25.611471E-6	30.907633E-3	-84.424384E-6	30.679155E-3	73.709409E-6	31.032126E-3	54.136475E-6
-73.499999E-6	30.689618E-3	-75.843898E-6	30.997612E-3	-52.197243E-6	30.667527E-3	18.848950E-6	31.026993E-3	-14.945253E-6
-72.999996E-6	30.712990E-3	-68.640737E-6	31.063916E-3	46.657518E-6	30.736702E-3	-74.597032E-6	31.028513E-3	-79.526100E-6
-72.499999E-6	30.708436E-3	10.082059E-6	31.114437E-3	54.210566E-6	30.706527E-3	-49.021066E-6	31.031830E-3	278.31607E-9
-71.999995E-6	30.697044E-3	67.565059E-6	31.197865E-3	-30.020647E-6	30.751789E-3	42.857824E-6	30.970646E-3	72.334493E-6
-71.499999E-6	30.652681E-3	34.210621E-6	31.244826E-3	-90.059351E-6	30.814083E-3	68.355999E-6	31.113023E-3	27.609865E-6
-70.999995E-6	30.637961E-3	-53.219872E-6	31.261642E-3	-14.990531E-6	30.909548E-3	-36.307112E-6	31.136118E-3	-44.732617E-6
