Experiment	Sweeper	
Saved Date	30.06.2023 18:53:56	
User		
Date		
Start time	30.06.2023 18:41:51	
Sweep channel: Name	Output 2 (V)	
Sweep channel: Start (V)	-100E-6	
Sweep channel: Stop (V)	200E-6	
Sweep channel: Points	601	
Sweep channel: Max slew rate (V/s)	Inf	
Sweep channel: Initial settling time (s)	20E+3	
Sweep channel: End settling time (s)	2E+0	
Sweep channel: Backward sweep	TRUE	
Sweep channel: Number of sweeps	2	
Sweep channel: Reset	FALSE	
Step channel 1: Name	Output 3 (V)	
Step channel 1: Start (V)	50E-3	
Step channel 1: Stop (V)	50E-3	
Step channel 1: Points	2	
Step channel 1: Max slew rate (V/s)	10E+0	
Step channel 1:  Initial settling time (s)	2E+0	
Step channel 1: End settling time (s)	2E+0	
Step channel 1: Backward sweep	FALSE	
Step channel 1: Reset	FALSE	
Sweep Type	2D-Both RT	
Acquire channels	Input 1 (V);LI Demod 3 X (V)	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Output 2 Setp. (V)	Input 1 [00001] (V)	LI Demod 3 X [00001] (V)	Input 1 [00002] (V)	LI Demod 3 X [00002] (V)	Input 1 [00001] [bwd] (V)	LI Demod 3 X [00001] [bwd] (V)	Input 1 [00002] [bwd] (V)	LI Demod 3 X [00002] [bwd] (V)
-99.999997E-6	31.169435E-3	-23.827632E-6	30.953132E-3	-40.625775E-6	30.940933E-3	69.729438E-6	31.371724E-3	-86.764703E-6
-99.500001E-6	31.190667E-3	48.691574E-6	30.955479E-3	-73.360279E-6	30.901637E-3	23.407580E-6	31.355638E-3	-48.202273E-6
-98.999997E-6	31.175006E-3	35.722758E-6	30.925771E-3	17.469907E-6	30.966463E-3	-53.596141E-6	31.344064E-3	47.880840E-6
-98.500001E-6	31.103190E-3	-59.460577E-6	30.962992E-3	68.814239E-6	30.918600E-3	-49.898768E-6	31.294521E-3	64.658459E-6
-97.999997E-6	31.023409E-3	-71.077193E-6	30.998338E-3	8.6486980E-6	30.889060E-3	38.134593E-6	31.260937E-3	-20.526582E-6
-97.500000E-6	30.951791E-3	45.387445E-6	31.048477E-3	-64.745895E-6	30.845392E-3	56.966801E-6	31.258624E-3	-78.620775E-6
-96.999996E-6	30.838579E-3	68.464193E-6	31.103922E-3	-42.586944E-6	30.767359E-3	-21.701433E-6	31.204363E-3	-39.146060E-6
-96.500000E-6	30.737311E-3	11.542756E-6	31.216523E-3	58.185658E-6	30.672751E-3	-89.504472E-6	31.174956E-3	62.599138E-6
-95.999996E-6	30.655814E-3	-47.545000E-6	31.241810E-3	60.015274E-6	30.645754E-3	-20.015093E-6	31.112507E-3	52.155323E-6
-95.500000E-6	30.606560E-3	-56.947181E-6	31.336181E-3	-33.068285E-6	30.653590E-3	70.309397E-6	31.056887E-3	-33.030919E-6
-94.999996E-6	30.587275E-3	41.051375E-6	31.375434E-3	-90.788046E-6	30.619966E-3	21.646490E-6	30.994674E-3	-78.042081E-6
