Experiment	Sweeper	
Saved Date	30.06.2023 19:41:39	
User		
Date		
Start time	30.06.2023 19:29:34	
Sweep channel: Name	Output 2 (V)	
Sweep channel: Start (V)	-100E-6	
Sweep channel: Stop (V)	200E-6	
Sweep channel: Points	601	
Sweep channel: Max slew rate (V/s)	Inf	
Sweep channel: Initial settling time (s)	20E+3	
Sweep channel: End settling time (s)	2E+0	
Sweep channel: Backward sweep	TRUE	
Sweep channel: Number of sweeps	2	
Sweep channel: Reset	FALSE	
Step channel 1: Name	Output 3 (V)	
Step channel 1: Start (V)	50E-3	
Step channel 1: Stop (V)	50E-3	
Step channel 1: Points	2	
Step channel 1: Max slew rate (V/s)	10E+0	
Step channel 1:  Initial settling time (s)	2E+0	
Step channel 1: End settling time (s)	2E+0	
Step channel 1: Backward sweep	FALSE	
Step channel 1: Reset	FALSE	
Sweep Type	2D-Both RT	
Acquire channels	Input 1 (V);LI Demod 3 X (V)	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Output 2 Setp. (V)	Input 1 [00001] (V)	LI Demod 3 X [00001] (V)	Input 1 [00002] (V)	LI Demod 3 X [00002] (V)	Input 1 [00001] [bwd] (V)	LI Demod 3 X [00001] [bwd] (V)	Input 1 [00002] [bwd] (V)	LI Demod 3 X [00002] [bwd] (V)
-99.999997E-6	31.067662E-3	32.325959E-6	30.851487E-3	20.790807E-6	30.569784E-3	38.884176E-6	30.985506E-3	85.566870E-6
-99.500001E-6	31.087941E-3	66.006629E-6	30.890025E-3	-36.394173E-6	30.555347E-3	44.501805E-6	31.106383E-3	35.462224E-6
-98.999997E-6	31.105716E-3	23.373941E-6	30.880840E-3	-70.963375E-6	30.531259E-3	-38.212474E-6	31.102696E-3	-62.407031E-6
-98.500001E-6	31.158408E-3	-36.016962E-6	30.931957E-3	5.1497263E-6	30.510897E-3	-73.779956E-6	31.129742E-3	-74.101474E-6
-97.999997E-6	31.200381E-3	-61.323648E-6	30.910049E-3	53.012867E-6	30.496674E-3	-33.931643E-6	31.069832E-3	-7.0221599E-6
-97.500000E-6	31.262167E-3	-17.070613E-6	30.931814E-3	47.137964E-6	30.430911E-3	45.300454E-6	31.044651E-3	45.896129E-6
-96.999996E-6	31.347152E-3	67.005909E-6	30.950939E-3	-23.862145E-6	30.459616E-3	56.410790E-6	31.030675E-3	62.125466E-6
-96.500000E-6	31.423539E-3	77.764518E-6	30.934731E-3	-74.568656E-6	30.469485E-3	-2.4993869E-6	31.040521E-3	11.666749E-6
-95.999996E-6	31.454749E-3	9.3737262E-6	30.941511E-3	-58.286332E-6	30.470658E-3	-97.336466E-6	30.977495E-3	-70.734131E-6
-95.500000E-6	31.465542E-3	-93.223614E-6	30.928684E-3	16.537295E-6	30.511724E-3	-69.099638E-6	30.912900E-3	-61.352206E-6
-94.999996E-6	31.441331E-3	-65.032073E-6	30.954530E-3	80.459824E-6	30.531948E-3	38.588863E-6	30.831639E-3	11.890335E-6
-94.499999E-6	31.394683E-3	6.7473638E-6	30.898066E-3	6.2243976E-6	30.544423E-3	69.482223E-6	30.712664E-3	73.934250E-6
-93.999995E-6	31.289037E-3	67.144021E-6	30.954411E-3	-75.904893E-6	30.594546E-3	-3.0581634E-6	30.658985E-3	63.220687E-6
-93.499999E-6	31.216603E-3	31.456348E-6	30.935517E-3	-86.673877E-6	30.613573E-3	-59.540474E-6	30.608775E-3	-14.968431E-6
-92.999995E-6	31.138923E-3	-44.953136E-6	30.950068E-3	1.3001857E-6	30.646544E-3	-66.972854E-6	30.618120E-3	-87.989923E-6
-92.499999E-6	31.072067E-3	-66.001972E-6	30.921306E-3	70.387585E-6	30.682649E-3	-1.4340241E-6	30.605705E-3	-42.669595E-6
-91.999995E-6	31.001648E-3	-43.536642E-6	30.945418E-3	43.471995E-6	30.691348E-3	86.222026E-6	30.655306E-3	12.054977E-6
-91.499998E-6	30.968370E-3	18.555802E-6	31.046502E-3	-14.376406E-6	30.697001E-3	57.669480E-6	30.719209E-3	66.209606E-6
-90.999994E-6	30.964971E-3	62.378815E-6	31.131452E-3	-70.594251E-6	30.755095E-3	-32.786713E-6	30.805023E-3	25.902145E-6
-90.499998E-6	30.895593E-3	12.810811E-6	31.193765E-3	-25.659388E-6	30.695867E-3	-75.040625E-6	30.888015E-3	-38.982595E-6
-90.000001E-6	30.930704E-3	-60.919534E-6	31.223871E-3	29.207735E-6	30.810187E-3	-32.132371E-6	30.940713E-3	-69.299567E-6
-89.499998E-6	30.934444E-3	-88.542547E-6	31.291042E-3	71.633985E-6	30.772416E-3	45.954166E-6	30.985793E-3	-37.239570E-6
-88.999994E-6	30.975955E-3	-13.246287E-6	31.356711E-3	28.397893E-6	30.895002E-3	56.347497E-6	31.146927E-3	38.991700E-6
-88.499997E-6	30.924421E-3	60.288025E-6	31.400725E-3	-73.398907E-6	30.905120E-3	5.8818860E-6	30.927079E-3	63.518513E-6
-88.000001E-6	30.927630E-3	63.115571E-6	31.264856E-3	-63.879204E-6	30.926159E-3	-80.053338E-6	30.917434E-3	12.774736E-6
-87.499997E-6	30.915931E-3	-11.250063E-6	31.235553E-3	-625.72053E-9	30.947985E-3	-55.595428E-6	30.945148E-3	-60.677001E-6
-87.000000E-6	30.899940E-3	-85.299522E-6	31.190690E-3	59.902020E-6	30.941835E-3	23.246186E-6	30.955441E-3	-77.215693E-6
-86.499997E-6	30.887436E-3	-61.372957E-6	31.083854E-3	75.250588E-6	30.960605E-3	84.309140E-6	30.967571E-3	-12.157795E-6
-86.000000E-6	30.897731E-3	19.082749E-6	30.990461E-3	-32.035932E-6	30.958697E-3	22.982946E-6	30.956700E-3	66.585613E-6
-85.499996E-6	30.858571E-3	63.051848E-6	30.960891E-3	-88.780296E-6	30.982556E-3	-65.963046E-6	31.049395E-3	44.443830E-6
-85.000000E-6	30.792618E-3	39.555140E-6	30.921061E-3	-59.357026E-6	30.939909E-3	-72.774994E-6	31.026741E-3	-8.2582601E-6
-84.499996E-6	30.754628E-3	-50.863728E-6	30.846434E-3	49.804330E-6	30.951142E-3	-6.1663304E-6	31.092549E-3	-85.370317E-6
-83.999999E-6	30.722972E-3	-61.711733E-6	30.824605E-3	68.194648E-6	30.945037E-3	49.987390E-6	31.160761E-3	-72.818606E-6
-83.499996E-6	30.630620E-3	-13.986687E-6	30.797288E-3	32.351014E-6	30.956380E-3	55.465378E-6	31.248050E-3	-3.2078783E-6
-82.999999E-6	30.586150E-3	68.274363E-6	30.793117E-3	-67.653760E-6	30.952951E-3	-60.960159E-6	31.333152E-3	54.904143E-6
-82.499995E-6	30.570455E-3	70.724425E-6	30.767605E-3	-83.991086E-6	30.973071E-3	-100.96878E-6	31.361379E-3	54.909277E-6
-81.999999E-6	30.551679E-3	4.5225447E-6	30.759266E-3	342.88135E-9	30.986883E-3	-58.116799E-6	31.405311E-3	-48.521037E-6
