Experiment	Sweeper	
Saved Date	30.06.2023 19:59:10	
User		
Date		
Start time	30.06.2023 19:57:19	
Sweep channel: Name	Output 2 (V)	
Sweep channel: Start (V)	-100E-6	
Sweep channel: Stop (V)	10E-3	
Sweep channel: Points	601	
Sweep channel: Max slew rate (V/s)	Inf	
Sweep channel: Initial settling time (s)	20E+3	
Sweep channel: End settling time (s)	2E+0	
Sweep channel: Backward sweep	TRUE	
Sweep channel: Number of sweeps	2	
Sweep channel: Reset	FALSE	
Step channel 1: Name	Output 3 (V)	
Step channel 1: Start (V)	50E-3	
Step channel 1: Stop (V)	50E-3	
Step channel 1: Points	2	
Step channel 1: Max slew rate (V/s)	10E+0	
Step channel 1:  Initial settling time (s)	2E+0	
Step channel 1: End settling time (s)	2E+0	
Step channel 1: Backward sweep	FALSE	
Step channel 1: Reset	FALSE	
Sweep Type	2D-Both RT	
Acquire channels	Input 1 (V);LI Demod 3 X (V)	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Output 2 Setp. (V)	Input 1 [00001] (V)	LI Demod 3 X [00001] (V)	Input 1 [00001] [bwd] (V)	LI Demod 3 X [00001] [bwd] (V)
-99.999997E-6	31.493921E-3	-66.347427E-6	0.0000000E+0	NaN
-83.166662E-6	31.385027E-3	-44.210596E-6	0.0000000E+0	NaN
-66.333334E-6	31.271771E-3	62.055260E-6	0.0000000E+0	NaN
-49.499999E-6	31.224880E-3	42.808093E-6	0.0000000E+0	NaN
-32.666663E-6	31.196322E-3	-75.242300E-6	0.0000000E+0	NaN
-15.833328E-6	31.148113E-3	-43.396081E-6	0.0000000E+0	NaN
1.0000003E-6	31.122139E-3	60.946280E-6	0.0000000E+0	NaN
17.833336E-6	31.097159E-3	40.349401E-6	0.0000000E+0	NaN
34.666671E-6	31.013794E-3	-60.109953E-6	0.0000000E+0	NaN
51.500007E-6	30.830646E-3	-58.026879E-6	0.0000000E+0	NaN
68.333342E-6	30.720975E-3	35.291305E-6	0.0000000E+0	NaN
85.166677E-6	37.622105E-3	2.6995933E-3	0.0000000E+0	NaN
102.00000E-6	40.197246E-3	1.0465658E-3	0.0000000E+0	NaN
118.83333E-6	40.518090E-3	786.55203E-6	0.0000000E+0	NaN
135.66666E-6	40.678468E-3	847.30476E-6	0.0000000E+0	NaN
152.50000E-6	40.691238E-3	882.76464E-6	0.0000000E+0	NaN
169.33333E-6	40.665504E-3	770.62933E-6	0.0000000E+0	NaN
186.16667E-6	40.518928E-3	773.25688E-6	0.0000000E+0	NaN
203.00000E-6	39.507575E-3	1.8867663E-3	0.0000000E+0	NaN
219.83334E-6	35.122782E-3	2.7942236E-3	0.0000000E+0	NaN
236.66667E-6	31.300914E-3	-33.858698E-6	0.0000000E+0	NaN
253.50001E-6	31.376336E-3	-69.795926E-6	0.0000000E+0	NaN
270.33334E-6	31.333834E-3	15.563077E-6	0.0000000E+0	NaN
287.16668E-6	31.200619E-3	87.677436E-6	0.0000000E+0	NaN
303.99999E-6	31.102579E-3	-19.061972E-6	0.0000000E+0	NaN
320.83332E-6	31.044500E-3	-86.304230E-6	0.0000000E+0	NaN
337.66666E-6	31.056607E-3	684.19138E-9	0.0000000E+0	NaN
354.49999E-6	31.027237E-3	70.332593E-6	0.0000000E+0	NaN
371.33333E-6	31.038677E-3	6.5829818E-6	0.0000000E+0	NaN
388.16666E-6	31.040207E-3	-85.024301E-6	0.0000000E+0	NaN
405.00000E-6	30.888110E-3	2.0257974E-6	0.0000000E+0	NaN
421.83336E-6	30.742047E-3	72.899573E-6	0.0000000E+0	NaN
438.66667E-6	35.077754E-3	2.3820801E-3	0.0000000E+0	NaN
455.49998E-6	35.155158E-3	2.9044389E-3	0.0000000E+0	NaN
472.33334E-6	39.769299E-3	1.4627773E-3	0.0000000E+0	NaN
489.16665E-6	40.426020E-3	911.27132E-6	0.0000000E+0	NaN
506.00001E-6	40.680543E-3	860.70463E-6	0.0000000E+0	NaN
522.83332E-6	40.642411E-3	765.16595E-6	0.0000000E+0	NaN
539.66668E-6	40.479477E-3	794.49028E-6	0.0000000E+0	NaN
556.49999E-6	39.648410E-3	1.6878546E-3	0.0000000E+0	NaN
573.33335E-6	34.372080E-3	3.2319899E-3	0.0000000E+0	NaN
590.16666E-6	32.495394E-3	2.7345300E-3	0.0000000E+0	NaN
607.00002E-6	31.061433E-3	-39.335144E-6	0.0000000E+0	NaN
623.83333E-6	31.238182E-3	43.157248E-6	0.0000000E+0	NaN
640.66669E-6	31.327728E-3	62.455008E-6	0.0000000E+0	NaN
657.50000E-6	31.384617E-3	-43.239816E-6	0.0000000E+0	NaN
674.33337E-6	31.294238E-3	-95.605872E-6	0.0000000E+0	NaN
691.16667E-6	31.115580E-3	13.353770E-6	0.0000000E+0	NaN
707.99998E-6	30.994803E-3	76.916396E-6	0.0000000E+0	NaN
724.83334E-6	30.952420E-3	1.0240309E-6	0.0000000E+0	NaN
741.66665E-6	30.952651E-3	-83.627281E-6	0.0000000E+0	NaN
758.50001E-6	30.937633E-3	-2.7800988E-6	0.0000000E+0	NaN
775.33332E-6	30.958714E-3	51.466101E-6	0.0000000E+0	NaN
792.16668E-6	30.904558E-3	16.703589E-6	0.0000000E+0	NaN
808.99999E-6	33.742104E-3	1.2111097E-3	0.0000000E+0	NaN
825.83335E-6	39.342925E-3	1.2116854E-3	0.0000000E+0	NaN
842.66666E-6	40.117893E-3	933.96049E-6	0.0000000E+0	NaN
859.50003E-6	40.154554E-3	864.87661E-6	0.0000000E+0	NaN
876.33333E-6	40.245645E-3	752.57884E-6	0.0000000E+0	NaN
893.16670E-6	40.423632E-3	772.89093E-6	0.0000000E+0	NaN
910.00000E-6	40.413044E-3	886.39819E-6	0.0000000E+0	NaN
926.83331E-6	39.358519E-3	1.1551791E-3	0.0000000E+0	NaN
943.66673E-6	32.702561E-3	2.7274597E-3	0.0000000E+0	NaN
960.50004E-6	31.622179E-3	220.87152E-6	0.0000000E+0	NaN
977.33340E-6	30.905753E-3	36.026500E-6	0.0000000E+0	NaN
994.16671E-6	30.933622E-3	58.087746E-6	0.0000000E+0	NaN
1.0110000E-3	31.084184E-3	-80.173151E-6	0.0000000E+0	NaN
1.0278334E-3	31.277526E-3	-72.731687E-6	0.0000000E+0	NaN
1.0446667E-3	31.351883E-3	25.972195E-6	0.0000000E+0	NaN
1.0615001E-3	31.234361E-3	64.334228E-6	0.0000000E+0	NaN
1.0783334E-3	31.138493E-3	-24.577195E-6	0.0000000E+0	NaN
1.0951668E-3	31.022584E-3	-42.722630E-6	0.0000000E+0	NaN
1.1120001E-3	31.008087E-3	18.893606E-6	0.0000000E+0	NaN
1.1288334E-3	38.113389E-3	2.5712361E-3	0.0000000E+0	NaN
1.1456667E-3	40.597077E-3	901.36961E-6	0.0000000E+0	NaN
1.1625001E-3	40.543523E-3	796.87074E-6	0.0000000E+0	NaN
1.1793334E-3	40.647365E-3	836.15148E-6	0.0000000E+0	NaN
1.1961667E-3	40.479623E-3	905.37663E-6	0.0000000E+0	NaN
1.2130000E-3	39.941754E-3	855.55651E-6	0.0000000E+0	NaN
1.2298335E-3	37.332706E-3	2.0926308E-3	0.0000000E+0	NaN
1.2466668E-3	30.648584E-3	14.588693E-6	0.0000000E+0	NaN
1.2635001E-3	30.745821E-3	75.396871E-6	0.0000000E+0	NaN
1.2803334E-3	30.879710E-3	-3.7345026E-6	0.0000000E+0	NaN
1.2971667E-3	30.925354E-3	-74.418480E-6	0.0000000E+0	NaN
1.3140001E-3	30.916603E-3	-4.8346651E-6	0.0000000E+0	NaN
1.3308334E-3	30.922025E-3	61.902836E-6	0.0000000E+0	NaN
1.3476667E-3	30.909758E-3	24.662784E-6	0.0000000E+0	NaN
1.3645000E-3	31.030737E-3	-79.750098E-6	0.0000000E+0	NaN
1.3813335E-3	31.195093E-3	-40.032373E-6	0.0000000E+0	NaN
1.3981668E-3	31.353887E-3	75.975237E-6	0.0000000E+0	NaN
1.4150001E-3	35.717558E-3	2.1719935E-3	0.0000000E+0	NaN
1.4318334E-3	40.321361E-3	1.1928674E-3	0.0000000E+0	NaN
1.4486668E-3	40.168189E-3	948.39017E-6	0.0000000E+0	NaN
1.4655001E-3	40.751491E-3	891.10160E-6	0.0000000E+0	NaN
1.4823334E-3	40.816769E-3	856.20169E-6	0.0000000E+0	NaN
1.4991667E-3	40.588945E-3	760.92768E-6	0.0000000E+0	NaN
1.5160000E-3	39.653990E-3	1.6545900E-3	0.0000000E+0	NaN
1.5328334E-3	32.785408E-3	932.45052E-6	0.0000000E+0	NaN
1.5496667E-3	30.853553E-3	63.807478E-6	0.0000000E+0	NaN
1.5665001E-3	30.701373E-3	-52.503274E-6	0.0000000E+0	NaN
1.5833334E-3	30.600747E-3	-58.420821E-6	0.0000000E+0	NaN
1.6001668E-3	30.492542E-3	45.719706E-6	0.0000000E+0	NaN
1.6170001E-3	30.489374E-3	61.794439E-6	0.0000000E+0	NaN
1.6338334E-3	30.600149E-3	-35.135003E-6	0.0000000E+0	NaN
1.6506667E-3	30.761024E-3	-80.630569E-6	0.0000000E+0	NaN
1.6675001E-3	30.822357E-3	34.378299E-6	0.0000000E+0	NaN
1.6843334E-3	30.827267E-3	72.721312E-6	0.0000000E+0	NaN
1.7011667E-3	32.591946E-3	12.385589E-6	0.0000000E+0	NaN
1.7180000E-3	39.774477E-3	1.2762665E-3	0.0000000E+0	NaN
1.7348335E-3	39.776977E-3	972.99938E-6	0.0000000E+0	NaN
1.7516668E-3	40.544461E-3	901.83463E-6	0.0000000E+0	NaN
1.7685001E-3	40.742051E-3	838.74929E-6	0.0000000E+0	NaN
1.7853334E-3	40.776063E-3	748.54866E-6	0.0000000E+0	NaN
1.8021667E-3	40.141426E-3	1.6486486E-3	0.0000000E+0	NaN
1.8190001E-3	34.108069E-3	1.4915757E-3	0.0000000E+0	NaN
1.8358334E-3	31.330425E-3	28.642049E-6	0.0000000E+0	NaN
1.8526667E-3	31.216161E-3	-69.596768E-6	0.0000000E+0	NaN
1.8695000E-3	31.053726E-3	-58.349440E-6	0.0000000E+0	NaN
1.8863335E-3	31.057384E-3	46.913057E-6	0.0000000E+0	NaN
1.9031666E-3	31.046785E-3	80.944119E-6	0.0000000E+0	NaN
1.9200001E-3	31.010102E-3	-53.386979E-6	0.0000000E+0	NaN
1.9368335E-3	31.006226E-3	-70.370734E-6	0.0000000E+0	NaN
1.9536666E-3	30.991372E-3	21.004787E-6	0.0000000E+0	NaN
1.9705000E-3	30.924520E-3	66.201064E-6	0.0000000E+0	NaN
1.9873334E-3	34.673247E-3	2.0528242E-3	0.0000000E+0	NaN
2.0041666E-3	39.752498E-3	1.0222103E-3	0.0000000E+0	NaN
2.0210000E-3	39.623890E-3	911.96847E-6	0.0000000E+0	NaN
2.0378332E-3	40.158972E-3	892.85616E-6	0.0000000E+0	NaN
2.0546666E-3	40.375590E-3	829.19985E-6	0.0000000E+0	NaN
2.0715001E-3	40.365968E-3	767.34956E-6	0.0000000E+0	NaN
2.0883332E-3	37.945800E-3	1.9694513E-3	0.0000000E+0	NaN
2.1051667E-3	30.883651E-3	86.893444E-6	0.0000000E+0	NaN
2.1219999E-3	30.855529E-3	30.809810E-6	0.0000000E+0	NaN
2.1388333E-3	30.894049E-3	-61.954372E-6	0.0000000E+0	NaN
2.1556667E-3	30.910835E-3	-42.148971E-6	0.0000000E+0	NaN
2.1724999E-3	30.954860E-3	73.210824E-6	0.0000000E+0	NaN
2.1893333E-3	31.115662E-3	49.019320E-6	0.0000000E+0	NaN
2.2061667E-3	31.259518E-3	-74.017917E-6	0.0000000E+0	NaN
2.2229999E-3	31.380720E-3	-53.690910E-6	0.0000000E+0	NaN
2.2398334E-3	31.322084E-3	50.234936E-6	0.0000000E+0	NaN
2.2566665E-3	31.165749E-3	29.751594E-6	0.0000000E+0	NaN
2.2735000E-3	36.178604E-3	2.8139232E-3	0.0000000E+0	NaN
2.2903334E-3	40.448841E-3	900.10051E-6	0.0000000E+0	NaN
2.3071666E-3	40.526040E-3	947.02549E-6	0.0000000E+0	NaN
2.3240000E-3	40.753625E-3	888.31194E-6	0.0000000E+0	NaN
2.3408332E-3	40.805276E-3	773.54471E-6	0.0000000E+0	NaN
2.3576666E-3	40.533796E-3	797.93658E-6	0.0000000E+0	NaN
2.3745000E-3	37.856925E-3	2.4563910E-3	0.0000000E+0	NaN
2.3913332E-3	30.638592E-3	81.114427E-6	0.0000000E+0	NaN
2.4081666E-3	30.487984E-3	-6.5302265E-6	0.0000000E+0	NaN
2.4250001E-3	30.514484E-3	-69.889094E-6	0.0000000E+0	NaN
2.4418333E-3	30.658184E-3	41.307190E-6	0.0000000E+0	NaN
2.4586667E-3	30.764926E-3	73.938070E-6	0.0000000E+0	NaN
2.4754999E-3	30.824447E-3	-8.1928792E-6	0.0000000E+0	NaN
