Experiment	Sweeper	
Saved Date	30.06.2023 16:15:20	
User		
Date		
Start time	30.06.2023 16:05:15	
Sweep channel: Name	Output 2 (V)	
Sweep channel: Start (V)	-150E-6	
Sweep channel: Stop (V)	150E-6	
Sweep channel: Points	501	
Sweep channel: Max slew rate (V/s)	Inf	
Sweep channel: Initial settling time (s)	20E+3	
Sweep channel: End settling time (s)	2E+0	
Sweep channel: Backward sweep	TRUE	
Sweep channel: Number of sweeps	2	
Sweep channel: Reset	FALSE	
Step channel 1: Name	Output 3 (V)	
Step channel 1: Start (V)	50E-3	
Step channel 1: Stop (V)	50E-3	
Step channel 1: Points	2	
Step channel 1: Max slew rate (V/s)	10E+0	
Step channel 1:  Initial settling time (s)	2E+0	
Step channel 1: End settling time (s)	2E+0	
Step channel 1: Backward sweep	FALSE	
Step channel 1: Reset	FALSE	
Sweep Type	2D-Both RT	
Acquire channels	Input 1 (V);LI Demod 3 X (V)	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Output 2 Setp. (V)	Input 1 [00001] (V)	LI Demod 3 X [00001] (V)	Input 1 [00002] (V)	LI Demod 3 X [00002] (V)	Input 1 [00001] [bwd] (V)	LI Demod 3 X [00001] [bwd] (V)	Input 1 [00002] [bwd] (V)	LI Demod 3 X [00002] [bwd] (V)
-150.00001E-6	33.555470E-3	3.0272456E-3	34.887943E-3	2.9204951E-3	38.861345E-3	2.6344697E-3	33.183105E-3	2.8664418E-3
-149.40000E-6	33.685274E-3	2.4667813E-3	37.822217E-3	2.3874568E-3	38.734999E-3	2.9692755E-3	34.441840E-3	2.4452577E-3
-148.80001E-6	34.087919E-3	1.9035575E-3	37.286554E-3	2.4864434E-3	38.567510E-3	2.5175777E-3	35.054501E-3	2.0349708E-3
-148.20001E-6	35.604768E-3	2.7088036E-3	35.908487E-3	2.8425220E-3	38.597062E-3	1.9999808E-3	32.591816E-3	897.34129E-6
-147.60000E-6	34.838565E-3	2.5276295E-3	34.408726E-3	3.3008882E-3	39.098769E-3	1.5730910E-3	35.556909E-3	2.1886542E-3
-147.00001E-6	33.014957E-3	3.1579458E-3	36.423665E-3	3.3528216E-3	39.369334E-3	2.4310814E-3	32.542545E-3	2.7350585E-3
-146.40001E-6	34.964062E-3	2.6415053E-3	38.161207E-3	2.5787416E-3	40.611960E-3	965.62156E-6	34.239642E-3	3.2083639E-3
-145.80000E-6	35.423089E-3	2.3355032E-3	36.226463E-3	2.4936346E-3	40.812653E-3	1.0883139E-3	35.171244E-3	2.7601339E-3
-145.20000E-6	35.585098E-3	2.5357774E-3	36.203846E-3	2.4420226E-3	40.797040E-3	1.0720568E-3	33.815410E-3	1.4950725E-3
-144.60001E-6	34.702841E-3	3.0147610E-3	36.089707E-3	3.0455561E-3	40.638212E-3	974.52942E-6	34.612335E-3	2.0354502E-3
-144.00001E-6	33.492383E-3	3.1654967E-3	37.600737E-3	2.9610519E-3	40.364873E-3	1.0106345E-3	34.317411E-3	2.1895550E-3
-143.40000E-6	34.323644E-3	2.6366564E-3	36.497723E-3	2.9338547E-3	39.936733E-3	1.0904541E-3	31.318426E-3	2.1990601E-3
-142.80001E-6	34.507390E-3	2.2547205E-3	37.242752E-3	2.7699673E-3	40.271915E-3	1.1231258E-3	32.922890E-3	2.1438219E-3
-142.20001E-6	35.094403E-3	2.0638371E-3	37.117884E-3	2.5602349E-3	40.604785E-3	1.4009085E-3	32.663971E-3	858.72348E-6
-141.60000E-6	34.157913E-3	2.4285573E-3	36.103059E-3	2.7207383E-3	40.545449E-3	1.2420716E-3	32.921001E-3	945.03950E-6
-141.00001E-6	33.229407E-3	2.1781342E-3	36.055941E-3	3.0836943E-3	39.972972E-3	1.3937022E-3	32.418109E-3	1.0805243E-3
-140.40001E-6	33.722725E-3	2.7168752E-3	37.884779E-3	2.7754307E-3	39.997410E-3	1.0597920E-3	31.986479E-3	2.2094212E-3
