Experiment	Sweeper	
Saved Date	02.07.2023 21:53:39	
User		
Date		
Start time	02.07.2023 20:53:13	
Sweep channel: Name	Output 2 (V)	
Sweep channel: Start (V)	-200E-6	
Sweep channel: Stop (V)	1E-3	
Sweep channel: Points	601	
Sweep channel: Max slew rate (V/s)	Inf	
Sweep channel: Initial settling time (s)	20E+3	
Sweep channel: End settling time (s)	2E+0	
Sweep channel: Backward sweep	TRUE	
Sweep channel: Number of sweeps	10	
Sweep channel: Reset	FALSE	
Step channel 1: Name	Output 3 (V)	
Step channel 1: Start (V)	50E-3	
Step channel 1: Stop (V)	50E-3	
Step channel 1: Points	10	
Step channel 1: Max slew rate (V/s)	10E+0	
Step channel 1:  Initial settling time (s)	2E+0	
Step channel 1: End settling time (s)	2E+0	
Step channel 1: Backward sweep	FALSE	
Step channel 1: Reset	FALSE	
Sweep Type	2D-Both RT	
Acquire channels	Input 1 (V);LI Demod 3 X (V)	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Output 2 Setp. (V)	Input 1 [00001] (V)	LI Demod 3 X [00001] (V)	Input 1 [00002] (V)	LI Demod 3 X [00002] (V)	Input 1 [00003] (V)	LI Demod 3 X [00003] (V)	Input 1 [00004] (V)	LI Demod 3 X [00004] (V)	Input 1 [00005] (V)	LI Demod 3 X [00005] (V)	Input 1 [00006] (V)	LI Demod 3 X [00006] (V)	Input 1 [00007] (V)	LI Demod 3 X [00007] (V)	Input 1 [00008] (V)	LI Demod 3 X [00008] (V)	Input 1 [00009] (V)	LI Demod 3 X [00009] (V)	Input 1 [00010] (V)	LI Demod 3 X [00010] (V)	Input 1 [00001] [bwd] (V)	LI Demod 3 X [00001] [bwd] (V)	Input 1 [00002] [bwd] (V)	LI Demod 3 X [00002] [bwd] (V)	Input 1 [00003] [bwd] (V)	LI Demod 3 X [00003] [bwd] (V)	Input 1 [00004] [bwd] (V)	LI Demod 3 X [00004] [bwd] (V)	Input 1 [00005] [bwd] (V)	LI Demod 3 X [00005] [bwd] (V)	Input 1 [00006] [bwd] (V)	LI Demod 3 X [00006] [bwd] (V)	Input 1 [00007] [bwd] (V)	LI Demod 3 X [00007] [bwd] (V)	Input 1 [00008] [bwd] (V)	LI Demod 3 X [00008] [bwd] (V)	Input 1 [00009] [bwd] (V)	LI Demod 3 X [00009] [bwd] (V)	Input 1 [00010] [bwd] (V)	LI Demod 3 X [00010] [bwd] (V)
-199.99999E-6	40.640984E-3	866.23069E-6	40.967219E-3	825.87864E-6	41.131336E-3	785.26908E-6	40.698919E-3	903.85712E-6	40.596176E-3	781.89798E-6	40.801253E-3	883.86459E-6	40.838156E-3	900.41471E-6	40.869936E-3	876.46383E-6	41.382976E-3	794.72642E-6	41.251633E-3	895.82021E-6	41.036304E-3	874.49892E-6	41.147206E-3	848.15960E-6	40.742319E-3	872.80088E-6	40.620714E-3	868.31971E-6	40.737055E-3	810.53126E-6	40.715884E-3	823.75261E-6	40.731069E-3	819.88750E-6	41.462995E-3	762.16983E-6	40.917911E-3	860.75201E-6	41.029733E-3	828.03343E-6
-197.99999E-6	40.767971E-3	797.99618E-6	40.969718E-3	735.99879E-6	41.105967E-3	758.82470E-6	40.713254E-3	834.73127E-6	40.691603E-3	873.43191E-6	40.816005E-3	853.74690E-6	40.795758E-3	805.97145E-6	40.787976E-3	861.73957E-6	41.227594E-3	856.16088E-6	41.299544E-3	867.47226E-6	41.080292E-3	880.65304E-6	41.071944E-3	904.35072E-6	40.742025E-3	785.98573E-6	40.714595E-3	924.46053E-6	40.787160E-3	755.92467E-6	40.688090E-3	747.74155E-6	40.700059E-3	765.47801E-6	41.338995E-3	749.92963E-6	40.894043E-3	774.93972E-6	41.066665E-3	749.10029E-6
-195.99999E-6	40.847670E-3	751.24355E-6	40.919483E-3	763.22787E-6	41.090626E-3	784.28246E-6	40.691618E-3	757.20286E-6	40.749487E-3	914.79550E-6	40.836982E-3	764.40134E-6	40.789474E-3	761.15620E-6	40.775675E-3	781.48901E-6	41.181821E-3	869.35784E-6	41.298643E-3	798.07627E-6	41.081425E-3	808.10278E-6	41.058559E-3	816.04096E-6	40.744059E-3	743.04419E-6	40.860388E-3	823.96215E-6	40.733356E-3	780.29209E-6	40.585622E-3	802.13544E-6	40.753853E-3	796.41264E-6	41.240633E-3	797.92214E-6	40.939070E-3	768.35119E-6	41.228212E-3	751.95375E-6
-193.99999E-6	40.903408E-3	870.26058E-6	40.931787E-3	836.18017E-6	41.155159E-3	892.28008E-6	40.711481E-3	759.02970E-6	40.782671E-3	820.27446E-6	40.820479E-3	759.50433E-6	40.802028E-3	792.02116E-6	40.741775E-3	765.23697E-6	41.192010E-3	824.49015E-6	41.259017E-3	768.28094E-6	41.137967E-3	734.65012E-6	41.044991E-3	733.41391E-6	40.782198E-3	776.68787E-6	40.899411E-3	763.93952E-6	40.762864E-3	881.72551E-6	40.521510E-3	881.49740E-6	40.818173E-3	874.85433E-6	41.309003E-3	868.48642E-6	40.903680E-3	802.46746E-6	41.319173E-3	805.73029E-6
-191.99999E-6	40.968630E-3	893.44115E-6	40.927667E-3	890.68030E-6	41.100319E-3	875.23548E-6	40.740155E-3	816.56722E-6	40.818203E-3	778.42083E-6	40.819921E-3	864.44564E-6	40.788516E-3	887.27457E-6	40.681172E-3	835.13785E-6	41.203458E-3	773.65502E-6	41.193012E-3	800.51704E-6	41.078486E-3	781.39082E-6	41.104324E-3	769.52472E-6	40.953662E-3	878.47718E-6	40.897273E-3	830.30341E-6	40.782820E-3	892.10493E-6	40.461477E-3	859.65160E-6	40.998098E-3	878.30110E-6	41.273709E-3	874.10124E-6	40.911082E-3	879.57183E-6	41.463554E-3	876.97251E-6
-189.99999E-6	40.969048E-3	795.66741E-6	40.957510E-3	836.47965E-6	41.061699E-3	786.25971E-6	40.762123E-3	880.08447E-6	40.849771E-3	815.59352E-6	40.811844E-3	909.89179E-6	40.761586E-3	858.96719E-6	40.655077E-3	895.61252E-6	41.141223E-3	734.81945E-6	41.175857E-3	875.56196E-6	41.025359E-3	882.87424E-6	41.076247E-3	862.98207E-6	40.900324E-3	886.62229E-6	41.008841E-3	875.08059E-6	40.739041E-3	808.55534E-6	40.382240E-3	793.14178E-6	40.973779E-3	806.20492E-6	41.169517E-3	819.73098E-6	40.916950E-3	900.03735E-6	41.459017E-3	895.59442E-6
-187.99999E-6	40.896941E-3	734.22899E-6	40.994376E-3	780.02043E-6	41.064885E-3	766.01771E-6	40.782008E-3	867.07756E-6	40.890515E-3	873.55560E-6	40.785298E-3	854.17600E-6	40.787846E-3	761.69864E-6	40.600888E-3	826.11153E-6	41.131310E-3	808.79801E-6	41.116163E-3	865.16689E-6	41.026499E-3	870.23748E-6	41.099045E-3	908.72863E-6	40.866397E-3	848.91956E-6	41.029807E-3	853.96349E-6	40.732957E-3	762.60202E-6	40.437412E-3	760.05526E-6	41.066684E-3	741.19872E-6	41.160651E-3	778.57787E-6	40.910788E-3	794.67217E-6	41.421004E-3	817.69907E-6
-185.99999E-6	40.822528E-3	804.57004E-6	40.979981E-3	774.82441E-6	41.035552E-3	797.53355E-6	40.791400E-3	801.48876E-6	40.911820E-3	861.76634E-6	40.770885E-3	760.45457E-6	40.823519E-3	748.12537E-6	40.574204E-3	748.24248E-6	41.105427E-3	875.56400E-6	41.039258E-3	804.72656E-6	41.143820E-3	823.84236E-6	41.092508E-3	843.57098E-6	40.836122E-3	753.81075E-6	41.092686E-3	770.32001E-6	40.699627E-3	805.56364E-6	40.487956E-3	834.33930E-6	41.059751E-3	812.05904E-6	41.176252E-3	780.51403E-6	40.959682E-3	751.36800E-6	41.347347E-3	779.84319E-6
-183.99999E-6	40.739823E-3	884.60435E-6	40.998757E-3	830.49160E-6	41.051932E-3	895.15280E-6	40.813394E-3	739.17944E-6	40.952843E-3	748.69744E-6	40.910814E-3	769.26517E-6	40.863957E-3	855.66548E-6	40.558446E-3	774.49501E-6	41.079555E-3	889.05910E-6	40.976487E-3	784.24427E-6	41.145626E-3	738.30702E-6	41.056987E-3	754.90627E-6	40.781368E-3	782.82837E-6	41.095585E-3	796.13813E-6	40.683307E-3	894.55041E-6	40.606167E-3	904.31940E-6	41.043907E-3	884.33293E-6	41.152272E-3	840.08946E-6	40.956017E-3	776.80859E-6	41.215394E-3	759.99409E-6
-181.99999E-6	40.685486E-3	845.92489E-6	40.958904E-3	879.86124E-6	41.036859E-3	864.52108E-6	40.752385E-3	805.50148E-6	41.079726E-3	784.79253E-6	40.937390E-3	851.16102E-6	40.898029E-3	892.27944E-6	40.584028E-3	857.67644E-6	41.068565E-3	820.74601E-6	40.989440E-3	758.32824E-6	41.148040E-3	791.91540E-6	41.072246E-3	773.69431E-6	40.770423E-3	855.79680E-6	41.181132E-3	882.18146E-6	40.718708E-3	890.02540E-6	40.640965E-3	860.43525E-6	41.071128E-3	868.26284E-6	40.844757E-3	901.35116E-6	40.990286E-3	855.50506E-6	41.154917E-3	846.78101E-6
