Experiment	Sweeper	
Saved Date	03.07.2023 09:09:15	
User		
Date		
Start time	03.07.2023 08:08:49	
Sweep channel: Name	Output 2 (V)	
Sweep channel: Start (V)	-200E-6	
Sweep channel: Stop (V)	1E-3	
Sweep channel: Points	601	
Sweep channel: Max slew rate (V/s)	Inf	
Sweep channel: Initial settling time (s)	20E+3	
Sweep channel: End settling time (s)	2E+0	
Sweep channel: Backward sweep	TRUE	
Sweep channel: Number of sweeps	10	
Sweep channel: Reset	FALSE	
Step channel 1: Name	Output 3 (V)	
Step channel 1: Start (V)	50E-3	
Step channel 1: Stop (V)	50E-3	
Step channel 1: Points	10	
Step channel 1: Max slew rate (V/s)	10E+0	
Step channel 1:  Initial settling time (s)	2E+0	
Step channel 1: End settling time (s)	2E+0	
Step channel 1: Backward sweep	FALSE	
Step channel 1: Reset	FALSE	
Sweep Type	2D-Both RT	
Acquire channels	Input 1 (V);LI Demod 3 X (V)	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Output 2 Setp. (V)	Input 1 [00001] (V)	LI Demod 3 X [00001] (V)	Input 1 [00002] (V)	LI Demod 3 X [00002] (V)	Input 1 [00003] (V)	LI Demod 3 X [00003] (V)	Input 1 [00004] (V)	LI Demod 3 X [00004] (V)	Input 1 [00005] (V)	LI Demod 3 X [00005] (V)	Input 1 [00006] (V)	LI Demod 3 X [00006] (V)	Input 1 [00007] (V)	LI Demod 3 X [00007] (V)	Input 1 [00008] (V)	LI Demod 3 X [00008] (V)	Input 1 [00009] (V)	LI Demod 3 X [00009] (V)	Input 1 [00010] (V)	LI Demod 3 X [00010] (V)	Input 1 [00001] [bwd] (V)	LI Demod 3 X [00001] [bwd] (V)	Input 1 [00002] [bwd] (V)	LI Demod 3 X [00002] [bwd] (V)	Input 1 [00003] [bwd] (V)	LI Demod 3 X [00003] [bwd] (V)	Input 1 [00004] [bwd] (V)	LI Demod 3 X [00004] [bwd] (V)	Input 1 [00005] [bwd] (V)	LI Demod 3 X [00005] [bwd] (V)	Input 1 [00006] [bwd] (V)	LI Demod 3 X [00006] [bwd] (V)	Input 1 [00007] [bwd] (V)	LI Demod 3 X [00007] [bwd] (V)	Input 1 [00008] [bwd] (V)	LI Demod 3 X [00008] [bwd] (V)	Input 1 [00009] [bwd] (V)	LI Demod 3 X [00009] [bwd] (V)	Input 1 [00010] [bwd] (V)	LI Demod 3 X [00010] [bwd] (V)
-199.99999E-6	40.999342E-3	864.85257E-6	40.829178E-3	765.87725E-6	39.107557E-3	1.9426573E-3	40.743463E-3	792.60615E-6	41.070879E-3	926.57330E-6	40.780552E-3	781.52277E-6	40.765323E-3	1.0608578E-3	39.358754E-3	887.13918E-6	39.221495E-3	966.34158E-6	40.538810E-3	1.3528763E-3	40.600557E-3	1.1393854E-3	40.452551E-3	922.35982E-6	40.947810E-3	820.50083E-6	41.161388E-3	893.40186E-6	40.791120E-3	781.10263E-6	41.202605E-3	931.32508E-6	40.523630E-3	927.62668E-6	40.720847E-3	902.70682E-6	40.945444E-3	1.0417554E-3	40.985703E-3	881.64071E-6
-197.99999E-6	41.020911E-3	892.44114E-6	39.836224E-3	946.41460E-6	40.337488E-3	1.4977573E-3	38.439646E-3	1.5138829E-3	40.513951E-3	934.80654E-6	40.273562E-3	849.09744E-6	41.015536E-3	882.15212E-6	40.629383E-3	875.81179E-6	40.951420E-3	1.0191882E-3	40.464990E-3	826.56991E-6	40.823419E-3	905.44985E-6	35.804477E-3	2.4931347E-3	40.742986E-3	1.5989656E-3	38.583640E-3	1.5283220E-3	39.917011E-3	1.4048908E-3	41.216310E-3	924.34260E-6	40.807415E-3	766.01055E-6	39.678257E-3	1.1432040E-3	39.842304E-3	1.6140030E-3	41.286539E-3	789.34804E-6
-195.99999E-6	40.992666E-3	795.41467E-6	39.466057E-3	892.39469E-6	39.975833E-3	1.6402168E-3	40.566590E-3	777.12716E-6	40.938400E-3	858.31626E-6	40.493265E-3	1.7464646E-3	40.506311E-3	863.94500E-6	39.322980E-3	952.62815E-6	40.540673E-3	1.5940573E-3	40.325511E-3	1.1470434E-3	39.395496E-3	1.8732779E-3	40.841665E-3	829.44531E-6	41.096237E-3	894.62032E-6	39.828088E-3	1.1979793E-3	40.887173E-3	809.02956E-6	41.297939E-3	1.3305736E-3	37.696503E-3	2.8790783E-3	37.403893E-3	1.8776569E-3	40.913071E-3	900.23025E-6	41.340940E-3	761.22797E-6
-193.99999E-6	40.792674E-3	826.69238E-6	38.561068E-3	2.2904330E-3	38.849264E-3	1.0321260E-3	40.271737E-3	1.4484461E-3	40.156331E-3	1.2227756E-3	37.649609E-3	1.9934524E-3	40.150225E-3	936.87803E-6	40.326923E-3	1.9086659E-3	39.375961E-3	1.7174719E-3	40.832218E-3	1.1952166E-3	40.534988E-3	1.0320056E-3	40.807109E-3	1.4072434E-3	41.113876E-3	1.0045556E-3	37.569597E-3	531.27622E-6	40.596347E-3	867.94014E-6	41.241404E-3	795.06263E-6	40.832598E-3	923.52286E-6	39.361153E-3	2.1517309E-3	37.050910E-3	1.0943625E-3	41.226193E-3	884.82472E-6
-191.99999E-6	40.922772E-3	771.26664E-6	40.512197E-3	2.0709916E-3	39.888456E-3	855.66769E-6	40.361065E-3	983.51401E-6	41.234940E-3	873.48931E-6	40.580623E-3	789.77825E-6	40.330492E-3	1.0558381E-3	40.721897E-3	847.62211E-6	40.949609E-3	885.80273E-6	40.713269E-3	857.99937E-6	40.903784E-3	745.53693E-6	37.244130E-3	2.3825604E-3	37.067086E-3	1.3790396E-3	40.848266E-3	818.95432E-6	40.415112E-3	914.44631E-6	38.332220E-3	1.3533649E-3	38.668312E-3	1.2106533E-3	41.262578E-3	891.72996E-6	40.959731E-3	1.1918545E-3	41.264489E-3	900.73206E-6
-189.99999E-6	40.923953E-3	849.04779E-6	39.467253E-3	1.1481459E-3	40.671118E-3	1.3596023E-3	39.324891E-3	2.0896143E-3	41.086711E-3	1.6619409E-3	40.627886E-3	1.2043151E-3	40.620938E-3	1.7059026E-3	40.472977E-3	1.9272345E-3	39.999258E-3	942.86248E-6	32.692831E-3	2.3782037E-3	39.980095E-3	1.0067940E-3	40.667377E-3	1.9013076E-3	40.218532E-3	2.0305070E-3	38.309742E-3	1.2941012E-3	41.029856E-3	912.59048E-6	41.058686E-3	1.4897481E-3	38.975641E-3	1.8559316E-3	41.301265E-3	786.15162E-6	38.716026E-3	1.9862233E-3	41.378412E-3	833.10355E-6
-187.99999E-6	40.804524E-3	1.0989783E-3	36.644682E-3	1.0067041E-3	35.572622E-3	2.1292649E-3	40.793881E-3	850.26916E-6	37.852466E-3	2.9585334E-3	39.985035E-3	903.67254E-6	40.196955E-3	1.6890501E-3	36.399923E-3	1.9749969E-3	40.242508E-3	2.0527872E-3	39.345384E-3	1.5807544E-3	40.637795E-3	1.0252758E-3	39.730433E-3	1.1738180E-3	35.712030E-3	1.6649816E-3	38.174488E-3	2.0753173E-3	41.002285E-3	845.64026E-6	36.290452E-3	950.21719E-6	41.112777E-3	830.91279E-6	41.251969E-3	766.10269E-6	40.550217E-3	1.5872139E-3	40.785708E-3	998.29584E-6
-185.99999E-6	40.544700E-3	827.33220E-6	31.302344E-3	877.11419E-6	38.768400E-3	2.0400872E-3	39.448984E-3	2.1690542E-3	40.716756E-3	811.95228E-6	39.095625E-3	1.3014518E-3	39.110787E-3	1.9691710E-3	39.489064E-3	2.2419374E-3	41.392110E-3	1.0975634E-3	39.279040E-3	1.3596582E-3	36.423050E-3	1.5732093E-3	40.034849E-3	926.00583E-6	40.763360E-3	1.8297726E-3	39.803836E-3	1.0696728E-3	40.748406E-3	1.0464361E-3	40.019590E-3	2.0777502E-3	40.380049E-3	1.8968642E-3	41.381910E-3	910.53726E-6	38.696114E-3	1.1617667E-3	41.202921E-3	782.44129E-6
-183.99999E-6	40.058400E-3	1.0138918E-3	34.567788E-3	1.3198736E-3	38.291093E-3	1.4123135E-3	40.974271E-3	798.93705E-6	33.398867E-3	735.65292E-6	41.114740E-3	880.34529E-6	40.824894E-3	905.45387E-6	40.054221E-3	1.3035755E-3	36.901329E-3	2.6982427E-3	36.947489E-3	1.0657313E-3	40.218860E-3	1.1245671E-3	36.905359E-3	1.5999684E-3	37.077293E-3	2.3024913E-3	40.402386E-3	1.0638138E-3	41.317564E-3	849.92126E-6	41.041285E-3	867.94887E-6	37.354138E-3	2.7350998E-3	40.649932E-3	1.6575198E-3	39.476372E-3	1.5736107E-3	41.103039E-3	1.4693458E-3
-181.99999E-6	41.082237E-3	764.44820E-6	36.317993E-3	2.1559584E-3	41.007720E-3	754.49329E-6	41.066404E-3	895.52795E-6	41.383643E-3	914.30725E-6	38.525611E-3	1.5689484E-3	40.955089E-3	878.23416E-6	40.868595E-3	1.1282654E-3	40.993854E-3	1.0621544E-3	40.307891E-3	1.2639696E-3	40.952865E-3	797.30951E-6	38.376994E-3	2.0612732E-3	39.786443E-3	2.3650769E-3	39.080169E-3	1.1038140E-3	40.126156E-3	2.1260355E-3	40.461019E-3	1.0114908E-3	38.490973E-3	1.2646135E-3	35.191063E-3	951.71313E-6	38.568780E-3	2.0679340E-3	39.822079E-3	2.1015741E-3
