Experiment	Sweeper	
Saved Date	03.07.2023 12:19:17	
User		
Date		
Start time	03.07.2023 11:18:52	
Sweep channel: Name	Output 2 (V)	
Sweep channel: Start (V)	-200E-6	
Sweep channel: Stop (V)	1E-3	
Sweep channel: Points	601	
Sweep channel: Max slew rate (V/s)	Inf	
Sweep channel: Initial settling time (s)	20E+3	
Sweep channel: End settling time (s)	2E+0	
Sweep channel: Backward sweep	TRUE	
Sweep channel: Number of sweeps	10	
Sweep channel: Reset	FALSE	
Step channel 1: Name	Output 3 (V)	
Step channel 1: Start (V)	50E-3	
Step channel 1: Stop (V)	50E-3	
Step channel 1: Points	10	
Step channel 1: Max slew rate (V/s)	10E+0	
Step channel 1:  Initial settling time (s)	2E+0	
Step channel 1: End settling time (s)	2E+0	
Step channel 1: Backward sweep	FALSE	
Step channel 1: Reset	FALSE	
Sweep Type	2D-Both RT	
Acquire channels	Input 1 (V);LI Demod 3 X (V)	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Output 2 Setp. (V)	Input 1 [00001] (V)	LI Demod 3 X [00001] (V)	Input 1 [00002] (V)	LI Demod 3 X [00002] (V)	Input 1 [00003] (V)	LI Demod 3 X [00003] (V)	Input 1 [00004] (V)	LI Demod 3 X [00004] (V)	Input 1 [00005] (V)	LI Demod 3 X [00005] (V)	Input 1 [00006] (V)	LI Demod 3 X [00006] (V)	Input 1 [00007] (V)	LI Demod 3 X [00007] (V)	Input 1 [00008] (V)	LI Demod 3 X [00008] (V)	Input 1 [00009] (V)	LI Demod 3 X [00009] (V)	Input 1 [00010] (V)	LI Demod 3 X [00010] (V)	Input 1 [00001] [bwd] (V)	LI Demod 3 X [00001] [bwd] (V)	Input 1 [00002] [bwd] (V)	LI Demod 3 X [00002] [bwd] (V)	Input 1 [00003] [bwd] (V)	LI Demod 3 X [00003] [bwd] (V)	Input 1 [00004] [bwd] (V)	LI Demod 3 X [00004] [bwd] (V)	Input 1 [00005] [bwd] (V)	LI Demod 3 X [00005] [bwd] (V)	Input 1 [00006] [bwd] (V)	LI Demod 3 X [00006] [bwd] (V)	Input 1 [00007] [bwd] (V)	LI Demod 3 X [00007] [bwd] (V)	Input 1 [00008] [bwd] (V)	LI Demod 3 X [00008] [bwd] (V)	Input 1 [00009] [bwd] (V)	LI Demod 3 X [00009] [bwd] (V)	Input 1 [00010] [bwd] (V)	LI Demod 3 X [00010] [bwd] (V)
-199.99999E-6	41.121636E-3	891.20673E-6	41.264851E-3	833.58749E-6	41.234061E-3	853.36698E-6	40.846575E-3	801.68602E-6	41.036665E-3	731.62746E-6	41.388139E-3	795.54901E-6	41.454289E-3	797.32173E-6	41.143838E-3	772.73150E-6	42.176377E-3	801.13020E-6	40.780056E-3	736.10799E-6	41.148294E-3	904.71492E-6	41.375283E-3	764.12508E-6	40.912658E-3	899.98276E-6	40.954351E-3	803.50216E-6	41.700985E-3	890.78461E-6	41.355576E-3	898.01074E-6	41.606504E-3	768.18647E-6	41.921023E-3	752.10084E-6	41.116789E-3	860.06103E-6	41.348409E-3	877.15185E-6
-197.99999E-6	41.078154E-3	922.77332E-6	41.434914E-3	750.85793E-6	41.220918E-3	907.02489E-6	40.879473E-3	765.37707E-6	41.105621E-3	810.94162E-6	41.332241E-3	734.58662E-6	41.505877E-3	760.92110E-6	41.170783E-3	883.36389E-6	42.204507E-3	880.70228E-6	40.784433E-3	743.96015E-6	41.131888E-3	792.12658E-6	41.473992E-3	857.93104E-6	40.929854E-3	843.93407E-6	40.989399E-3	892.51390E-6	41.702263E-3	817.95920E-6	41.266110E-3	825.59831E-6	41.656960E-3	877.48858E-6	41.797470E-3	845.37064E-6	41.227669E-3	880.01054E-6	41.283932E-3	812.82930E-6
-195.99999E-6	41.129570E-3	817.86682E-6	41.614786E-3	824.92083E-6	41.318052E-3	840.17019E-6	40.881366E-3	821.88373E-6	41.245680E-3	897.04670E-6	41.270964E-3	816.10924E-6	41.605081E-3	814.35574E-6	41.109867E-3	870.30459E-6	42.124052E-3	890.11394E-6	40.837649E-3	852.83240E-6	41.126162E-3	783.97343E-6	41.559871E-3	885.46908E-6	40.979914E-3	761.37175E-6	40.968817E-3	875.98403E-6	41.566562E-3	773.99932E-6	41.215640E-3	748.91682E-6	41.700192E-3	881.34973E-6	41.725960E-3	890.26021E-6	41.323993E-3	805.13151E-6	41.171476E-3	771.41228E-6
-193.99999E-6	41.078206E-3	775.18885E-6	41.693684E-3	892.10132E-6	41.352853E-3	761.60417E-6	40.910408E-3	894.97492E-6	41.184466E-3	849.20594E-6	41.282121E-3	882.86755E-6	41.603241E-3	895.59570E-6	41.091420E-3	777.29608E-6	42.086735E-3	750.21875E-6	40.856697E-3	892.00021E-6	41.077111E-3	879.69535E-6	41.598983E-3	829.39130E-6	41.037615E-3	757.50239E-6	40.994585E-3	772.46933E-6	41.399073E-3	854.03415E-6	41.187208E-3	782.97488E-6	41.594371E-3	770.15185E-6	41.694921E-3	823.58805E-6	41.367114E-3	755.51221E-6	41.147985E-3	772.10821E-6
-191.99999E-6	41.072339E-3	853.41383E-6	41.648723E-3	841.27067E-6	41.348439E-3	791.61441E-6	40.945422E-3	890.49968E-6	41.228909E-3	748.81013E-6	41.261937E-3	842.82545E-6	41.612864E-3	877.43782E-6	41.055329E-3	749.11187E-6	41.976236E-3	752.91592E-6	40.954567E-3	795.67876E-6	40.968399E-3	905.05456E-6	41.620385E-3	789.38238E-6	41.098993E-3	867.96971E-6	40.993061E-3	756.30902E-6	41.281860E-3	882.08856E-6	41.168232E-3	849.96206E-6	41.426457E-3	763.87980E-6	41.696750E-3	754.48176E-6	41.445073E-3	804.44419E-6	41.096844E-3	842.09110E-6
-189.99999E-6	41.213281E-3	880.88610E-6	41.555811E-3	754.84073E-6	41.409306E-3	872.99146E-6	41.034672E-3	773.69262E-6	41.229691E-3	768.37325E-6	41.252404E-3	736.43518E-6	41.574020E-3	756.95285E-6	41.106168E-3	843.25112E-6	41.787427E-3	866.75427E-6	40.931463E-3	756.67264E-6	40.942878E-3	807.34346E-6	41.531082E-3	802.72689E-6	41.201960E-3	879.05192E-6	41.012399E-3	825.00692E-6	41.214582E-3	833.29645E-6	41.195437E-3	885.36041E-6	41.287284E-3	843.30217E-6	41.632969E-3	806.69264E-6	41.406170E-3	909.46874E-6	40.991753E-3	929.88421E-6
-187.99999E-6	41.412674E-3	840.90041E-6	41.396741E-3	788.14564E-6	41.351911E-3	853.84015E-6	41.050654E-3	742.05984E-6	41.200183E-3	862.69405E-6	41.212831E-3	791.06662E-6	41.448317E-3	758.58517E-6	41.087981E-3	892.18223E-6	41.776501E-3	881.74932E-6	41.005347E-3	819.91707E-6	40.957544E-3	745.88537E-6	41.399021E-3	880.14093E-6	41.303288E-3	803.09471E-6	41.019686E-3	880.81788E-6	41.243710E-3	763.55890E-6	41.159850E-3	827.45979E-6	41.198343E-3	897.49676E-6	41.600872E-3	904.93041E-6	41.371968E-3	885.53771E-6	41.005883E-3	879.30617E-6
-185.99999E-6	41.510120E-3	765.15361E-6	41.384283E-3	909.15797E-6	41.318625E-3	762.48031E-6	41.157179E-3	834.66573E-6	41.190699E-3	880.30356E-6	41.139070E-3	883.01074E-6	41.633207E-3	850.46748E-6	40.956344E-3	811.96014E-6	41.822076E-3	819.20350E-6	40.999934E-3	921.31569E-6	41.046333E-3	830.51354E-6	41.326363E-3	856.90786E-6	41.331753E-3	742.93668E-6	41.038785E-3	858.35886E-6	41.240543E-3	804.33814E-6	41.103601E-3	727.29791E-6	41.157659E-3	798.30526E-6	41.635368E-3	873.49338E-6	41.567121E-3	797.36399E-6	40.923875E-3	772.27433E-6
-183.99999E-6	41.506428E-3	798.07587E-6	41.382372E-3	846.06494E-6	41.183714E-3	759.90759E-6	41.160319E-3	902.03108E-6	41.166633E-3	800.57798E-6	41.048061E-3	859.07028E-6	41.548897E-3	904.37749E-6	40.807508E-3	754.02035E-6	41.786645E-3	748.72171E-6	41.147955E-3	873.53424E-6	41.160431E-3	867.82343E-6	41.216318E-3	764.29971E-6	41.337565E-3	791.76010E-6	41.075729E-3	772.19191E-6	41.162983E-3	889.58349E-6	41.101743E-3	809.38888E-6	41.136395E-3	737.65655E-6	41.631028E-3	764.28015E-6	41.394893E-3	777.72845E-6	40.930972E-3	758.81183E-6
-181.99999E-6	41.554652E-3	870.43154E-6	41.387249E-3	756.52055E-6	41.103661E-3	846.39131E-6	41.212872E-3	851.97564E-6	41.152325E-3	745.54974E-6	40.920731E-3	768.49834E-6	41.702993E-3	822.22279E-6	40.670250E-3	827.60386E-6	41.790530E-3	809.87206E-6	41.146923E-3	774.84449E-6	41.205842E-3	819.46742E-6	41.187305E-3	758.62178E-6	41.359011E-3	872.48976E-6	41.151065E-3	767.98006E-6	41.153781E-3	862.43608E-6	41.096553E-3	895.11892E-6	41.013833E-3	812.70724E-6	41.561704E-3	787.91496E-6	41.501906E-3	858.21573E-6	40.959820E-3	822.40946E-6
