Experiment	Sweeper	
Saved Date	03.07.2023 23:49:30	
User		
Date		
Start time	03.07.2023 22:49:05	
Sweep channel: Name	Output 2 (V)	
Sweep channel: Start (V)	-200E-6	
Sweep channel: Stop (V)	1E-3	
Sweep channel: Points	601	
Sweep channel: Max slew rate (V/s)	Inf	
Sweep channel: Initial settling time (s)	20E+3	
Sweep channel: End settling time (s)	2E+0	
Sweep channel: Backward sweep	TRUE	
Sweep channel: Number of sweeps	10	
Sweep channel: Reset	FALSE	
Step channel 1: Name	Output 3 (V)	
Step channel 1: Start (V)	50E-3	
Step channel 1: Stop (V)	50E-3	
Step channel 1: Points	10	
Step channel 1: Max slew rate (V/s)	10E+0	
Step channel 1:  Initial settling time (s)	2E+0	
Step channel 1: End settling time (s)	2E+0	
Step channel 1: Backward sweep	FALSE	
Step channel 1: Reset	FALSE	
Sweep Type	2D-Both RT	
Acquire channels	Input 1 (V);LI Demod 3 X (V)	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Output 2 Setp. (V)	Input 1 [00001] (V)	LI Demod 3 X [00001] (V)	Input 1 [00002] (V)	LI Demod 3 X [00002] (V)	Input 1 [00003] (V)	LI Demod 3 X [00003] (V)	Input 1 [00004] (V)	LI Demod 3 X [00004] (V)	Input 1 [00005] (V)	LI Demod 3 X [00005] (V)	Input 1 [00006] (V)	LI Demod 3 X [00006] (V)	Input 1 [00007] (V)	LI Demod 3 X [00007] (V)	Input 1 [00008] (V)	LI Demod 3 X [00008] (V)	Input 1 [00009] (V)	LI Demod 3 X [00009] (V)	Input 1 [00010] (V)	LI Demod 3 X [00010] (V)	Input 1 [00001] [bwd] (V)	LI Demod 3 X [00001] [bwd] (V)	Input 1 [00002] [bwd] (V)	LI Demod 3 X [00002] [bwd] (V)	Input 1 [00003] [bwd] (V)	LI Demod 3 X [00003] [bwd] (V)	Input 1 [00004] [bwd] (V)	LI Demod 3 X [00004] [bwd] (V)	Input 1 [00005] [bwd] (V)	LI Demod 3 X [00005] [bwd] (V)	Input 1 [00006] [bwd] (V)	LI Demod 3 X [00006] [bwd] (V)	Input 1 [00007] [bwd] (V)	LI Demod 3 X [00007] [bwd] (V)	Input 1 [00008] [bwd] (V)	LI Demod 3 X [00008] [bwd] (V)	Input 1 [00009] [bwd] (V)	LI Demod 3 X [00009] [bwd] (V)	Input 1 [00010] [bwd] (V)	LI Demod 3 X [00010] [bwd] (V)
-199.99999E-6	40.355422E-3	1.0247439E-3	40.257353E-3	1.0047511E-3	40.408403E-3	918.05385E-6	40.840205E-3	1.0059571E-3	40.993966E-3	1.0442393E-3	40.214248E-3	950.61265E-6	40.528413E-3	917.15442E-6	40.536620E-3	973.22138E-6	41.028071E-3	978.60198E-6	40.566366E-3	883.69980E-6	40.189210E-3	1.0308615E-3	40.728655E-3	946.91833E-6	40.560048E-3	956.82917E-6	40.729910E-3	1.0397460E-3	40.360272E-3	897.71854E-6	40.582426E-3	930.61681E-6	40.498730E-3	917.54080E-6	40.946402E-3	955.51461E-6	40.869847E-3	919.96166E-6	40.432531E-3	1.0118796E-3
-197.99999E-6	40.306702E-3	1.0390915E-3	40.354196E-3	1.0319637E-3	40.424775E-3	935.72837E-6	40.851340E-3	1.0375954E-3	41.322995E-3	1.0005201E-3	40.221818E-3	1.0124982E-3	40.497340E-3	1.0214971E-3	40.523205E-3	1.0221808E-3	41.075133E-3	1.0216717E-3	40.635269E-3	869.79696E-6	40.179525E-3	952.10550E-6	40.715132E-3	1.0113110E-3	40.556245E-3	911.39146E-6	40.704861E-3	996.98117E-6	40.363818E-3	940.04557E-6	40.632516E-3	1.0152278E-3	40.472612E-3	914.89445E-6	40.978484E-3	897.67139E-6	40.874477E-3	926.34110E-6	40.518831E-3	1.0284715E-3
-195.99999E-6	40.199228E-3	1.0004847E-3	40.445812E-3	1.0195265E-3	40.400393E-3	1.0125245E-3	40.876705E-3	961.88177E-6	41.292641E-3	904.00514E-6	40.296417E-3	1.0197727E-3	40.454593E-3	1.0320431E-3	40.584482E-3	980.79897E-6	41.224565E-3	991.26890E-6	40.767375E-3	929.63659E-6	40.177580E-3	921.57559E-6	40.735252E-3	1.0429925E-3	40.588319E-3	924.54004E-6	40.705305E-3	950.34379E-6	40.368181E-3	1.0189540E-3	40.598653E-3	1.0343273E-3	40.432982E-3	942.70002E-6	40.951263E-3	892.23980E-6	40.824246E-3	988.29996E-6	40.494017E-3	1.0102561E-3
-193.99999E-6	40.045157E-3	922.99393E-6	40.524133E-3	944.86558E-6	40.328480E-3	1.0364179E-3	40.903285E-3	914.40638E-6	41.155066E-3	926.22533E-6	40.311966E-3	948.21915E-6	40.429190E-3	973.64647E-6	40.518455E-3	879.96764E-6	41.318446E-3	925.59791E-6	40.833190E-3	1.0121188E-3	40.259380E-3	935.97203E-6	40.706657E-3	990.80848E-6	40.639549E-3	989.27040E-6	40.603198E-3	937.45801E-6	40.407486E-3	1.0333505E-3	40.608432E-3	948.89174E-6	40.470228E-3	1.0040611E-3	40.965766E-3	947.41769E-6	40.795214E-3	1.0150768E-3	40.464375E-3	946.00092E-6
-191.99999E-6	39.944295E-3	921.29345E-6	40.472243E-3	916.30372E-6	40.301811E-3	985.54231E-6	40.959496E-3	928.08966E-6	41.014701E-3	934.87097E-6	40.310785E-3	893.49010E-6	40.398136E-3	904.71987E-6	40.578723E-3	871.08515E-6	41.310705E-3	885.14661E-6	40.864561E-3	1.0088863E-3	40.209960E-3	990.18042E-6	40.804323E-3	909.76775E-6	40.562529E-3	1.0262806E-3	40.460106E-3	979.99128E-6	40.408354E-3	993.65751E-6	40.646620E-3	903.84734E-6	40.661242E-3	1.0048362E-3	40.890653E-3	997.49642E-6	40.953688E-3	937.82105E-6	40.390458E-3	897.88204E-6
-189.99999E-6	40.223617E-3	897.33495E-6	40.810976E-3	842.73779E-6	40.609118E-3	840.08632E-6	41.220143E-3	926.10752E-6	41.194081E-3	920.92832E-6	40.533718E-3	865.60263E-6	40.649183E-3	882.42051E-6	40.828373E-3	906.87425E-6	41.300323E-3	889.24647E-6	41.156627E-3	877.89982E-6	40.567342E-3	948.20553E-6	41.133370E-3	817.74086E-6	40.900502E-3	896.71387E-6	40.728394E-3	904.10380E-6	40.857878E-3	818.25716E-6	40.957257E-3	892.63479E-6	40.956058E-3	851.20444E-6	41.011572E-3	942.35776E-6	41.411735E-3	845.09782E-6	40.645421E-3	860.40288E-6
-187.99999E-6	40.263884E-3	965.64647E-6	40.884867E-3	894.31874E-6	40.566009E-3	846.44748E-6	41.224048E-3	944.34264E-6	41.121338E-3	959.43373E-6	40.549863E-3	925.78382E-6	40.607169E-3	957.08494E-6	40.801637E-3	952.10626E-6	41.103680E-3	911.62149E-6	41.171145E-3	845.12774E-6	40.627044E-3	929.68083E-6	41.135553E-3	875.23798E-6	40.886823E-3	830.47157E-6	40.621717E-3	943.33623E-6	40.801086E-3	841.29779E-6	40.994100E-3	949.33494E-6	40.967476E-3	811.04127E-6	40.879026E-3	871.25425E-6	41.626446E-3	799.91017E-6	40.520042E-3	925.05477E-6
-185.99999E-6	40.256497E-3	962.06728E-6	40.968832E-3	926.14425E-6	40.575825E-3	915.43567E-6	41.253489E-3	876.54887E-6	41.101407E-3	923.71745E-6	40.528309E-3	955.56682E-6	40.587515E-3	922.09701E-6	40.823821E-3	919.88454E-6	40.975641E-3	941.66509E-6	41.213155E-3	810.42846E-6	40.732369E-3	871.46665E-6	41.064397E-3	944.95661E-6	40.901743E-3	810.66630E-6	40.542696E-3	938.39638E-6	40.813278E-3	925.73330E-6	41.031037E-3	933.33115E-6	40.944405E-3	851.81830E-6	40.752966E-3	848.17724E-6	41.624166E-3	850.65549E-6	40.421899E-3	963.62509E-6
-183.99999E-6	40.333930E-3	910.44715E-6	40.947571E-3	949.26800E-6	40.561706E-3	944.56028E-6	41.253440E-3	818.49279E-6	41.089829E-3	859.97040E-6	40.524084E-3	856.70233E-6	40.486045E-3	834.15798E-6	40.820032E-3	858.00537E-6	40.862866E-3	905.04292E-6	41.242044E-3	867.11120E-6	40.922429E-3	822.85143E-6	41.026201E-3	928.43070E-6	40.794577E-3	897.11393E-6	40.643610E-3	867.02511E-6	40.828999E-3	949.37423E-6	41.077126E-3	855.44330E-6	40.886190E-3	935.91714E-6	40.747777E-3	829.62710E-6	41.524865E-3	892.34335E-6	40.425640E-3	909.50151E-6
-181.99999E-6	40.425580E-3	847.56088E-6	41.100960E-3	885.83061E-6	40.629040E-3	929.82833E-6	41.245062E-3	825.88947E-6	41.143462E-3	841.93813E-6	40.484648E-3	819.55647E-6	40.426835E-3	844.49234E-6	40.774304E-3	826.52038E-6	40.812086E-3	855.27869E-6	41.358665E-3	894.89570E-6	41.045714E-3	824.58928E-6	40.970318E-3	851.91353E-6	40.824696E-3	945.57926E-6	40.741399E-3	823.04841E-6	40.805325E-3	916.23637E-6	41.172743E-3	854.38613E-6	40.870897E-3	938.70948E-6	40.824987E-3	879.97416E-6	41.385919E-3	918.68086E-6	40.431857E-3	848.82241E-6
