Experiment	Sweeper	
Saved Date	30.06.2023 20:11:28	
User		
Date		
Start time	30.06.2023 19:59:23	
Sweep channel: Name	Output 2 (V)	
Sweep channel: Start (V)	-100E-6	
Sweep channel: Stop (V)	1E-3	
Sweep channel: Points	601	
Sweep channel: Max slew rate (V/s)	Inf	
Sweep channel: Initial settling time (s)	20E+3	
Sweep channel: End settling time (s)	2E+0	
Sweep channel: Backward sweep	TRUE	
Sweep channel: Number of sweeps	2	
Sweep channel: Reset	FALSE	
Step channel 1: Name	Output 3 (V)	
Step channel 1: Start (V)	50E-3	
Step channel 1: Stop (V)	50E-3	
Step channel 1: Points	2	
Step channel 1: Max slew rate (V/s)	10E+0	
Step channel 1:  Initial settling time (s)	2E+0	
Step channel 1: End settling time (s)	2E+0	
Step channel 1: Backward sweep	FALSE	
Step channel 1: Reset	FALSE	
Sweep Type	2D-Both RT	
Acquire channels	Input 1 (V);LI Demod 3 X (V)	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Output 2 Setp. (V)	Input 1 [00001] (V)	LI Demod 3 X [00001] (V)	Input 1 [00002] (V)	LI Demod 3 X [00002] (V)	Input 1 [00001] [bwd] (V)	LI Demod 3 X [00001] [bwd] (V)	Input 1 [00002] [bwd] (V)	LI Demod 3 X [00002] [bwd] (V)
-99.999997E-6	30.915415E-3	-353.50521E-9	30.235106E-3	55.914501E-6	31.268712E-3	423.18148E-6	32.074440E-3	731.30982E-6
-98.166667E-6	30.929247E-3	-68.826121E-6	30.978667E-3	649.59400E-6	30.834330E-3	397.53455E-6	31.207848E-3	74.571923E-6
-96.333330E-6	31.858627E-3	-18.459006E-6	30.164480E-3	-72.639406E-6	30.246854E-3	-32.369349E-6	31.088922E-3	28.239483E-6
-94.499999E-6	30.999763E-3	77.797515E-6	30.145170E-3	-40.302017E-6	30.240055E-3	41.891326E-6	30.985432E-3	-77.687706E-6
-92.666662E-6	31.149667E-3	20.590825E-6	30.087434E-3	54.919659E-6	30.223865E-3	62.156301E-6	30.909913E-3	-55.253950E-6
-90.833331E-6	31.271700E-3	-67.801666E-6	29.966509E-3	57.631813E-6	30.233461E-3	-21.605045E-6	30.934472E-3	41.111092E-6
-88.999994E-6	31.377628E-3	-47.093374E-6	29.805383E-3	-11.698893E-6	30.232767E-3	-76.449491E-6	31.058945E-3	58.635480E-6
-87.166663E-6	31.398743E-3	37.829210E-6	29.742165E-3	-66.321147E-6	30.297613E-3	-4.9418431E-6	31.212974E-3	-74.226518E-6
-85.333333E-6	31.291477E-3	54.151507E-6	29.721724E-3	-21.192936E-6	30.099129E-3	55.731598E-6	31.236753E-3	-56.235429E-6
-83.499996E-6	31.169666E-3	-42.826930E-6	29.664099E-3	72.658375E-6	30.089241E-3	46.937974E-6	31.341124E-3	28.114278E-6
-81.666665E-6	31.111049E-3	-81.098020E-6	29.620208E-3	55.907611E-6	30.127455E-3	-49.096423E-6	31.374853E-3	74.348325E-6
-79.833335E-6	31.837132E-3	35.130677E-6	29.623244E-3	-46.288187E-6	30.138822E-3	-56.629029E-6	31.381153E-3	-14.290056E-6
-77.999997E-6	30.986482E-3	75.560536E-6	29.621573E-3	-63.860956E-6	30.106325E-3	9.2793653E-6	31.395197E-3	-93.465409E-6
-76.166667E-6	31.023523E-3	-9.0333788E-6	29.633116E-3	2.2060653E-6	30.174658E-3	50.833311E-6	31.407937E-3	7.3285878E-6
-74.333329E-6	30.988326E-3	-67.955298E-6	29.671282E-3	71.273149E-6	30.262353E-3	21.959093E-6	31.394832E-3	71.669150E-6
-72.499999E-6	31.001993E-3	8.5221309E-6	29.744336E-3	23.385017E-6	30.349284E-3	-63.488806E-6	31.458784E-3	29.384653E-6
-70.666661E-6	31.002797E-3	59.683120E-6	29.784817E-3	-78.599922E-6	30.397404E-3	-74.091266E-6	31.551134E-3	-60.040893E-6
-68.833331E-6	30.962802E-3	3.5205778E-6	29.856937E-3	-47.176887E-6	30.447068E-3	39.687249E-6	31.635277E-3	-50.137296E-6
-67.000001E-6	30.868823E-3	-84.643398E-6	29.902244E-3	61.956445E-6	30.548021E-3	59.155966E-6	31.697955E-3	55.326120E-6
-65.166663E-6	30.736445E-3	-41.805160E-6	29.961688E-3	53.938729E-6	30.580714E-3	-12.170737E-6	31.717546E-3	56.600831E-6
-63.333333E-6	30.638725E-3	64.928106E-6	29.967815E-3	-26.294847E-6	30.625330E-3	-68.074507E-6	31.615164E-3	-70.794507E-6
-61.500003E-6	30.517861E-3	62.307270E-6	29.954035E-3	-61.437451E-6	30.630693E-3	-31.463296E-6	31.492483E-3	-88.491928E-6
-59.666665E-6	30.541370E-3	-59.499707E-6	29.951617E-3	-36.746744E-6	30.604668E-3	39.980932E-6	31.347726E-3	16.923848E-6
-57.833331E-6	30.579224E-3	-86.071494E-6	30.028271E-3	61.267987E-6	30.626485E-3	52.495634E-6	31.283919E-3	61.564868E-6
-55.999997E-6	30.703580E-3	11.696687E-6	29.982904E-3	66.142100E-6	30.572265E-3	-50.112896E-6	31.246983E-3	-978.50818E-9
-54.166667E-6	30.762136E-3	73.203213E-6	29.995594E-3	-51.917134E-6	30.516591E-3	-93.794239E-6	31.224275E-3	-89.688896E-6
-52.333333E-6	30.835977E-3	-281.55972E-9	30.003689E-3	-65.366738E-6	30.416626E-3	-32.831507E-6	31.253368E-3	22.508682E-6
