Experiment	Sweeper	
Saved Date	02.07.2023 03:40:22	
User		
Date		
Start time	02.07.2023 01:39:31	
Sweep channel: Name	Output 2 (V)	
Sweep channel: Start (V)	-200E-6	
Sweep channel: Stop (V)	1E-3	
Sweep channel: Points	601	
Sweep channel: Max slew rate (V/s)	Inf	
Sweep channel: Initial settling time (s)	20E+3	
Sweep channel: End settling time (s)	2E+0	
Sweep channel: Backward sweep	TRUE	
Sweep channel: Number of sweeps	20	
Sweep channel: Reset	FALSE	
Step channel 1: Name	Output 3 (V)	
Step channel 1: Start (V)	50E-3	
Step channel 1: Stop (V)	50E-3	
Step channel 1: Points	20	
Step channel 1: Max slew rate (V/s)	10E+0	
Step channel 1:  Initial settling time (s)	2E+0	
Step channel 1: End settling time (s)	2E+0	
Step channel 1: Backward sweep	FALSE	
Step channel 1: Reset	FALSE	
Sweep Type	2D-Both RT	
Acquire channels	Input 1 (V);LI Demod 3 X (V)	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Output 2 Setp. (V)	Input 1 [00001] (V)	LI Demod 3 X [00001] (V)	Input 1 [00002] (V)	LI Demod 3 X [00002] (V)	Input 1 [00003] (V)	LI Demod 3 X [00003] (V)	Input 1 [00004] (V)	LI Demod 3 X [00004] (V)	Input 1 [00005] (V)	LI Demod 3 X [00005] (V)	Input 1 [00006] (V)	LI Demod 3 X [00006] (V)	Input 1 [00007] (V)	LI Demod 3 X [00007] (V)	Input 1 [00008] (V)	LI Demod 3 X [00008] (V)	Input 1 [00009] (V)	LI Demod 3 X [00009] (V)	Input 1 [00010] (V)	LI Demod 3 X [00010] (V)	Input 1 [00011] (V)	LI Demod 3 X [00011] (V)	Input 1 [00012] (V)	LI Demod 3 X [00012] (V)	Input 1 [00013] (V)	LI Demod 3 X [00013] (V)	Input 1 [00014] (V)	LI Demod 3 X [00014] (V)	Input 1 [00015] (V)	LI Demod 3 X [00015] (V)	Input 1 [00016] (V)	LI Demod 3 X [00016] (V)	Input 1 [00017] (V)	LI Demod 3 X [00017] (V)	Input 1 [00018] (V)	LI Demod 3 X [00018] (V)	Input 1 [00019] (V)	LI Demod 3 X [00019] (V)	Input 1 [00020] (V)	LI Demod 3 X [00020] (V)	Input 1 [00001] [bwd] (V)	LI Demod 3 X [00001] [bwd] (V)	Input 1 [00002] [bwd] (V)	LI Demod 3 X [00002] [bwd] (V)	Input 1 [00003] [bwd] (V)	LI Demod 3 X [00003] [bwd] (V)	Input 1 [00004] [bwd] (V)	LI Demod 3 X [00004] [bwd] (V)	Input 1 [00005] [bwd] (V)	LI Demod 3 X [00005] [bwd] (V)	Input 1 [00006] [bwd] (V)	LI Demod 3 X [00006] [bwd] (V)	Input 1 [00007] [bwd] (V)	LI Demod 3 X [00007] [bwd] (V)	Input 1 [00008] [bwd] (V)	LI Demod 3 X [00008] [bwd] (V)	Input 1 [00009] [bwd] (V)	LI Demod 3 X [00009] [bwd] (V)	Input 1 [00010] [bwd] (V)	LI Demod 3 X [00010] [bwd] (V)	Input 1 [00011] [bwd] (V)	LI Demod 3 X [00011] [bwd] (V)	Input 1 [00012] [bwd] (V)	LI Demod 3 X [00012] [bwd] (V)	Input 1 [00013] [bwd] (V)	LI Demod 3 X [00013] [bwd] (V)	Input 1 [00014] [bwd] (V)	LI Demod 3 X [00014] [bwd] (V)	Input 1 [00015] [bwd] (V)	LI Demod 3 X [00015] [bwd] (V)	Input 1 [00016] [bwd] (V)	LI Demod 3 X [00016] [bwd] (V)	Input 1 [00017] [bwd] (V)	LI Demod 3 X [00017] [bwd] (V)	Input 1 [00018] [bwd] (V)	LI Demod 3 X [00018] [bwd] (V)	Input 1 [00019] [bwd] (V)	LI Demod 3 X [00019] [bwd] (V)	Input 1 [00020] [bwd] (V)	LI Demod 3 X [00020] [bwd] (V)
-199.99999E-6	41.238468E-3	839.94225E-6	40.859666E-3	772.29040E-6	41.046631E-3	806.17447E-6	40.591132E-3	828.60549E-6	41.106272E-3	850.91247E-6	40.275067E-3	803.23697E-6	40.632427E-3	741.06664E-6	40.649384E-3	813.44054E-6	40.231217E-3	863.69499E-6	41.215420E-3	895.59902E-6	40.769398E-3	842.94198E-6	41.296896E-3	793.87956E-6	41.244868E-3	776.58106E-6	40.917039E-3	807.63682E-6	40.777273E-3	859.67494E-6	40.746134E-3	783.00992E-6	40.777795E-3	875.00043E-6	40.770672E-3	792.60638E-6	40.713020E-3	766.35793E-6	40.476628E-3	836.71790E-6	40.795263E-3	760.50835E-6	40.963318E-3	852.40387E-6	40.736392E-3	895.68499E-6	41.053813E-3	886.59924E-6	40.302914E-3	732.67240E-6	40.656053E-3	823.18182E-6	40.656645E-3	735.96754E-6	40.108424E-3	865.32062E-6	41.127469E-3	881.50433E-6	40.785782E-3	806.06795E-6	41.074578E-3	840.94197E-6	41.415799E-3	845.67966E-6	40.612448E-3	741.32584E-6	40.603291E-3	856.19802E-6	40.825740E-3	871.55442E-6	40.817413E-3	869.19544E-6	40.934768E-3	873.52609E-6	40.844720E-3	799.29846E-6	40.521864E-3	885.59696E-6	40.323243E-3	782.67633E-6
-197.99999E-6	41.224297E-3	783.06434E-6	40.816534E-3	895.85938E-6	40.902685E-3	934.14594E-6	40.540062E-3	752.40078E-6	41.041221E-3	777.48980E-6	40.283266E-3	882.74054E-6	40.648118E-3	824.07094E-6	40.657230E-3	885.33299E-6	40.321175E-3	795.58685E-6	41.255463E-3	822.01621E-6	40.784642E-3	901.28492E-6	41.224632E-3	736.75334E-6	41.307103E-3	737.95801E-6	40.939480E-3	866.98018E-6	40.771186E-3	756.59429E-6	40.711511E-3	745.75259E-6	40.794197E-3	787.23906E-6	40.767286E-3	765.05571E-6	40.688697E-3	802.81461E-6	40.465254E-3	770.87461E-6	40.842973E-3	828.42109E-6	40.731050E-3	920.91766E-6	40.806927E-3	828.05776E-6	41.046292E-3	822.44555E-6	40.249240E-3	804.18860E-6	40.701538E-3	877.91082E-6	40.716879E-3	825.56438E-6	40.224213E-3	865.20665E-6	41.127939E-3	829.32791E-6	40.862147E-3	756.67439E-6	41.007020E-3	875.40428E-6	41.442677E-3	885.48817E-6	40.572166E-3	787.30111E-6	40.612642E-3	768.99730E-6	40.804613E-3	875.80574E-6	40.745627E-3	790.60101E-6	40.916342E-3	880.80525E-6	40.880516E-3	879.32940E-6	40.557768E-3	828.84071E-6	40.256288E-3	735.25583E-6
-195.99999E-6	41.230779E-3	790.33960E-6	40.814437E-3	868.31191E-6	40.829349E-3	884.24794E-6	40.520035E-3	777.04265E-6	41.054636E-3	752.14630E-6	40.317874E-3	878.42782E-6	40.595442E-3	893.21577E-6	40.637970E-3	849.72393E-6	40.357951E-3	745.22477E-6	41.329414E-3	765.41479E-6	40.828563E-3	851.01748E-6	41.180454E-3	774.18541E-6	41.230187E-3	810.70891E-6	40.974580E-3	879.17189E-6	40.837046E-3	767.51644E-6	40.722694E-3	859.78699E-6	40.784273E-3	748.85238E-6	40.744722E-3	807.92076E-6	40.663820E-3	878.44831E-6	40.395685E-3	782.61836E-6	41.010212E-3	887.64122E-6	40.668447E-3	879.64634E-6	40.892161E-3	749.88883E-6	41.012149E-3	754.76384E-6	40.286016E-3	889.38064E-6	40.725686E-3	847.10639E-6	40.725585E-3	904.08587E-6	40.292408E-3	800.62024E-6	41.091796E-3	783.49240E-6	40.942024E-3	798.62186E-6	41.014418E-3	828.68256E-6	41.451804E-3	850.62912E-6	40.590886E-3	863.36496E-6	40.600628E-3	757.78412E-6	40.842805E-3	823.71337E-6	40.694874E-3	781.80624E-6	40.884286E-3	831.63840E-6	40.837396E-3	866.96300E-6	40.573582E-3	754.67495E-6	40.158682E-3	819.80333E-6
-193.99999E-6	41.160651E-3	859.12313E-6	40.818583E-3	785.65034E-6	40.873066E-3	816.02018E-6	40.531214E-3	867.04333E-6	41.052040E-3	856.56374E-6	40.408421E-3	809.67258E-6	40.478960E-3	831.40307E-6	40.647104E-3	768.28786E-6	40.386818E-3	756.58329E-6	41.372038E-3	756.27404E-6	40.798139E-3	787.68207E-6	41.094232E-3	840.42223E-6	41.207615E-3	875.28443E-6	40.975403E-3	794.86798E-6	40.656958E-3	890.68635E-6	40.757798E-3	872.62469E-6	40.827703E-3	807.01598E-6	40.751521E-3	872.59145E-6	40.684342E-3	894.08795E-6	40.307701E-3	861.01430E-6	40.993050E-3	833.82428E-6	40.645842E-3	802.39447E-6	40.895518E-3	777.74416E-6	40.988419E-3	768.39165E-6	40.258683E-3	897.93053E-6	40.867407E-3	749.06583E-6	40.789146E-3	844.21528E-6	40.400334E-3	753.96919E-6	41.061074E-3	760.35765E-6	40.970542E-3	860.73804E-6	40.913075E-3	750.10693E-6	41.456856E-3	759.05991E-6	40.580750E-3	870.44341E-6	40.614758E-3	859.34019E-6	40.902052E-3	777.10382E-6	40.707771E-3	825.00069E-6	40.947512E-3	744.85794E-6	40.859792E-3	817.70273E-6	40.595926E-3	801.80570E-6	40.101331E-3	895.26613E-6
-191.99999E-6	41.123677E-3	888.78657E-6	40.839113E-3	736.64455E-6	40.771667E-3	829.35300E-6	40.670853E-3	894.17677E-6	41.049946E-3	890.31796E-6	40.467989E-3	735.09541E-6	40.463299E-3	765.32783E-6	40.670026E-3	755.29783E-6	40.412541E-3	859.02645E-6	41.441061E-3	818.32142E-6	40.830556E-3	773.05868E-6	41.058477E-3	875.09933E-6	41.232284E-3	886.29010E-6	40.964454E-3	741.72375E-6	40.550247E-3	862.86030E-6	40.736567E-3	858.71737E-6	40.820092E-3	885.98399E-6	40.751435E-3	890.02145E-6	40.636443E-3	823.75389E-6	40.278118E-3	902.42497E-6	41.003820E-3	772.71607E-6	40.656969E-3	815.39416E-6	40.886287E-3	847.21862E-6	40.998776E-3	873.40997E-6	40.269502E-3	785.77420E-6	40.885027E-3	764.07660E-6	40.905476E-3	752.53664E-6	40.410884E-3	784.40114E-6	41.048944E-3	836.98775E-6	41.043274E-3	888.03674E-6	40.905133E-3	769.42536E-6	41.515928E-3	749.45588E-6	40.514730E-3	836.71603E-6	40.662892E-3	910.77341E-6	40.901702E-3	789.92895E-6	40.670227E-3	901.88970E-6	40.978041E-3	763.69196E-6	40.881824E-3	747.63090E-6	40.670000E-3	874.83547E-6	40.125255E-3	862.78765E-6
-189.99999E-6	41.025035E-3	800.28409E-6	40.794879E-3	820.04291E-6	40.911943E-3	852.69113E-6	40.686637E-3	793.11512E-6	41.008577E-3	833.71141E-6	40.546581E-3	822.13338E-6	40.490162E-3	782.50043E-6	40.773336E-3	825.00826E-6	40.465411E-3	894.05396E-6	41.412044E-3	893.59336E-6	40.804897E-3	793.56966E-6	41.025080E-3	848.88149E-6	41.202255E-3	798.73379E-6	41.020717E-3	778.13462E-6	40.444981E-3	802.38946E-6	40.728368E-3	754.02332E-6	40.745523E-3	876.52670E-6	40.779930E-3	803.11240E-6	40.632043E-3	741.15355E-6	40.268462E-3	829.48559E-6	40.942270E-3	796.73034E-6	40.815763E-3	864.87603E-6	40.922977E-3	889.45858E-6	40.964074E-3	886.73620E-6	40.274195E-3	756.62322E-6	40.918108E-3	874.46847E-6	40.912047E-3	764.82777E-6	40.349621E-3	853.79859E-6	41.013476E-3	895.83168E-6	41.074101E-3	835.39000E-6	40.897183E-3	821.15090E-6	41.479263E-3	842.20170E-6	40.503185E-3	748.54586E-6	40.733702E-3	799.63857E-6	40.918957E-3	869.01040E-6	40.652689E-3	869.65406E-6	40.967360E-3	833.30768E-6	40.842492E-3	784.44049E-6	40.688947E-3	890.49159E-6	40.012736E-3	784.11389E-6
-187.99999E-6	41.010011E-3	743.83686E-6	40.749665E-3	892.43689E-6	40.891454E-3	894.58097E-6	40.744249E-3	755.91210E-6	41.042425E-3	772.09302E-6	40.550552E-3	903.36340E-6	40.510461E-3	861.20336E-6	40.753029E-3	908.33474E-6	40.464200E-3	880.53971E-6	41.455790E-3	908.46617E-6	40.738635E-3	892.92345E-6	40.972933E-3	791.00975E-6	41.194458E-3	749.81485E-6	41.045222E-3	873.22842E-6	40.516384E-3	739.85086E-6	40.735777E-3	755.03555E-6	40.770143E-3	795.11391E-6	40.747195E-3	753.66709E-6	40.599093E-3	771.50727E-6	40.179506E-3	762.78014E-6	40.814109E-3	878.40989E-6	40.789608E-3	885.14650E-6	40.948641E-3	791.46348E-6	40.987838E-3	817.07281E-6	40.252320E-3	811.78686E-6	40.949676E-3	893.21780E-6	40.939834E-3	862.50348E-6	40.355518E-3	886.29784E-6	40.813569E-3	896.94740E-6	41.132491E-3	777.27961E-6	40.878516E-3	899.50953E-6	41.531831E-3	887.84070E-6	40.446825E-3	749.14878E-6	40.912919E-3	746.06459E-6	40.910561E-3	890.74572E-6	40.662806E-3	805.13791E-6	41.005421E-3	904.60997E-6	40.839255E-3	868.30131E-6	40.722560E-3	800.50074E-6	39.943237E-3	773.47120E-6
-185.99999E-6	40.950403E-3	801.49638E-6	40.664662E-3	865.31194E-6	40.850673E-3	801.98143E-6	40.774938E-3	794.04551E-6	41.046429E-3	773.88465E-6	40.543538E-3	868.96174E-6	40.398072E-3	870.99260E-6	40.754396E-3	826.17998E-6	40.480744E-3	812.79752E-6	41.412994E-3	813.06230E-6	40.746659E-3	906.71540E-6	40.796686E-3	750.54896E-6	41.258845E-3	811.96707E-6	41.126970E-3	899.47798E-6	40.567476E-3	820.99315E-6	40.643461E-3	831.35301E-6	40.806618E-3	755.33084E-6	40.700175E-3	784.61209E-6	40.576838E-3	863.52415E-6	40.200923E-3	789.37033E-6	40.815227E-3	892.02932E-6	40.827397E-3	794.74336E-6	40.913917E-3	749.95635E-6	41.031364E-3	760.67098E-6	40.206689E-3	899.86611E-6	40.955115E-3	807.93386E-6	40.970057E-3	908.41216E-6	40.302802E-3	878.18434E-6	40.781651E-3	805.32866E-6	41.220568E-3	771.21239E-6	40.899184E-3	874.01428E-6	41.495953E-3	858.19390E-6	40.469736E-3	837.58734E-6	41.024920E-3	806.02261E-6	40.872306E-3	807.12669E-6	40.662829E-3	762.38153E-6	41.008584E-3	831.17484E-6	40.824812E-3	863.15244E-6	40.734310E-3	730.19206E-6	40.040486E-3	831.68520E-6
-183.99999E-6	40.863007E-3	885.08672E-6	40.633515E-3	767.83140E-6	40.815990E-3	750.87440E-6	40.620629E-3	881.54420E-6	41.106477E-3	843.00659E-6	40.590640E-3	783.36708E-6	40.612277E-3	791.76488E-6	40.731572E-3	757.16845E-6	40.505581E-3	750.78174E-6	41.203283E-3	749.88481E-6	40.704656E-3	812.90444E-6	40.732320E-3	795.48615E-6	41.251238E-3	872.04669E-6	41.053008E-3	819.41811E-6	40.558320E-3	894.74733E-6	40.622175E-3	887.30437E-6	40.854283E-3	801.64976E-6	40.714644E-3	853.69573E-6	40.580641E-3	895.60047E-6	40.209271E-3	866.43617E-6	40.886749E-3	790.92896E-6	40.816844E-3	759.61964E-6	40.951386E-3	783.83059E-6	41.017193E-3	785.40854E-6	40.172681E-3	878.14679E-6	40.931191E-3	746.46366E-6	40.943261E-3	802.05995E-6	40.323857E-3	820.97820E-6	40.668398E-3	775.43262E-6	41.255251E-3	821.34968E-6	40.895291E-3	805.62022E-6	41.385464E-3	778.03014E-6	40.448576E-3	895.06141E-6	40.998615E-3	892.75884E-6	40.893957E-3	754.00504E-6	40.670913E-3	822.95475E-6	40.955901E-3	752.77063E-6	40.853634E-3	788.85735E-6	40.752482E-3	797.76818E-6	40.002998E-3	888.68313E-6
-181.99999E-6	40.846445E-3	846.35417E-6	40.595431E-3	746.44748E-6	40.751752E-3	819.88308E-6	40.616840E-3	878.73102E-6	41.064661E-3	904.17685E-6	40.600020E-3	749.17794E-6	40.555071E-3	762.52280E-6	40.739048E-3	778.29673E-6	40.493917E-3	756.06559E-6	41.065089E-3	782.54641E-6	40.630203E-3	744.49781E-6	40.723316E-3	883.19642E-6	41.140269E-3	889.84647E-6	41.055847E-3	766.97906E-6	40.598821E-3	825.96758E-6	40.601805E-3	849.39238E-6	40.885657E-3	901.87986E-6	40.698238E-3	875.49619E-6	40.524539E-3	820.95253E-6	40.205985E-3	887.36281E-6	40.927146E-3	752.12092E-6	40.725037E-3	843.11067E-6	40.926866E-3	894.27887E-6	41.047040E-3	873.62732E-6	40.148586E-3	763.71513E-6	40.888682E-3	809.36198E-6	40.831972E-3	748.37130E-6	40.403258E-3	735.20991E-6	40.606890E-3	786.10994E-6	41.298501E-3	891.83421E-6	40.824566E-3	743.62371E-6	41.362327E-3	773.12358E-6	40.446982E-3	878.09382E-6	40.861323E-3	834.32940E-6	40.872212E-3	801.85756E-6	40.689223E-3	872.57591E-6	40.939242E-3	776.94899E-6	40.899381E-3	722.18728E-6	40.710501E-3	901.78137E-6	39.953236E-3	834.30158E-6
