Experiment	Sweeper	
Saved Date	30.06.2023 14:07:13	
User		
Date		
Start time	30.06.2023 14:06:12	
Sweep channel: Name	Output 3 (V)	
Sweep channel: Start (V)	-150E-3	
Sweep channel: Stop (V)	150E-3	
Sweep channel: Points	501	
Sweep channel: Max slew rate (V/s)	Inf	
Sweep channel: Initial settling time (s)	20E+3	
Sweep channel: End settling time (s)	2E+0	
Sweep channel: Backward sweep	TRUE	
Sweep channel: Number of sweeps	2	
Sweep channel: Reset	FALSE	
Step channel 1: Name	Output 2 (V)	
Step channel 1: Start (V)	90E-6	
Step channel 1: Stop (V)	90E-6	
Step channel 1: Points	2	
Step channel 1: Max slew rate (V/s)	10E+0	
Step channel 1:  Initial settling time (s)	2E+0	
Step channel 1: End settling time (s)	2E+0	
Step channel 1: Backward sweep	FALSE	
Step channel 1: Reset	FALSE	
Sweep Type	2D-Both RT	
Acquire channels	Input 1 (V);LI Demod 3 X (V)	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Output 3 Setp. (V)	Input 1 [00001] (V)	LI Demod 3 X [00001] (V)	Input 1 [00001] [bwd] (V)	LI Demod 3 X [00001] [bwd] (V)
-150.00001E-3	-4.4520511E-3	781.16643E-6	-0.0000000E+0	NaN
-149.40001E-3	-4.2468151E-3	875.44456E-6	-0.0000000E+0	NaN
-148.80000E-3	-4.0776758E-3	897.35433E-6	-0.0000000E+0	NaN
-148.20001E-3	-3.8837069E-3	829.78804E-6	-0.0000000E+0	NaN
-147.60001E-3	-3.7238263E-3	766.99950E-6	-0.0000000E+0	NaN
-147.00000E-3	-3.5673813E-3	744.79595E-6	-0.0000000E+0	NaN
-146.40000E-3	-3.3343574E-3	793.85383E-6	-0.0000000E+0	NaN
-145.80001E-3	-3.1462498E-3	884.43013E-6	-0.0000000E+0	NaN
-145.20000E-3	-2.9112732E-3	885.87141E-6	-0.0000000E+0	NaN
-144.60000E-3	-2.7780016E-3	816.29230E-6	-0.0000000E+0	NaN
-144.00001E-3	-2.6884510E-3	772.81607E-6	-0.0000000E+0	NaN
-143.40000E-3	-2.6147857E-3	737.43967E-6	-0.0000000E+0	NaN
-142.80000E-3	-2.5834315E-3	785.64096E-6	-0.0000000E+0	NaN
-142.20001E-3	-2.5423998E-3	857.30496E-6	-0.0000000E+0	NaN
-141.60001E-3	-2.4062255E-3	865.44687E-6	-0.0000000E+0	NaN
-141.00000E-3	-2.3296208E-3	810.04971E-6	-0.0000000E+0	NaN
-140.40001E-3	-2.1247240E-3	752.47569E-6	-0.0000000E+0	NaN
-139.80001E-3	-2.0407250E-3	754.48572E-6	-0.0000000E+0	NaN
-139.20000E-3	-1.9161620E-3	830.76872E-6	-0.0000000E+0	NaN
-138.60001E-3	-1.7413703E-3	860.11551E-6	-0.0000000E+0	NaN
-138.00001E-3	-1.5940341E-3	873.64612E-6	-0.0000000E+0	NaN
-137.40000E-3	-1.5523999E-3	819.21136E-6	-0.0000000E+0	NaN
-136.80001E-3	-1.5641414E-3	759.29443E-6	-0.0000000E+0	NaN
-136.20001E-3	-1.4852149E-3	757.27171E-6	-0.0000000E+0	NaN
-135.60000E-3	-1.4020574E-3	828.39263E-6	-0.0000000E+0	NaN
-135.00001E-3	-1.1825323E-3	881.75235E-6	-0.0000000E+0	NaN
-134.40001E-3	-933.25070E-6	863.03131E-6	-0.0000000E+0	NaN
-133.80000E-3	-655.47257E-6	775.41417E-6	-0.0000000E+0	NaN
-133.20000E-3	-442.50538E-6	745.76476E-6	-0.0000000E+0	NaN
-132.60001E-3	-185.02006E-6	748.96577E-6	-0.0000000E+0	NaN
-132.00000E-3	8.2684464E-6	824.48527E-6	-0.0000000E+0	NaN
-131.40000E-3	169.53384E-6	875.75265E-6	-0.0000000E+0	NaN
-130.80001E-3	328.13521E-6	851.80911E-6	-0.0000000E+0	NaN
-130.20000E-3	456.73896E-6	771.33905E-6	0.0000000E+0	NaN
-129.60000E-3	658.20687E-6	742.99547E-6	0.0000000E+0	NaN
-129.00001E-3	767.00066E-6	776.04054E-6	0.0000000E+0	NaN
-128.40000E-3	910.51421E-6	856.21013E-6	0.0000000E+0	NaN
-127.80000E-3	1.1205787E-3	896.88704E-6	0.0000000E+0	NaN
-127.20001E-3	1.3774749E-3	846.08229E-6	0.0000000E+0	NaN
-126.60000E-3	1.6420410E-3	767.39286E-6	0.0000000E+0	NaN
-126.00000E-3	1.8412184E-3	752.93361E-6	0.0000000E+0	NaN
-125.40001E-3	1.9800740E-3	801.34184E-6	0.0000000E+0	NaN
-124.80000E-3	2.0664257E-3	876.25452E-6	0.0000000E+0	NaN
-124.20000E-3	2.1082421E-3	867.47925E-6	0.0000000E+0	NaN
-123.60001E-3	2.1402445E-3	813.85329E-6	0.0000000E+0	NaN
-123.00000E-3	2.2011029E-3	740.55936E-6	0.0000000E+0	NaN
-122.40000E-3	2.2586025E-3	752.20829E-6	0.0000000E+0	NaN
-121.80001E-3	2.3788919E-3	813.54578E-6	0.0000000E+0	NaN
-121.20000E-3	2.4961049E-3	883.27931E-6	0.0000000E+0	NaN
-120.60000E-3	2.6069868E-3	848.47055E-6	0.0000000E+0	NaN
-120.00000E-3	2.8163348E-3	787.17840E-6	0.0000000E+0	NaN
-119.40000E-3	2.9261066E-3	748.01280E-6	0.0000000E+0	NaN
-118.80001E-3	3.0753491E-3	765.42661E-6	0.0000000E+0	NaN
-118.20000E-3	3.2267536E-3	841.43941E-6	0.0000000E+0	NaN
-117.60001E-3	3.3163738E-3	883.39415E-6	0.0000000E+0	NaN
-117.00001E-3	3.3961481E-3	826.67154E-6	0.0000000E+0	NaN
-116.40000E-3	3.4101235E-3	772.87835E-6	0.0000000E+0	NaN
