Experiment	Sweeper	
Saved Date	30.06.2023 14:17:19	
User		
Date		
Start time	30.06.2023 14:07:14	
Sweep channel: Name	Output 3 (V)	
Sweep channel: Start (V)	-150E-3	
Sweep channel: Stop (V)	150E-3	
Sweep channel: Points	501	
Sweep channel: Max slew rate (V/s)	Inf	
Sweep channel: Initial settling time (s)	20E+3	
Sweep channel: End settling time (s)	2E+0	
Sweep channel: Backward sweep	TRUE	
Sweep channel: Number of sweeps	2	
Sweep channel: Reset	FALSE	
Step channel 1: Name	Output 2 (V)	
Step channel 1: Start (V)	90E-6	
Step channel 1: Stop (V)	90E-6	
Step channel 1: Points	2	
Step channel 1: Max slew rate (V/s)	10E+0	
Step channel 1:  Initial settling time (s)	2E+0	
Step channel 1: End settling time (s)	2E+0	
Step channel 1: Backward sweep	FALSE	
Step channel 1: Reset	FALSE	
Sweep Type	2D-Both RT	
Acquire channels	Input 1 (V);LI Demod 3 X (V)	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Output 3 Setp. (V)	Input 1 [00001] (V)	LI Demod 3 X [00001] (V)	Input 1 [00002] (V)	LI Demod 3 X [00002] (V)	Input 1 [00001] [bwd] (V)	LI Demod 3 X [00001] [bwd] (V)	Input 1 [00002] [bwd] (V)	LI Demod 3 X [00002] [bwd] (V)
-150.00001E-3	-4.8495838E-3	896.14588E-6	-4.6557891E-3	777.90843E-6	-4.5485524E-3	723.65138E-6	-4.8947386E-3	768.05637E-6
-149.40001E-3	-4.6987021E-3	839.05668E-6	-4.4769295E-3	860.85714E-6	-4.3156790E-3	811.29803E-6	-4.7419425E-3	833.73720E-6
-148.80000E-3	-4.5406041E-3	772.61304E-6	-4.3604905E-3	886.34813E-6	-4.1583064E-3	858.74757E-6	-4.5885546E-3	882.47942E-6
-148.20001E-3	-4.3552476E-3	735.44809E-6	-4.1552405E-3	833.17794E-6	-3.9864634E-3	862.89912E-6	-4.4423193E-3	851.84892E-6
-147.60001E-3	-4.1754232E-3	786.15546E-6	-4.0250542E-3	767.07313E-6	-3.8024602E-3	796.84536E-6	-4.2742146E-3	741.47951E-6
-147.00000E-3	-4.0259999E-3	853.20155E-6	-3.8620636E-3	795.16409E-6	-3.6452056E-3	755.75995E-6	-4.1381395E-3	756.81013E-6
-146.40000E-3	-3.7846905E-3	877.75901E-6	-3.7386857E-3	849.47969E-6	-3.4704919E-3	777.09282E-6	-3.9569191E-3	819.93570E-6
-145.80001E-3	-3.5426936E-3	856.28533E-6	-3.5887395E-3	887.98575E-6	-3.3245599E-3	863.48999E-6	-3.8176081E-3	879.44849E-6
-145.20000E-3	-3.3391542E-3	768.71918E-6	-3.4473368E-3	828.78681E-6	-3.0894103E-3	885.31431E-6	-3.6067010E-3	852.35498E-6
-144.60000E-3	-3.2579876E-3	732.56087E-6	-3.3380573E-3	749.19494E-6	-2.8958516E-3	819.66253E-6	-3.3781789E-3	785.97624E-6
-144.00001E-3	-3.2432005E-3	788.49809E-6	-3.1499458E-3	751.20205E-6	-2.6798062E-3	731.58252E-6	-3.2339245E-3	732.82042E-6
-143.40000E-3	-3.2376454E-3	842.94990E-6	-3.0129193E-3	827.48634E-6	-2.5073669E-3	745.54316E-6	-3.1215127E-3	792.69306E-6
-142.80000E-3	-3.1182168E-3	890.24450E-6	-2.8064770E-3	876.97356E-6	-2.3497646E-3	825.78690E-6	-2.9956172E-3	857.71841E-6
-142.20001E-3	-3.0155473E-3	840.68975E-6	-2.6925595E-3	854.79382E-6	-2.1919466E-3	880.27818E-6	-2.8539477E-3	864.48813E-6
-141.60001E-3	-2.8899449E-3	785.07699E-6	-2.5276381E-3	764.53714E-6	-2.0484638E-3	853.99096E-6	-2.6805215E-3	802.50273E-6
-141.00000E-3	-2.8051159E-3	745.46429E-6	-2.3669079E-3	750.70839E-6	-1.9371310E-3	776.09334E-6	-2.5726282E-3	746.89579E-6
-140.40001E-3	-2.6389533E-3	761.75411E-6	-2.2529967E-3	810.57398E-6	-1.8327220E-3	766.22772E-6	-2.3505858E-3	755.31687E-6
-139.80001E-3	-2.5452343E-3	813.96790E-6	-2.0861623E-3	892.41943E-6	-1.7679202E-3	818.57358E-6	-2.1329024E-3	862.42764E-6
-139.20000E-3	-2.4993485E-3	872.46875E-6	-1.9272135E-3	839.31233E-6	-1.7077058E-3	883.34450E-6	-1.9273952E-3	885.72991E-6
-138.60001E-3	-2.5092659E-3	871.74273E-6	-1.8435665E-3	754.13438E-6	-1.6046684E-3	842.32533E-6	-1.7478422E-3	839.59231E-6
-138.00001E-3	-2.3414402E-3	807.66837E-6	-1.6847209E-3	745.16016E-6	-1.4589428E-3	779.17427E-6	-1.5569481E-3	744.57948E-6
-137.40000E-3	-2.0414582E-3	740.30668E-6	-1.5640040E-3	822.73380E-6	-1.3231400E-3	748.15686E-6	-1.3371787E-3	747.94242E-6
-136.80001E-3	-1.7480421E-3	730.10853E-6	-1.3808985E-3	880.08953E-6	-1.1965969E-3	829.08466E-6	-1.1127519E-3	821.92617E-6
-136.20001E-3	-1.4846186E-3	790.91080E-6	-1.1822076E-3	858.34094E-6	-1.0736275E-3	865.20030E-6	-925.70629E-6	878.22508E-6
-135.60000E-3	-1.2848679E-3	852.97116E-6	-1.0994113E-3	753.53810E-6	-937.26208E-6	844.67506E-6	-739.09981E-6	846.30912E-6
-135.00001E-3	-1.1289194E-3	867.32052E-6	-916.94330E-6	755.16145E-6	-779.76938E-6	799.99596E-6	-548.45400E-6	805.24787E-6
-134.40001E-3	-985.19935E-6	836.00177E-6	-792.64195E-6	814.25172E-6	-681.02585E-6	726.71159E-6	-406.29387E-6	757.49599E-6
-133.80000E-3	-823.51413E-6	760.07587E-6	-755.04597E-6	884.88759E-6	-536.82498E-6	775.57395E-6	-284.22510E-6	793.58171E-6
-133.20000E-3	-686.95284E-6	751.66405E-6	-695.98295E-6	845.40452E-6	-392.39967E-6	853.71529E-6	-177.75751E-6	870.00534E-6
-132.60001E-3	-458.66525E-6	776.43921E-6	-560.47278E-6	754.19876E-6	-218.07247E-6	867.17313E-6	-46.354362E-6	878.61519E-6
-132.00000E-3	-200.91486E-6	870.29545E-6	-400.94848E-6	748.81676E-6	-86.626576E-6	813.88711E-6	-57.938116E-6	799.54480E-6
-131.40000E-3	47.960621E-6	894.58481E-6	-306.24578E-6	812.92790E-6	150.52473E-6	733.48102E-6	-21.219847E-6	737.70701E-6
-130.80001E-3	279.73446E-6	829.12575E-6	-84.264742E-6	885.66175E-6	271.00914E-6	742.93016E-6	94.502226E-6	774.04239E-6
-130.20000E-3	331.15235E-6	750.17917E-6	46.950667E-6	856.28236E-6	447.91796E-6	829.82832E-6	231.32558E-6	836.48175E-6
-129.60000E-3	303.49064E-6	725.75180E-6	187.45974E-6	780.31019E-6	618.22520E-6	899.00161E-6	379.28953E-6	875.29654E-6
-129.00001E-3	342.29652E-6	780.11665E-6	359.75483E-6	719.99943E-6	699.33693E-6	820.17638E-6	533.74167E-6	815.08933E-6
-128.40000E-3	398.67111E-6	845.06336E-6	501.34864E-6	815.01319E-6	843.32668E-6	743.55735E-6	670.52332E-6	754.22775E-6
-127.80000E-3	533.58293E-6	877.32560E-6	603.80489E-6	885.21105E-6	953.06325E-6	732.56815E-6	824.27886E-6	736.41801E-6
-127.20001E-3	663.87741E-6	840.64231E-6	783.94613E-6	847.62636E-6	1.1066311E-3	838.81320E-6	1.0008748E-3	830.93223E-6
-126.60000E-3	825.05174E-6	747.76256E-6	880.20670E-6	767.29705E-6	1.2537092E-3	887.91596E-6	1.2585331E-3	871.48370E-6
-126.00000E-3	982.96569E-6	735.19076E-6	964.06747E-6	740.49801E-6	1.4134519E-3	824.49010E-6	1.4017225E-3	871.79709E-6
-125.40001E-3	1.1008502E-3	788.28080E-6	1.1275131E-3	808.25994E-6	1.5588545E-3	752.69374E-6	1.4941565E-3	762.43910E-6
-124.80000E-3	1.2373560E-3	852.87390E-6	1.4797988E-3	872.50309E-6	1.7125546E-3	740.40762E-6	1.5139894E-3	758.43325E-6
-124.20000E-3	1.3171418E-3	890.44945E-6	1.6649552E-3	838.37286E-6	1.8764535E-3	811.12201E-6	1.6875971E-3	808.70790E-6
-123.60001E-3	1.3220496E-3	835.47778E-6	1.9828219E-3	761.64235E-6	1.9948324E-3	867.02965E-6	1.7891956E-3	867.58763E-6
-123.00000E-3	1.3345920E-3	759.90142E-6	2.0907237E-3	724.17932E-6	2.0976241E-3	833.95856E-6	1.9561513E-3	871.15663E-6
-122.40000E-3	1.4855635E-3	751.14303E-6	2.2274076E-3	821.60695E-6	2.1982146E-3	773.47958E-6	2.1311741E-3	795.51426E-6
-121.80001E-3	1.7749589E-3	783.91592E-6	2.3369098E-3	880.77801E-6	2.3214032E-3	730.31563E-6	2.4002115E-3	734.04616E-6
-121.20000E-3	2.0714675E-3	855.17473E-6	2.4747166E-3	843.63372E-6	2.4899226E-3	802.66705E-6	2.5630700E-3	765.54512E-6
-120.60000E-3	2.4003286E-3	878.27322E-6	2.6121098E-3	783.82564E-6	2.6197000E-3	886.12019E-6	2.6474888E-3	841.84209E-6
-120.00000E-3	2.5944088E-3	833.48301E-6	2.7143848E-3	722.28158E-6	2.7675235E-3	861.89259E-6	2.7554571E-3	861.08362E-6
-119.40000E-3	2.7556748E-3	781.97056E-6	2.8868117E-3	820.81655E-6	2.9195894E-3	771.82654E-6	2.8452203E-3	810.27939E-6
