Experiment	Sweeper	
Saved Date	30.06.2023 13:56:52	
User		
Date		
Start time	30.06.2023 13:46:47	
Sweep channel: Name	Output 3 (V)	
Sweep channel: Start (V)	-150E-3	
Sweep channel: Stop (V)	150E-3	
Sweep channel: Points	501	
Sweep channel: Max slew rate (V/s)	Inf	
Sweep channel: Initial settling time (s)	20E+3	
Sweep channel: End settling time (s)	2E+0	
Sweep channel: Backward sweep	TRUE	
Sweep channel: Number of sweeps	2	
Sweep channel: Reset	FALSE	
Step channel 1: Name	Output 2 (V)	
Step channel 1: Start (V)	90E-6	
Step channel 1: Stop (V)	90E-6	
Step channel 1: Points	2	
Step channel 1: Max slew rate (V/s)	10E+0	
Step channel 1:  Initial settling time (s)	2E+0	
Step channel 1: End settling time (s)	2E+0	
Step channel 1: Backward sweep	FALSE	
Step channel 1: Reset	FALSE	
Sweep Type	2D-Both RT	
Acquire channels	Input 1 (V)	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Output 3 Setp. (V)	Input 1 [00001] (V)	Input 1 [00002] (V)	Input 1 [00001] [bwd] (V)	Input 1 [00002] [bwd] (V)
-150.00001E-3	-4.8148767E-3	-4.6228198E-3	-4.9371426E-3	-4.9136197E-3
-149.40001E-3	-4.5646378E-3	-4.4811582E-3	-4.8168441E-3	-4.6613193E-3
-148.80000E-3	-4.3711485E-3	-4.3256329E-3	-4.7799889E-3	-4.5123301E-3
-148.20001E-3	-4.1951807E-3	-4.1886354E-3	-4.5223124E-3	-4.3706978E-3
-147.60001E-3	-4.0305173E-3	-4.0096985E-3	-4.2696455E-3	-4.1818097E-3
-147.00000E-3	-3.8729834E-3	-3.8979764E-3	-4.0770154E-3	-3.8992292E-3
-146.40000E-3	-3.7067409E-3	-3.6914307E-3	-3.9094226E-3	-3.5482957E-3
-145.80001E-3	-3.4980106E-3	-3.4341810E-3	-3.7527289E-3	-3.3345991E-3
-145.20000E-3	-3.2623352E-3	-3.1810789E-3	-3.7108678E-3	-3.3029737E-3
-144.60000E-3	-2.9705500E-3	-2.9499743E-3	-3.5813726E-3	-3.3040193E-3
-144.00001E-3	-2.7657219E-3	-2.7989270E-3	-3.4156039E-3	-3.2158252E-3
-143.40000E-3	-2.6302764E-3	-2.7296611E-3	-3.2683995E-3	-3.0798260E-3
-142.80000E-3	-2.5628528E-3	-2.6924792E-3	-3.0429368E-3	-2.9379840E-3
-142.20001E-3	-2.5521314E-3	-2.6525285E-3	-2.8199544E-3	-2.8426321E-3
-141.60001E-3	-2.5200723E-3	-2.6067495E-3	-2.5077017E-3	-2.9158741E-3
-141.00000E-3	-2.4466605E-3	-2.4879642E-3	-2.2523412E-3	-2.9776797E-3
-140.40001E-3	-2.3288447E-3	-2.3963635E-3	-2.0812617E-3	-2.7256720E-3
-139.80001E-3	-2.1793912E-3	-2.2350082E-3	-1.9647989E-3	-2.3830661E-3
-139.20000E-3	-2.0469266E-3	-2.0960548E-3	-1.9611111E-3	-2.1169584E-3
-138.60001E-3	-1.9023599E-3	-1.9611889E-3	-1.8830302E-3	-1.9584510E-3
-138.00001E-3	-1.7638601E-3	-1.8118309E-3	-1.6343730E-3	-1.8156448E-3
-137.40000E-3	-1.6831126E-3	-1.6945086E-3	-1.5114190E-3	-1.6571427E-3
-136.80001E-3	-1.6888656E-3	-1.5854258E-3	-1.3819945E-3	-1.4083775E-3
-136.20001E-3	-1.6464350E-3	-1.5002702E-3	-1.2434387E-3	-1.0812178E-3
-135.60000E-3	-1.5271321E-3	-1.4315695E-3	-1.0500413E-3	-818.00186E-6
-135.00001E-3	-1.3266889E-3	-1.4117392E-3	-915.88096E-6	-792.22169E-6
-134.40001E-3	-1.0357156E-3	-1.2748335E-3	-800.73538E-6	-794.47002E-6
-133.80000E-3	-759.30206E-6	-1.0858824E-3	-806.54223E-6	-675.49676E-6
-133.20000E-3	-494.56948E-6	-848.89238E-6	-735.96160E-6	-557.27654E-6
