Experiment	Sweeper	
Saved Date	30.06.2023 13:59:03	
User		
Date		
Start time	30.06.2023 13:57:12	
Sweep channel: Name	Output 3 (V)	
Sweep channel: Start (V)	-150E-3	
Sweep channel: Stop (V)	150E-3	
Sweep channel: Points	501	
Sweep channel: Max slew rate (V/s)	Inf	
Sweep channel: Initial settling time (s)	20E+3	
Sweep channel: End settling time (s)	2E+0	
Sweep channel: Backward sweep	TRUE	
Sweep channel: Number of sweeps	2	
Sweep channel: Reset	FALSE	
Step channel 1: Name	Output 2 (V)	
Step channel 1: Start (V)	90E-6	
Step channel 1: Stop (V)	90E-6	
Step channel 1: Points	2	
Step channel 1: Max slew rate (V/s)	10E+0	
Step channel 1:  Initial settling time (s)	2E+0	
Step channel 1: End settling time (s)	2E+0	
Step channel 1: Backward sweep	FALSE	
Step channel 1: Reset	FALSE	
Sweep Type	2D-Both RT	
Acquire channels	Input 1 (V);LI Demod 1 X (V)	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Output 3 Setp. (V)	Input 1 [00001] (V)	LI Demod 1 X [00001] (V)	Input 1 [00001] [bwd] (V)	LI Demod 1 X [00001] [bwd] (V)
-150.00001E-3	-4.5787301E-3	-60.448860E-6	-0.0000000E+0	NaN
-149.40001E-3	-4.5572137E-3	-59.129219E-6	-0.0000000E+0	NaN
-148.80000E-3	-4.4206502E-3	36.874029E-6	-0.0000000E+0	NaN
-148.20001E-3	-4.2537563E-3	71.749731E-6	-0.0000000E+0	NaN
-147.60001E-3	-4.1704425E-3	65.773784E-6	-0.0000000E+0	NaN
-147.00000E-3	-4.0243249E-3	1.6634356E-6	-0.0000000E+0	NaN
-146.40000E-3	-3.9935228E-3	-43.781307E-6	-0.0000000E+0	NaN
-145.80001E-3	-4.0391567E-3	-43.351491E-6	-0.0000000E+0	NaN
-145.20000E-3	-4.0535089E-3	-4.7547187E-6	-0.0000000E+0	NaN
-144.60000E-3	-3.7649716E-3	68.567184E-6	-0.0000000E+0	NaN
-144.00001E-3	-3.4411633E-3	75.182623E-6	-0.0000000E+0	NaN
-143.40000E-3	-3.1771751E-3	17.889677E-6	-0.0000000E+0	NaN
-142.80000E-3	-2.9544008E-3	-49.148988E-6	-0.0000000E+0	NaN
-142.20001E-3	-2.8477118E-3	-78.124147E-6	-0.0000000E+0	NaN
-141.60001E-3	-2.6789971E-3	-43.605844E-6	-0.0000000E+0	NaN
-141.00000E-3	-2.4205074E-3	37.751801E-6	-0.0000000E+0	NaN
